z,d,rad,n
campus,2019-03-28,,0
ring,2019-03-28,22.21744981721178,286
campus,2019-03-29,37.6792833722871,4
ring,2019-03-29,22.473607717128022,1422
campus,2019-03-30,,0
ring,2019-03-30,,0
campus,2019-03-31,50.91867968131757,4
ring,2019-03-31,30.306448512870872,1421
campus,2019-04-01,60.49810897892919,4
ring,2019-04-01,30.9916635903059,495
campus,2019-04-02,,0
ring,2019-04-02,,0
campus,2019-04-03,,0
ring,2019-04-03,2.0985765955492384,80
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,49.33933045946319,4
ring,2019-04-05,25.73044978872783,1428
campus,2019-04-06,52.93282175064087,4
ring,2019-04-06,31.418406102784992,1433
campus,2019-04-07,36.817650852532225,4
ring,2019-04-07,25.261626214242604,1432
campus,2019-04-08,,0
ring,2019-04-08,2.324425468350097,18
campus,2019-04-09,,0
ring,2019-04-09,0.5547843607398296,21
campus,2019-04-10,,0
ring,2019-04-10,,0
campus,2019-04-11,46.57244438138502,4
ring,2019-04-11,24.764526272052716,1433
campus,2019-04-12,44.964644251198614,4
ring,2019-04-12,27.309843528966454,1430
campus,2019-04-13,,0
ring,2019-04-13,,0
campus,2019-04-14,42.20525128265907,4
ring,2019-04-14,26.452586952254336,1319
campus,2019-04-15,,0
ring,2019-04-15,34.252728276312716,53
campus,2019-04-16,58.414422627153066,4
ring,2019-04-16,31.937026497363984,1307
campus,2019-04-17,59.760991770645674,4
ring,2019-04-17,36.203698678399945,1277
campus,2019-04-18,,0
ring,2019-04-18,,0
campus,2019-04-19,,0
ring,2019-04-19,29.60388897721869,106
campus,2019-04-20,,0
ring,2019-04-20,,0
campus,2019-04-21,,0
ring,2019-04-21,14.471516539148016,2
campus,2019-04-22,,0
ring,2019-04-22,7.725703641811272,27
campus,2019-04-23,,0
ring,2019-04-23,6.108470639204539,29
campus,2019-04-24,,0
ring,2019-04-24,23.13024575639699,104
campus,2019-04-25,,0
ring,2019-04-25,13.284620059142593,115
campus,2019-04-26,,0
ring,2019-04-26,33.8163076438662,38
campus,2019-04-27,,0
ring,2019-04-27,3.2171307802200317,2
campus,2019-04-28,,0
ring,2019-04-28,3.6515112638473513,10
campus,2019-04-29,,0
ring,2019-04-29,,0
campus,2019-04-30,,0
ring,2019-04-30,,0
campus,2019-05-01,43.84929106063342,4
ring,2019-05-01,24.093138237552527,1428
campus,2019-05-02,50.8130950593844,4
ring,2019-05-02,27.16675965452907,1434
campus,2019-05-03,,0
ring,2019-05-03,,0
campus,2019-05-04,42.36145661617148,4
ring,2019-05-04,26.046341292429492,1431
campus,2019-05-05,,0
ring,2019-05-05,,0
campus,2019-05-06,,0
ring,2019-05-06,2.047620451967498,72
campus,2019-05-07,,0
ring,2019-05-07,,0
campus,2019-05-08,39.527608282978214,4
ring,2019-05-08,25.55397920545719,1432
campus,2019-05-09,,0
ring,2019-05-09,,0
campus,2019-05-10,,0
ring,2019-05-10,17.084785013739168,655
campus,2019-05-11,44.31768374787379,4
ring,2019-05-11,27.518502916747103,1428
campus,2019-05-12,,0
ring,2019-05-12,,0
campus,2019-05-13,,0
ring,2019-05-13,29.640675332232348,1193
campus,2019-05-14,,0
ring,2019-05-14,,0
campus,2019-05-15,,0
ring,2019-05-15,5.762056046705624,73
campus,2019-05-16,,0
ring,2019-05-16,,0
campus,2019-05-17,38.16853230682974,4
ring,2019-05-17,31.60951034193728,593
campus,2019-05-18,,0
ring,2019-05-18,,0
campus,2019-05-19,,0
ring,2019-05-19,,0
campus,2019-05-20,,0
ring,2019-05-20,,0
campus,2019-05-21,46.93409653043852,4
ring,2019-05-21,25.093972330791022,1310
campus,2019-05-22,41.079305644630075,4
ring,2019-05-22,25.01293569178574,1306
campus,2019-05-23,41.94116660020022,4
ring,2019-05-23,26.39588354212913,1322
campus,2019-05-24,,0
ring,2019-05-24,,0
campus,2019-05-25,,0
ring,2019-05-25,,0
campus,2019-05-26,,0
ring,2019-05-26,11.018007833429968,24
campus,2019-05-27,40.575718777445786,4
ring,2019-05-27,25.454518164978715,1327
campus,2019-05-28,,0
ring,2019-05-28,,0
campus,2019-05-29,,0
ring,2019-05-29,,0
campus,2019-05-30,,0
ring,2019-05-30,,0
campus,2019-05-31,,0
ring,2019-05-31,,0
campus,2019-06-01,,0
ring,2019-06-01,,0
campus,2019-06-02,,0
ring,2019-06-02,2.6986893812815347,3
campus,2019-06-03,43.439265107286396,4
ring,2019-06-03,28.032370954528535,1433
campus,2019-06-04,49.20155622503731,4
ring,2019-06-04,31.76715180265104,1439
campus,2019-06-05,,0
ring,2019-06-05,,0
campus,2019-06-06,40.424308879723704,4
ring,2019-06-06,22.916626040270568,1135
campus,2019-06-07,38.31463803066296,4
ring,2019-06-07,23.910715374813375,1438
campus,2019-06-08,46.79258665449164,4
ring,2019-06-08,26.350525072293316,1351
campus,2019-06-09,,0
ring,2019-06-09,,0
campus,2019-06-10,39.65910460225653,4
ring,2019-06-10,31.035758426414258,1427
