lat,lon,n_px,area_km2,early,late,diff,sum_diff
32.4978,-91.6354,73,18.25,0.6,70.6,70.0,5109.0
32.2847,-90.9267,3,0.75,5.2,42.9,37.7,113.0
32.4561,-91.5788,4,1.0,1.9,20.1,18.2,73.0
32.4799,-91.7175,5,1.25,0.8,15.2,14.4,72.0
32.5362,-92.1948,3,0.75,6.8,29.7,22.9,69.0
32.5325,-91.6327,4,1.0,0.4,15.0,14.5,58.0
32.3865,-91.1745,2,0.5,3.8,17.9,14.1,28.0
32.5078,-92.2705,2,0.5,2.6,14.8,12.3,25.0
31.8206,-91.0532,2,0.5,3.5,14.3,10.8,22.0
