z,d,rad,n
ring,2019-03-23,11.062817102313224,651
campus,2019-03-24,,0
ring,2019-03-24,,0
campus,2019-03-25,,0
ring,2019-03-25,,0
campus,2019-03-26,,0
ring,2019-03-26,42.521886891545016,176
campus,2019-03-27,10.51753486786689,8
ring,2019-03-27,29.56610063081126,1448
campus,2019-03-28,14.922745620743912,11
ring,2019-03-28,20.21000756418161,1262
campus,2019-03-29,,0
ring,2019-03-29,,0
campus,2019-03-30,,0
ring,2019-03-30,10.815038013500516,452
campus,2019-03-31,22.808873648636677,11
ring,2019-03-31,33.573877575044584,1240
campus,2019-04-01,16.824749660764816,11
ring,2019-04-01,30.83544892159982,1485
campus,2019-04-02,18.19051179967725,11
ring,2019-04-02,20.843984315994952,1253
campus,2019-04-03,16.46623878519934,11
ring,2019-04-03,26.440974400580483,1382
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,,0
ring,2019-04-05,1.54045089599838,5
campus,2019-04-06,20.85555672679678,11
ring,2019-04-06,30.80307548949361,1484
campus,2019-04-07,,0
ring,2019-04-07,,0
campus,2019-04-08,,0
ring,2019-04-08,,0
campus,2019-04-09,8.185738901553067,11
ring,2019-04-09,15.134638904318876,951
campus,2019-04-10,7.65508247581504,11
ring,2019-04-10,27.958332646276055,1484
campus,2019-04-11,,0
ring,2019-04-11,,0
campus,2019-04-12,,0
ring,2019-04-12,,0
campus,2019-04-13,,0
ring,2019-04-13,,0
campus,2019-04-14,,0
ring,2019-04-14,11.516948142027678,40
campus,2019-04-15,14.579805906920647,11
ring,2019-04-15,25.378154505057356,1424
campus,2019-04-16,13.158477833977452,8
ring,2019-04-16,32.439982423095266,1446
campus,2019-04-17,,0
ring,2019-04-17,,0
campus,2019-04-18,,0
ring,2019-04-18,,0
campus,2019-04-19,23.67656478843069,9
ring,2019-04-19,27.215311388839293,822
campus,2019-04-20,9.562905440727869,10
ring,2019-04-20,23.586904668493354,1318
campus,2019-04-21,31.044989827436726,7
ring,2019-04-21,29.689983474896366,1433
campus,2019-04-22,15.918017582026017,10
ring,2019-04-22,29.685514018420413,1460
campus,2019-04-23,,0
ring,2019-04-23,,0
campus,2019-04-24,16.51252868551957,5
ring,2019-04-24,25.592615959877484,493
campus,2019-04-25,,0
ring,2019-04-25,,0
campus,2019-04-26,25.534276699490018,9
ring,2019-04-26,25.191374168352528,1299
campus,2019-04-27,23.34358500000743,11
ring,2019-04-27,32.73641738371411,1484
campus,2019-04-28,21.864884505400788,2
ring,2019-04-28,27.959473774187874,616
campus,2019-04-29,20.530825739855757,11
ring,2019-04-29,24.45996881385982,1486
campus,2019-04-30,,0
ring,2019-04-30,31.91040538128296,520
campus,2019-05-01,,0
ring,2019-05-01,,0
campus,2019-05-02,,0
ring,2019-05-02,,0
campus,2019-05-03,4.118083536162857,3
ring,2019-05-03,5.380167302825895,465
campus,2019-05-04,,0
ring,2019-05-04,,0
campus,2019-05-05,,0
ring,2019-05-05,31.604126667362774,18
campus,2019-05-06,,0
ring,2019-05-06,,0
campus,2019-05-07,31.648444023487308,11
ring,2019-05-07,41.20092144579109,1465
campus,2019-05-08,,0
ring,2019-05-08,,0
campus,2019-05-09,,0
ring,2019-05-09,,0
campus,2019-05-10,,0
ring,2019-05-10,,0
campus,2019-05-11,,0
ring,2019-05-11,,0
campus,2019-05-12,,0
ring,2019-05-12,,0
campus,2019-05-13,31.04653677192857,11
ring,2019-05-13,32.97163160387254,1486
campus,2019-05-14,27.403111580439976,3
ring,2019-05-14,20.465807633052787,937
campus,2019-05-15,13.846621874933655,4
ring,2019-05-15,32.61298532983853,806
campus,2019-05-16,19.115637933175396,11
ring,2019-05-16,22.849846326734205,1419
campus,2019-05-17,12.866042645696792,9
ring,2019-05-17,27.750263530535094,1432
campus,2019-05-18,17.01861557793259,11
ring,2019-05-18,34.07625064427392,1409
campus,2019-05-19,,0
ring,2019-05-19,,0
campus,2019-05-20,12.356343040068943,10
ring,2019-05-20,24.134466588553153,1399
campus,2019-05-21,17.9118416726542,9
ring,2019-05-21,22.312859870690637,1322
campus,2019-05-22,,0
ring,2019-05-22,,0
campus,2019-05-23,14.78708441289903,11
ring,2019-05-23,32.766242831154315,1407
campus,2019-05-24,28.496346205750275,11
ring,2019-05-24,33.67838824680068,1452
campus,2019-05-25,18.632328960100807,10
ring,2019-05-25,26.343328295477697,1435
campus,2019-05-26,,0
ring,2019-05-26,24.459908218745376,3
campus,2019-05-27,,0
ring,2019-05-27,2.823064893060097,139
campus,2019-05-28,16.48055171966553,11
ring,2019-05-28,29.666537995330163,1486
campus,2019-05-29,23.395887842499192,11
ring,2019-05-29,39.11765213030751,768
campus,2019-05-30,,0
ring,2019-05-30,,0
campus,2019-05-31,13.261980194318435,11
ring,2019-05-31,24.981408579790948,1476
campus,2019-06-01,11.09895026931271,11
ring,2019-06-01,25.72148978018087,1479
campus,2019-06-02,,0
ring,2019-06-02,,0
campus,2019-06-03,25.85478292650761,11
ring,2019-06-03,33.75255125301233,1438
campus,2019-06-04,,0
ring,2019-06-04,,0
campus,2019-06-05,,0
ring,2019-06-05,,0
campus,2019-06-06,,0
ring,2019-06-06,,0
campus,2019-06-07,,0
ring,2019-06-07,,0
campus,2019-06-08,19.350741144917098,7
ring,2019-06-08,10.706492557866978,317
campus,2019-06-09,28.909470860584342,11
ring,2019-06-09,35.7597934144568,1470
campus,2019-06-10,12.193333564354168,11
ring,2019-06-10,25.541441292966255,1483
