lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
29.7376,106.6603,16,4.0,23.4,166.3,142.9,2287.0,chongqing
29.6642,106.6753,21,5.25,8.4,45.0,36.5,767.0,chongqing
29.7295,106.7772,11,2.75,14.8,74.2,59.3,653.0,chongqing
29.9291,106.7979,8,2.0,0.8,72.0,71.2,570.0,chongqing
29.3748,106.3469,19,4.75,6.0,34.2,28.3,537.0,chongqing
30.3605,106.949,25,6.25,1.9,22.7,20.8,520.0,chongqing
29.4326,106.3382,15,3.75,6.7,34.9,28.2,423.0,chongqing
29.9222,107.0883,17,4.25,4.4,28.4,24.0,408.0,chongqing
29.5078,106.1852,13,3.25,5.2,30.8,25.6,332.0,chongqing
30.3022,106.9013,18,4.5,4.9,21.1,16.3,293.0,chongqing
29.7306,106.5092,10,2.5,8.7,36.8,28.1,281.0,chongqing
29.781,106.698,11,2.75,5.1,26.3,21.2,233.0,chongqing
29.3911,106.4319,10,2.5,5.9,28.2,22.3,223.0,chongqing
30.3644,106.286,10,2.5,5.3,26.2,20.9,209.0,chongqing
29.6122,106.5948,3,0.75,17.5,69.9,52.4,157.0,chongqing
29.8173,106.9759,2,0.5,28.2,101.2,73.0,146.0,chongqing
29.7421,106.8097,4,1.0,10.3,35.6,25.3,101.0,chongqing
30.3303,106.2559,5,1.25,4.1,23.8,19.7,99.0,chongqing
29.5815,106.3403,4,1.0,7.4,30.8,23.4,93.0,chongqing
30.0356,106.741,5,1.25,2.1,18.9,16.8,84.0,chongqing
29.6983,106.5649,2,0.5,12.2,48.1,35.9,72.0,chongqing
30.2957,106.1831,2,0.5,0.8,36.1,35.3,71.0,chongqing
29.5089,106.2265,3,0.75,9.1,31.6,22.5,67.0,chongqing
29.6227,106.24,3,0.75,6.8,28.8,21.9,66.0,chongqing
29.7649,106.8074,3,0.75,9.3,30.8,21.4,64.0,chongqing
29.3165,106.9714,4,1.0,1.3,16.4,15.2,61.0,chongqing
30.1647,106.5484,3,0.75,7.2,27.1,19.9,60.0,chongqing
29.7522,106.6121,2,0.5,10.7,37.1,26.4,53.0,chongqing
29.5164,106.6255,2,0.5,7.4,30.6,23.3,47.0,chongqing
29.2529,106.4421,3,0.75,2.7,17.7,15.0,45.0,chongqing
29.8652,107.1024,3,0.75,4.8,19.7,15.0,45.0,chongqing
29.2753,106.3733,3,0.75,3.9,17.8,13.9,42.0,chongqing
29.842,106.237,2,0.5,0.9,15.3,14.5,29.0,chongqing
29.5164,106.2797,2,0.5,5.3,19.6,14.3,29.0,chongqing
29.4423,106.7715,2,0.5,1.3,15.2,14.0,28.0,chongqing
29.9992,106.3448,2,0.5,1.5,15.2,13.7,27.0,chongqing
30.0756,107.1533,2,0.5,0.8,13.8,13.0,26.0,chongqing
