z,d,rad,n
campus,2019-03-24,,0
ring,2019-03-24,,0
campus,2019-03-25,0.4254198549922316,12
ring,2019-03-25,0.29333030885269845,915
campus,2019-03-26,0.8784912916468388,11
ring,2019-03-26,0.6735608334686602,1345
campus,2019-03-27,0.9442263199933947,8
ring,2019-03-27,0.5718802904673329,1394
campus,2019-03-28,0.35336161097060576,10
ring,2019-03-28,0.5224600092856443,1415
campus,2019-03-29,0.43991802524519796,8
ring,2019-03-29,0.5572470788655141,524
campus,2019-03-30,,0
ring,2019-03-30,0.7109251664513978,430
campus,2019-03-31,,0
ring,2019-03-31,,0
campus,2019-04-01,0.548804863787074,12
ring,2019-04-01,0.7169579701448324,1445
campus,2019-04-02,0.636147197647421,12
ring,2019-04-02,0.6459937775928424,1437
campus,2019-04-03,0.6363390529328383,12
ring,2019-04-03,0.620625203298556,1086
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,,0
ring,2019-04-05,0.7893212373767581,14
campus,2019-04-06,,0
ring,2019-04-06,0.8231854514311104,419
campus,2019-04-07,,0
ring,2019-04-07,,0
campus,2019-04-08,,0
ring,2019-04-08,,0
campus,2019-04-09,0.37938023175980756,6
ring,2019-04-09,0.5000291232773095,1165
campus,2019-04-10,0.8883895871570974,12
ring,2019-04-10,0.5366439261554824,1445
campus,2019-04-11,1.2342574229909054,12
ring,2019-04-11,1.0174759144578087,1344
campus,2019-04-12,,0
ring,2019-04-12,,0
campus,2019-04-13,,0
ring,2019-04-13,,0
campus,2019-04-14,0.49491046088514073,12
ring,2019-04-14,0.5020559292912493,1156
campus,2019-04-15,0.32303032118868796,12
ring,2019-04-15,0.5377083126515826,1431
campus,2019-04-16,0.26597924466177664,10
ring,2019-04-16,0.504223350079311,1400
campus,2019-04-17,,0
ring,2019-04-17,,0
campus,2019-04-18,,0
ring,2019-04-18,,0
campus,2019-04-19,0.16967899650041013,12
ring,2019-04-19,0.07855231186953314,1428
campus,2019-04-20,0.009999999776482582,9
ring,2019-04-20,0.08472818503339889,1429
campus,2019-04-21,0.09320933684388077,12
ring,2019-04-21,0.5573069549815539,1421
campus,2019-04-22,0.23489007817238175,12
ring,2019-04-22,0.3493780087078039,1410
campus,2019-04-23,,0
ring,2019-04-23,,0
campus,2019-04-24,,0
ring,2019-04-24,0.3161397293007359,236
campus,2019-04-25,,0
ring,2019-04-25,,0
campus,2019-04-26,0.8889251733710478,11
ring,2019-04-26,0.8146306106342398,1356
campus,2019-04-27,0.6603541513914308,6
ring,2019-04-27,0.8209112150241973,1314
campus,2019-04-28,,0
ring,2019-04-28,,0
campus,2019-04-29,0.5333265128496445,12
ring,2019-04-29,0.72240280950774,1444
campus,2019-04-30,,0
ring,2019-04-30,1.0293159667248537,94
campus,2019-05-01,,0
ring,2019-05-01,0.7243245095014572,4
campus,2019-05-02,,0
ring,2019-05-02,,0
campus,2019-05-03,,0
ring,2019-05-03,,0
campus,2019-05-04,,0
ring,2019-05-04,,0
campus,2019-05-05,0.779819010217723,12
ring,2019-05-05,0.49954226013771064,1423
campus,2019-05-06,,0
ring,2019-05-06,,0
campus,2019-05-07,1.0210789543625556,12
ring,2019-05-07,1.104171147001977,1444
campus,2019-05-08,,0
ring,2019-05-08,0.6940598550811411,14
campus,2019-05-09,,0
ring,2019-05-09,,0
campus,2019-05-10,,0
ring,2019-05-10,,0
campus,2019-05-11,,0
ring,2019-05-11,,0
campus,2019-05-12,,0
ring,2019-05-12,,0
campus,2019-05-13,1.70004653185606,12
ring,2019-05-13,0.9642557007567043,1435
campus,2019-05-14,0.34369933446012546,10
ring,2019-05-14,0.46885800610824985,1423
campus,2019-05-15,0.7160780262611397,11
ring,2019-05-15,0.4506729769393166,1425
campus,2019-05-16,0.4311981780127019,11
ring,2019-05-16,0.37326548205914717,1330
campus,2019-05-17,0.28384314477014183,9
ring,2019-05-17,0.28100837301538234,1267
campus,2019-05-18,0.2544878595084709,10
ring,2019-05-18,0.19813491033220418,1372
campus,2019-05-19,,0
ring,2019-05-19,,0
campus,2019-05-20,0.035023094419707225,11
ring,2019-05-20,0.15839963069418106,1377
campus,2019-05-21,0.14532866338126812,3
ring,2019-05-21,0.3481040864020344,292
campus,2019-05-22,1.3343424392196368,2
ring,2019-05-22,0.4146569758251334,1312
campus,2019-05-23,0.17730027742029789,7
ring,2019-05-23,0.28239124576631847,1366
campus,2019-05-24,0.7432086703216605,11
ring,2019-05-24,0.42170172823829744,1382
campus,2019-05-25,1.4130314948423852,2
ring,2019-05-25,0.7294017372320256,1028
campus,2019-05-26,0.4847274971961242,9
ring,2019-05-26,0.5326844241701413,1210
campus,2019-05-27,0.6927143204141387,10
ring,2019-05-27,0.6431220810695191,1234
campus,2019-05-28,0.8635930556803941,12
ring,2019-05-28,1.0308347169232193,1399
campus,2019-05-29,1.4079638072926748,12
ring,2019-05-29,1.140869215070468,1161
campus,2019-05-30,,0
ring,2019-05-30,,0
campus,2019-05-31,,0
ring,2019-05-31,0.5818079118206712,232
campus,2019-06-01,1.4006859386331312,9
ring,2019-06-01,0.7008663750471272,1341
campus,2019-06-02,,0
ring,2019-06-02,,0
campus,2019-06-03,,0
ring,2019-06-03,0.5870761677269234,502
campus,2019-06-04,,0
ring,2019-06-04,,0
campus,2019-06-05,,0
ring,2019-06-05,,0
campus,2019-06-06,0.6708962790359406,2
ring,2019-06-06,0.5532150163981461,193
campus,2019-06-07,1.025972604751587,1
ring,2019-06-07,0.6715310353443841,406
campus,2019-06-08,1.4632780789709303,9
ring,2019-06-08,0.9756599749014528,1439
campus,2019-06-09,1.8446205951626844,9
ring,2019-06-09,1.4954026482084883,1416
campus,2019-06-10,0.7509969408981516,9
ring,2019-06-10,0.8354677073005202,1381
campus,2019-06-11,0.6119725426460835,5
ring,2019-06-11,0.6423867754993406,1410
campus,2019-06-12,,0
ring,2019-06-12,,0
campus,2019-06-13,0.9738373948119535,9
ring,2019-06-13,0.6624943047922668,1372
campus,2019-06-14,0.5992256764249154,8
ring,2019-06-14,0.4604468223525081,1388
campus,2019-06-15,,0
ring,2019-06-15,,0
campus,2019-06-16,0.5412386904668506,9
ring,2019-06-16,0.30752546869317476,1407
campus,2019-06-17,,0
ring,2019-06-17,,0
campus,2019-06-18,0.8802869917202605,6
ring,2019-06-18,0.4292792115378536,649
campus,2019-06-19,0.4546261216336833,8
ring,2019-06-19,0.1280866740193823,1422
campus,2019-06-20,,0
ring,2019-06-20,,0
campus,2019-06-21,0.6587244731176202,9
ring,2019-06-21,0.3700511308549148,891
campus,2019-06-22,0.30637373046639704,8
ring,2019-06-22,0.4023097405003743,1330
campus,2019-06-23,,0
ring,2019-06-23,0.041188262461559454,70
campus,2019-06-24,,0
ring,2019-06-24,1.7001223389061018,127
campus,2019-06-25,0.6269077409786384,8
ring,2019-06-25,0.6397667348452982,1104
campus,2019-06-26,,0
ring,2019-06-26,,0
campus,2019-06-27,0.5175336482320843,8
ring,2019-06-27,0.4510924148451418,1415
campus,2019-06-28,0.4586755741642128,8
ring,2019-06-28,0.47146836221051797,1423
campus,2019-06-29,,0
ring,2019-06-29,,0
campus,2019-06-30,,0
ring,2019-06-30,0.7029801730645902,221
campus,2019-07-01,1.463524789218394,9
ring,2019-07-01,0.588900590519482,1405
campus,2019-07-02,0.5240408741109381,12
ring,2019-07-02,0.5605422415426192,1390
campus,2019-07-03,,0
ring,2019-07-03,0.6450915616267234,263
campus,2019-07-04,0.9461864535300433,9
ring,2019-07-04,0.9066751211582873,1020
campus,2019-07-05,1.054627687013463,12
ring,2019-07-05,1.20651976622523,1444
campus,2019-07-06,0.5356589702494216,3
ring,2019-07-06,1.656720596201584,334
campus,2019-07-07,,0
ring,2019-07-07,,0
campus,2019-07-08,0.2803150294250563,12
ring,2019-07-08,0.4270293891422478,1444
campus,2019-07-09,0.6264274348749926,12
ring,2019-07-09,0.5384722369797512,1444
campus,2019-07-10,1.053442452632283,12
ring,2019-07-10,1.0556502627268933,1433
campus,2019-07-11,,0
ring,2019-07-11,,0
campus,2019-07-12,0.7169548024472437,12
ring,2019-07-12,0.7184385727964757,1087
campus,2019-07-13,0.49520012102733485,4
ring,2019-07-13,0.2510970914468929,1077
campus,2019-07-14,,0
ring,2019-07-14,,0
campus,2019-07-15,,0
ring,2019-07-15,6.414885520935059,3
campus,2019-07-16,,0
ring,2019-07-16,1.1494498801551476,239
campus,2019-07-17,0.08904972397487987,11
ring,2019-07-17,0.09521260356325002,1402
campus,2019-07-18,0.15096779996774307,12
ring,2019-07-18,0.29424861298245963,1430
campus,2019-07-19,0.009999999776482582,3
ring,2019-07-19,0.1817791949335478,383
campus,2019-07-20,0.1680862367226693,12
ring,2019-07-20,0.147827360909693,1431
campus,2019-07-21,,0
ring,2019-07-21,0.5205735568075527,29
campus,2019-07-22,0.5442263152242,12
ring,2019-07-22,0.28398187012771364,1417
campus,2019-07-23,,0
ring,2019-07-23,,0
campus,2019-07-24,0.39132177168319354,11
ring,2019-07-24,0.3691401485960109,1421
campus,2019-07-25,0.43273639032639644,11
ring,2019-07-25,0.480754526155124,1427
campus,2019-07-26,0.6005990478907544,11
ring,2019-07-26,0.7263489902874073,1348
campus,2019-07-27,0.616220694990351,9
ring,2019-07-27,0.696600232754056,1353
campus,2019-07-28,0.5443868451502732,10
ring,2019-07-28,0.5530537551515469,1409
campus,2019-07-29,0.47597379298194464,12
ring,2019-07-29,0.4783933106059579,1444
campus,2019-07-30,0.806592961361247,9
ring,2019-07-30,0.3539383068605031,930
campus,2019-07-31,0.618292183458413,12
ring,2019-07-31,0.6938914194826165,1444
campus,2019-08-01,0.8474351349357242,12
ring,2019-08-01,0.8826030421843867,1445
campus,2019-08-02,0.4092237584292889,12
ring,2019-08-02,0.5996626876424541,1436
campus,2019-08-03,,0
ring,2019-08-03,0.5820704726948288,396
campus,2019-08-04,0.3364828178925932,9
ring,2019-08-04,0.43222058517349576,1285
campus,2019-08-05,2.0585361303663565,12
ring,2019-08-05,0.6461954988254448,1444
campus,2019-08-06,1.1252941132964271,12
ring,2019-08-06,0.8702232501169016,1444
campus,2019-08-07,0.6171086819352287,12
ring,2019-08-07,0.701406025756484,1439
campus,2019-08-08,,0
ring,2019-08-08,0.33527634573754295,30
campus,2019-08-09,,0
ring,2019-08-09,,0
campus,2019-08-10,,0
ring,2019-08-10,,0
campus,2019-08-11,0.21109946916248512,10
ring,2019-08-11,0.5764981040415272,1081
campus,2019-08-12,0.30749976760462705,12
ring,2019-08-12,0.3300889255016652,1427
campus,2019-08-13,0.36072471342539714,12
ring,2019-08-13,0.48065803124922685,1428
campus,2019-08-14,0.24933686385690967,12
ring,2019-08-14,0.2529306580298833,1220
campus,2019-08-15,0.16760590389297392,12
ring,2019-08-15,0.15197816368708075,1397
campus,2019-08-16,0.04076848675059266,11
ring,2019-08-16,0.14897828496747564,1375
campus,2019-08-17,0.22959757620743307,11
ring,2019-08-17,0.11874112907971887,1365
campus,2019-08-18,0.1472432151547094,12
ring,2019-08-18,0.13182366240200075,1141
campus,2019-08-19,0.02570967932819928,12
ring,2019-08-19,0.16960337581960375,1432
campus,2019-08-20,0.17658292654730182,12
ring,2019-08-20,0.21684778901149543,1425
campus,2019-08-21,,0
ring,2019-08-21,,0
campus,2019-08-22,0.5721301984814398,9
ring,2019-08-22,0.5610938933595971,1310
campus,2019-08-23,0.13565521370448125,10
ring,2019-08-23,0.3962815967443013,1416
campus,2019-08-24,0.16620610117912293,2
ring,2019-08-24,0.30564890129434386,151
campus,2019-08-25,,0
ring,2019-08-25,,0
campus,2019-08-26,,0
ring,2019-08-26,0.401708283219134,403
campus,2019-08-27,0.8093539389479386,12
ring,2019-08-27,0.6773137503594346,1445
campus,2019-08-28,0.707758754099412,12
ring,2019-08-28,0.7143988232393472,1445
campus,2019-08-29,0.452341625404405,12
ring,2019-08-29,0.5030074516904665,1445
campus,2019-08-30,1.4366823953280248,12
ring,2019-08-30,0.40448832298318754,1439
campus,2019-08-31,1.021652213243217,12
ring,2019-08-31,0.6500022519669441,1421
campus,2019-09-01,0.8625551650522568,12
ring,2019-09-01,0.9327177185872467,1445
campus,2019-09-02,1.7275056655545071,12
ring,2019-09-02,1.0640155555312367,1395
campus,2019-09-03,1.8922463825363194,9
ring,2019-09-03,0.7132474764204232,1243
campus,2019-09-04,0.3212451182961838,9
ring,2019-09-04,0.542933719551762,1356
campus,2019-09-05,0.2678598106166591,4
ring,2019-09-05,0.5026629191801263,1127
campus,2019-09-06,0.68236220946076,8
ring,2019-09-06,0.7088812016407936,1254
campus,2019-09-07,2.214961698782765,12
ring,2019-09-07,1.5743493564895612,1445
campus,2019-09-08,0.7163237467936588,11
ring,2019-09-08,1.3936126015443424,1379
campus,2019-09-09,0.6187304775325618,12
ring,2019-09-09,0.7238556028316503,1200
campus,2019-09-10,0.34758675865549404,12
