ym,campus,ring,n_days,diff
2019-01,0.6805213628296322,0.5503096549695956,13,0.13021170786003655
2019-02,0.7040205987034226,0.5591471801403607,7,0.1448734185630619
2019-03,0.4254198549922316,0.5181301909828363,17,-0.09271033599060469
2019-04,0.5141184868673926,0.5889660791400549,16,-0.07484759227266236
2019-05,0.7043961733376392,0.49954226013771064,18,0.20485391319992852
2019-06,0.6587244731176202,0.5870761677269234,17,0.07164830539069678
2019-07,0.5442263152242,0.5530537551515469,23,-0.008827439927346914
2019-08,0.3486037656589952,0.43222058517349576,24,-0.08361681951450056
2019-09,0.6282030579393987,0.689589421577911,26,-0.06138636363851235
2019-10,0.5481576049078679,0.7716301787683406,15,-0.2234725738604727
2019-11,0.6421941814217789,0.5488775500812721,15,0.09331663134050672
2019-12,0.7325350255352874,0.617540507168127,14,0.11499451836716035
2020-01,0.630591304836656,0.5658207512706284,13,0.06477055356602768
2020-02,0.6229314056566624,0.6101584466852302,11,0.012772958971432158
2020-03,0.9316184695611793,0.4877639385064952,8,0.44385453105468414
2020-04,0.6812475163293511,0.5057219014386284,17,0.17552561489072271
2020-05,0.6229790185977877,0.6711136033238831,22,-0.04813458472609544
2020-06,0.8148492916285641,0.5510185530164231,15,0.263830738612141
2020-07,0.42119159669734796,0.6059917243220534,21,-0.18480012762470543
2020-08,0.4892359881446138,0.4385059192606535,27,0.050730068883960255
2020-09,0.517224857317958,0.4675088778954794,17,0.04971597942247857
2020-10,0.537187675236086,0.48021475973641786,21,0.05697291549966815
2020-11,0.35349378666806874,0.6525291391341264,19,-0.2990353524660576
2020-12,0.34407308869372866,0.4508072999819465,19,-0.10673421128821786
2021-01,0.6320637598820152,0.6940888844695434,15,-0.06202512458752818
2021-02,0.28963037268553615,0.55506686263374,8,-0.2654364899482039
2021-03,0.5368665651595459,0.5638634579195039,15,-0.02699689275995798
2021-04,0.582425454034517,0.46593496129194045,15,0.1164904927425765
2021-05,0.6494673453434778,0.6404456125107021,12,0.009021732832775742
2021-06,0.6998609429621092,0.5563618904861344,18,0.14349905247597483
2021-07,0.7506898629390981,0.7929510652611145,21,-0.042261202322016356
2021-08,0.6389664881419362,0.7591568971537085,21,-0.12019040901177225
2021-09,0.6989546996720111,0.7738475021933836,20,-0.07489280252137254
2021-10,0.6704438683074739,0.7795824867053559,21,-0.10913861839788197
2021-11,0.526448592926186,0.6242856910999107,22,-0.09783709817372477
2021-12,0.5650861892478883,0.8223702809767144,13,-0.25728409172882605
2022-01,0.5364484231357436,0.5768302278915156,21,-0.04038180475577202
2022-02,0.5253262050251198,0.6063555150205855,18,-0.08102930999546565
2022-03,0.5526231077743093,0.6787227159918963,22,-0.12609960821758692
2022-04,0.6568220532450237,0.8431374482014804,17,-0.18631539495645666
2022-05,0.6359508657807355,0.7527619701902466,19,-0.11681110440951115
2022-06,0.7663323494852015,0.8410095358830036,21,-0.07467718639780219
2022-07,0.6150542517580561,0.7204454655006771,15,-0.10539121374262106
2022-08,0.4944007090705156,0.5208555805821085,16,-0.02645487151159287
2022-09,0.574841704202651,0.68690867319227,22,-0.11206696898961899
2022-10,0.8700376398531248,0.8761872115833385,22,-0.006149571730213688
2022-11,1.0438469719384516,1.0127823040117874,15,0.03106466792666418
2022-12,0.8089992430961155,0.9735824750566657,13,-0.16458323196055025
2023-01,0.6158388157554799,0.7084995234573132,16,-0.09266070770183321
2023-02,0.7393989360905382,0.6924465372384464,16,0.04695239885209179
2023-03,0.6756390255902822,0.68218143167331,16,-0.0065424060830278075
