lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
37.6665,108.9112,13,3.25,20.5,131.7,111.2,1446.0,36.0_108.0
38.0723,114.6227,52,13.0,7.9,35.0,27.1,1410.0,38.0_114.0
40.715,111.7459,8,2.0,28.2,204.2,176.0,1408.0,40.0_110.0
42.2867,119.9102,45,11.25,6.6,37.9,31.3,1407.0,42.0_118.0
28.5909,115.7248,69,17.25,3.3,23.5,20.3,1399.0,28.0_114.0
29.8692,115.6411,65,16.25,4.6,25.9,21.3,1385.0,28.0_114.0
31.3404,118.2904,66,16.5,3.7,24.7,21.0,1383.0,30.0_118.0
38.0285,106.6761,33,8.25,3.8,45.3,41.5,1369.0,38.0_106.0
30.2865,104.3297,55,13.75,4.4,29.0,24.6,1353.0,30.0_104.0
38.2237,106.5338,12,3.0,12.6,122.9,110.3,1324.0,38.0_106.0
32.0626,121.694,50,12.5,1.9,28.2,26.3,1316.0,32.0_120.0
36.7534,109.3967,13,3.25,0.9,101.9,100.9,1312.0,36.0_108.0
34.5901,112.5838,39,9.75,8.9,42.1,33.1,1292.0,34.0_112.0
24.0583,117.8821,17,4.25,14.5,90.3,75.8,1289.0,24.0_116.0
38.3328,117.7173,31,7.75,2.5,43.8,41.3,1281.0,38.0_116.0
27.7131,102.8025,21,5.25,14.3,74.6,60.2,1265.0,26.0_102.0
40.6243,109.6547,22,5.5,5.7,63.0,57.3,1261.0,40.0_108.0
38.4103,102.06,32,8.0,2.1,41.4,39.3,1259.0,38.0_102.0
39.0042,116.1381,25,6.25,12.0,62.4,50.3,1259.0,38.0_116.0
34.4913,119.4554,28,7.0,0.8,45.5,44.6,1250.0,34.0_118.0
34.8576,113.7838,43,10.75,6.9,35.6,28.7,1236.0,34.0_112.0
37.5547,111.1411,38,9.5,7.2,39.1,31.8,1210.0,36.0_110.0
39.7029,113.6934,36,9.0,7.6,41.1,33.4,1204.0,38.0_112.0
29.5152,113.2517,19,4.75,9.0,72.2,63.2,1200.0,28.0_112.0
31.8011,116.863,53,13.25,2.8,25.4,22.6,1197.0,30.0_116.0
27.8934,116.4025,30,7.5,6.7,46.4,39.7,1190.0,26.0_116.0
