lat,lon,n_px,area_km2,early,late,diff,sum_diff
35.6165,-89.9538,25,6.25,3.5,84.7,81.2,2030.0
35.4253,-89.4236,25,6.25,6.3,72.6,66.4,1659.0
34.9826,-90.0426,12,3.0,10.7,96.5,85.8,1030.0
35.6749,-89.9643,17,4.25,2.2,48.7,46.5,791.0
35.0163,-89.5784,14,3.5,14.4,67.7,53.3,746.0
34.9979,-90.0395,5,1.25,20.1,114.7,94.6,473.0
35.1104,-90.2127,11,2.75,2.1,21.3,19.2,211.0
35.0313,-90.8144,6,1.5,2.7,35.4,32.8,197.0
34.9901,-89.5897,3,0.75,11.8,63.7,51.9,156.0
35.3891,-89.4138,4,1.0,3.7,27.6,23.9,96.0
35.1623,-89.7597,2,0.5,18.0,60.7,42.8,86.0
35.1825,-89.7327,4,1.0,5.0,24.1,19.2,77.0
35.3644,-89.8899,2,0.5,13.0,44.6,31.6,63.0
34.9961,-90.0988,3,0.75,6.3,25.1,18.8,56.0
34.8737,-89.973,4,1.0,2.5,15.5,13.0,52.0
35.5351,-89.6519,2,0.5,6.0,28.4,22.4,45.0
35.05,-90.4334,2,0.5,0.6,21.2,20.6,41.0
35.0568,-90.6917,2,0.5,1.3,20.0,18.7,37.0
34.9841,-89.5523,3,0.75,1.6,13.2,11.6,35.0
35.1578,-90.2403,2,0.5,3.1,14.4,11.3,23.0
34.4212,-89.9124,2,0.5,4.3,15.5,11.2,22.0
34.8524,-89.6923,2,0.5,2.7,13.5,10.8,22.0
