lat,lon,n_px,area_km2,early,late,diff,sum_diff
40.1088,-82.7314,58,14.5,6.8,44.8,38.0,2204.0
40.0563,-82.7573,12,3.0,15.0,82.3,67.3,807.0
39.8464,-83.0002,7,1.75,19.7,98.3,78.6,550.0
39.7871,-82.9564,6,1.5,14.7,79.0,64.3,386.0
40.1352,-83.2132,6,1.5,8.6,44.5,35.9,215.0
40.0694,-82.773,6,1.5,6.4,34.6,28.2,169.0
39.9803,-82.7296,6,1.5,7.0,35.0,28.0,168.0
39.7787,-83.0147,5,1.25,7.6,38.8,31.2,156.0
39.9582,-83.3367,4,1.0,8.4,36.4,28.1,112.0
39.8425,-82.9684,2,0.5,14.2,62.1,47.9,96.0
39.8234,-82.9673,4,1.0,6.2,30.2,23.9,96.0
40.1899,-83.2918,6,1.5,3.2,17.8,14.6,88.0
40.0177,-83.1256,2,0.5,16.6,58.8,42.2,84.0
39.7961,-82.9317,3,0.75,5.7,26.7,21.0,63.0
40.2243,-83.3322,2,0.5,8.9,33.4,24.5,49.0
40.0312,-82.7393,2,0.5,7.0,28.2,21.3,43.0
39.9369,-82.5372,2,0.5,6.5,26.0,19.4,39.0
40.1869,-83.2027,3,0.75,3.4,16.3,12.9,39.0
40.0357,-82.4833,2,0.5,7.3,26.1,18.9,38.0
