ym,campus,ring,n_days,diff
2019-03,15.21228186994229,10.548548411640533,10.0,4.663733458301756
2019-04,15.829583871500576,10.379467366530063,13.0,5.450116504970513
2019-05,14.555443789919886,9.864758355387222,20.0,4.690685434532664
2019-06,15.831294135613874,9.180496061955683,19.0,6.650798073658191
2019-07,13.426001732419836,9.693402692857383,20.0,3.7325990395624533
2019-08,14.340223156137561,9.858453633566377,24.0,4.481769522571184
2019-09,14.60641422361698,9.854700243196294,19.0,4.751713980420686
2019-10,16.316791782289183,10.33489987563417,23.0,5.981891906655013
2019-11,23.099246048477465,11.17178747436769,21.0,11.927458574109775
2019-12,20.955848342067792,15.85646561800091,7.0,5.099382724066883
2020-01,37.310889597622406,17.429573464432472,6.0,19.881316133189934
2020-02,25.500919690222116,14.319186239569948,15.0,11.181733450652168
2020-03,21.64740559694902,11.449463329097156,15.0,10.197942267851865
2020-04,25.86372904574327,10.48292125490787,18.0,15.3808077908354
2020-05,20.463431503057482,10.405301986260715,17.0,10.058129516796766
2020-06,19.95433655913631,10.40736316935943,12.0,9.546973389776879
2020-07,20.115853103336086,10.764405590025845,24.0,9.35144751331024
2020-08,20.38131113237748,11.305111011208606,29.0,9.076200121168874
2020-09,19.41203704240187,11.517279609998335,27.0,7.8947574324035354
2020-10,23.721736005117315,11.639490873965102,26.0,12.082245131152213
2020-11,22.760417166970814,13.260356356990618,19.0,9.500060809980196
2020-12,23.383250861122924,14.910166403476849,10.0,8.473084457646076
2021-01,28.48421063105573,15.291582110398448,14.0,13.192628520657284
2021-02,37.78915613153007,17.486918296406685,9.0,20.302237835123385
2021-03,22.15491112357522,13.286257877254846,18.0,8.868653246320376
2021-04,23.770460596758195,13.31708334353763,19.0,10.453377253220564
2021-05,21.633671145449746,12.933060378307895,20.0,8.700610767141852
2021-06,21.632012559029008,11.94598150149016,16.0,9.686031057538848
2021-07,20.683391539996116,12.001883622837653,20.0,8.681507917158463
2021-08,20.696505898749933,12.800357187349068,24.0,7.8961487114008655
2021-09,20.73666886923448,12.29248012746328,23.0,8.444188741771201
2021-10,19.970628080952846,11.74240392928898,17.0,8.228224151663866
2021-11,18.504904648381892,13.553897262709187,17.0,4.951007385672705
2021-12,19.069127345085143,16.181067629735914,8.0,2.888059715349229
2022-01,21.1007719417788,14.075274622601631,17.0,7.025497319177168
2022-02,23.91734243608871,15.134294330614807,21.0,8.783048105473902
2022-03,20.1753305273236,14.345098889113512,15.0,5.830231638210087
2022-04,22.287796917094404,13.809677689955272,20.0,8.478119227139132
2022-05,19.746358849703135,14.2762187867046,15.0,5.470140062998535
2022-06,19.973972804618597,12.842221577808706,16.0,7.131751226809891
2022-07,23.13458473918103,13.113483088061908,17.0,10.021101651119121
2022-08,22.481395548919462,12.194292133597827,15.0,10.287103415321635
2022-09,19.979311467566582,12.98213781173057,24.0,6.997173655836011
2022-10,20.35647460829537,12.37797136773607,23.0,7.978503240559299
2022-11,21.114807791080118,14.191580245107685,17.0,6.923227545972432
2023-02,27.650960206085784,22.098123464554057,7.0,5.552836741531728
2023-03,22.120903499171423,19.577177251826672,6.0,2.5437262473447504
2023-04,20.554340610299583,14.175780627719043,18.0,6.378559982580541
2023-05,20.991738711019888,14.045967117957858,19.0,6.94577159306203
2023-06,22.769788823344488,12.504215180176992,11.0,10.265573643167496
2023-07,20.572764868065434,12.818766600489962,20.0,7.753998267575472
2023-08,18.71164376472792,12.889190280221854,21.0,5.822453484506067
2023-09,18.762979233939692,12.995713603149603,20.0,5.767265630790089
2023-10,18.211693953568084,13.559369021953025,23.0,4.652324931615059
2023-11,19.641566416902364,16.611509828795178,19.0,3.030056588107186
2023-12,23.090851716275488,15.78333575923806,15.0,7.3075159570374275
2024-01,18.399239356562777,19.384480002715172,7.0,-0.9852406461523948
2024-02,24.188701900318517,16.86606483291987,15.0,7.322637067398645
2024-03,19.79796615152989,14.8211140787106,14.0,4.976852072819291
2024-04,20.709701689234326,15.65726340050572,19.0,5.052438288728606
2024-05,20.306602645736234,13.54223289434419,17.0,6.764369751392044
2024-06,21.689706723798402,12.810503860306408,14.0,8.879202863491994
2024-07,22.667018595983777,12.968645811069825,16.0,9.698372784913952
2024-08,20.499284648849937,13.85887615512954,24.0,6.640408493720397
2024-09,20.259265049448558,13.721670463157427,23.0,6.5375945862911315
2024-10,20.252332885310338,13.749495674247049,19.0,6.502837211063289
2024-11,21.030146051577805,16.143413953113953,18.0,4.8867320984638525
2024-12,22.06142942140687,16.714915449604153,18.0,5.346513971802718
2025-01,23.441653689979447,21.423817067858636,22.0,2.017836622120811
