ym,campus,ring,n_days,diff
2019-01,46.571037716522866,2.946665803877092,16,43.62437191264578
2019-02,65.43752885647066,3.2134107424726652,10,62.224118113997996
2019-03,39.55053287361896,3.0057701840136266,18,36.544762689605335
2019-04,41.13274686529559,2.949093233475529,14,38.18365363182006
2019-05,35.60590339281882,2.8242400925048354,13,32.78166330031398
2019-06,37.119609395832036,3.04563967127744,11,34.073969724554594
2019-07,34.00237307565492,2.895450617913286,17,31.106922457741636
2019-08,33.45597666237332,3.089632833863744,16,30.36634382850957
2019-09,34.584893415725865,3.168245450117353,16,31.41664796560851
2019-10,34.81952561257399,3.5160792898563438,17,31.303446322717647
2019-11,35.41875284578594,2.930694653345553,17,32.488058192440384
2019-12,45.00929670837228,3.2612902542925504,25,41.74800645407973
2020-01,41.9998767542601,3.1722114424109886,15,38.82766531184911
2020-02,44.15713866801133,3.256748223287788,23,40.90039044472354
2020-03,41.45653141582234,2.888773652152569,17,38.567757763669775
2020-04,38.706576888809536,3.104674308413966,19,35.60190258039557
2020-05,40.97452728705898,3.460508631820011,17,37.51401865523897
2020-06,40.64177672338825,3.2422920439046714,9,37.39948467948358
2020-07,34.60758225383284,2.684660652634907,15,31.92292160119793
2020-08,32.1352911036297,2.4013886453480366,11,29.733902458281662
2020-09,37.84757949622314,2.6571063848195893,15,35.19047311140355
2020-10,32.86666159486975,2.7353112140944496,12,30.1313503807753
2020-11,40.940300466670806,2.8826904897614307,13,38.057609976909376
2020-12,61.347165032902396,3.960397193062982,21,57.386767839839415
2021-01,66.45294361141713,3.601401043901794,23,62.85154256751533
2021-02,73.77038711351948,4.589920143110018,17,69.18046697040946
2021-03,67.4457864911002,3.1161456842541204,13,64.32964080684607
2021-04,62.188249363538716,3.5212773537256528,12,58.666972009813065
2021-05,63.239739194713884,3.459279605646162,19,59.780459589067725
2021-06,55.9467470942416,3.631080943564064,14,52.31566615067754
2021-07,56.15957263932958,3.902140707900317,17,52.25743193142927
2021-08,55.400053466437726,3.338033863249786,12,52.06201960318794
2021-09,51.87130841242945,3.131230089541722,11,48.740078322887726
2021-10,48.90952903431935,4.251395645500812,9,44.658133388818534
2021-11,73.99089789560622,4.701854696213415,24,69.28904319939281
2021-12,74.06401233156127,5.10310698274373,21,68.96090534881755
2022-01,67.81122836985024,4.437506999659156,17,63.373721370191085
2022-02,70.76504077176736,4.848285293509298,16,65.91675547825807
2022-03,66.77203688573906,4.842830284830775,13,61.92920660090828
