lat,lon,n_px,area_km2,early,late,diff,sum_diff
40.0915,113.295,37,9.25,56.4,324.3,267.9,9912.0
40.1098,113.318,10,2.5,20.4,124.3,103.9,1039.0
41.8451,114.5932,38,9.5,4.5,29.4,24.9,945.0
40.0915,111.2644,7,1.75,18.1,148.8,130.7,915.0
40.7161,111.7414,4,1.0,56.6,234.6,178.0,712.0
40.9475,113.256,13,3.25,1.7,40.5,38.9,505.0
40.8427,111.7467,3,0.75,67.5,226.6,159.1,477.0
40.9921,113.3133,15,3.75,4.5,32.4,27.9,419.0
40.4197,114.0456,14,3.5,2.8,30.0,27.3,382.0
40.4022,113.0022,5,1.25,16.6,75.4,58.8,294.0
40.0576,113.2394,9,2.25,12.3,44.2,31.9,287.0
40.5859,111.847,8,2.0,0.9,34.2,33.4,267.0
40.1569,111.3901,7,1.75,1.4,29.2,27.8,194.0
40.7049,111.4427,9,2.25,6.1,27.6,21.5,194.0
41.8742,114.6003,15,3.75,1.8,14.7,12.8,193.0
40.0738,113.2192,4,1.0,12.5,53.5,41.0,164.0
40.0393,113.5565,5,1.25,6.3,36.3,30.0,150.0
40.5395,111.8305,6,1.5,5.8,30.7,24.9,149.0
40.0563,113.6086,5,1.25,3.0,31.1,28.1,140.0
40.1098,111.4113,6,1.5,1.9,23.2,21.3,128.0
40.0806,112.6972,7,1.75,1.2,19.0,17.8,125.0
40.782,113.2835,6,1.5,3.7,24.3,20.6,124.0
40.9239,113.199,8,2.0,1.6,17.0,15.5,124.0
40.1003,113.5861,5,1.25,1.2,25.2,24.0,120.0
40.7543,111.9278,3,0.75,0.9,40.2,39.3,118.0
41.1913,114.6985,7,1.75,3.9,20.5,16.6,116.0
40.3312,113.7595,5,1.25,4.9,26.3,21.4,107.0
40.4788,111.5715,3,0.75,12.2,46.0,33.8,101.0
40.8711,111.71,2,0.5,21.3,69.2,47.9,96.0
40.4498,113.1244,5,1.25,5.5,24.0,18.5,93.0
40.7346,112.0051,5,1.25,2.0,20.2,18.2,91.0
41.1181,113.994,7,1.75,1.2,13.8,12.6,88.0
41.5426,111.7055,4,1.0,5.2,26.6,21.4,86.0
40.9834,113.2506,2,0.5,15.1,55.9,40.8,82.0
40.7304,111.1635,6,1.5,3.4,16.3,12.9,77.0
40.2483,113.1406,3,0.75,10.0,35.1,25.1,75.0
40.8479,113.8046,6,1.5,1.0,13.3,12.3,74.0
40.5327,111.8141,3,0.75,8.1,31.7,23.6,71.0
40.7352,111.7167,4,1.0,6.3,23.9,17.6,71.0
40.6544,114.7822,4,1.0,5.6,23.1,17.5,70.0
40.0297,112.9714,3,0.75,2.5,24.5,22.0,66.0
40.1794,112.9092,2,0.5,0.6,33.4,32.8,66.0
41.1204,111.6516,4,1.0,0.4,16.7,16.3,65.0
41.5426,113.6189,4,1.0,1.9,16.4,14.4,58.0
42.2815,115.0203,2,0.5,4.1,30.4,26.3,53.0
40.6229,115.0978,4,1.0,3.8,16.4,12.6,50.0
41.5418,115.1902,3,0.75,0.7,17.2,16.5,50.0
42.2335,113.8667,3,0.75,2.6,18.7,16.1,48.0
41.4303,113.1945,2,0.5,5.7,29.2,23.5,47.0
40.4474,113.1421,3,0.75,4.7,19.7,15.0,45.0
40.0222,111.1688,3,0.75,0.6,15.2,14.6,44.0
41.8622,114.1078,3,0.75,1.7,15.1,13.3,40.0
40.7184,112.0558,2,0.5,0.6,20.5,19.9,40.0
40.7304,113.6825,3,0.75,3.4,16.6,13.2,40.0
40.8067,113.2005,3,0.75,2.2,15.1,12.9,39.0
40.8636,112.6839,3,0.75,4.0,16.9,12.8,39.0
41.8158,114.5898,3,0.75,0.9,13.6,12.7,38.0
40.5432,111.7212,3,0.75,2.9,15.6,12.7,38.0
40.2228,113.166,3,0.75,0.7,13.4,12.6,38.0
40.6577,111.7078,2,0.5,4.6,23.5,18.9,38.0
40.0132,111.2721,3,0.75,1.0,12.7,11.6,35.0
40.5582,111.8575,3,0.75,3.3,14.6,11.4,34.0
41.1855,114.7373,2,0.5,4.3,21.1,16.8,34.0
40.0446,111.1194,3,0.75,2.4,13.5,11.1,33.0
41.3247,112.6173,2,0.5,0.5,17.2,16.7,33.0
40.6869,111.719,2,0.5,2.4,19.0,16.6,33.0
41.1002,113.1922,2,0.5,0.8,16.7,15.9,32.0
40.0581,111.2429,2,0.5,4.6,20.0,15.4,31.0
41.7492,114.0748,2,0.5,0.4,15.6,15.2,30.0
40.0379,112.633,2,0.5,1.1,14.9,13.8,28.0
40.7408,111.436,2,0.5,5.5,19.1,13.7,27.0
40.4489,113.1608,2,0.5,4.4,17.8,13.4,27.0
40.5432,111.8537,2,0.5,3.3,16.7,13.3,27.0
41.5763,113.5515,2,0.5,2.0,15.1,13.1,26.0
40.9564,112.0154,2,0.5,3.7,16.5,12.8,26.0
40.541,111.7841,2,0.5,1.6,14.2,12.7,25.0
42.4072,114.4678,2,0.5,1.8,14.1,12.3,25.0
40.9317,113.3292,2,0.5,2.8,15.0,12.2,24.0
41.5538,114.5711,2,0.5,0.4,12.5,12.1,24.0
40.5252,112.6847,2,0.5,0.6,12.1,11.4,23.0
40.2243,111.3147,2,0.5,1.7,13.1,11.3,23.0
41.5314,113.6099,2,0.5,1.4,12.6,11.2,22.0
41.7694,114.4139,2,0.5,0.4,11.4,11.0,22.0
41.1024,113.9872,2,0.5,2.3,13.2,10.9,22.0
40.651,111.2429,2,0.5,2.8,13.7,10.8,22.0
