lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
26.4223,106.5007,7,1.75,4.5,23.2,18.7,131.0,guizhou
26.4677,106.5447,4,1.0,7.5,27.0,19.5,78.0,guizhou
26.4831,106.3343,3,0.75,5.7,31.2,25.5,77.0,guizhou
26.4734,106.4863,2,0.5,13.3,50.6,37.3,75.0,guizhou
27.0303,106.8321,4,1.0,0.9,17.6,16.6,67.0,guizhou
26.5085,106.761,3,0.75,6.5,22.1,15.6,47.0,guizhou
26.4621,106.4549,2,0.5,2.3,20.3,18.0,36.0,guizhou
26.6418,106.5671,2,0.5,5.9,20.7,14.7,29.0,guizhou
27.1044,106.7154,2,0.5,2.0,15.8,13.8,28.0,guizhou
26.5475,107.1196,2,0.5,1.3,13.3,12.0,24.0,guizhou
27.0999,106.904,2,0.5,4.0,15.5,11.5,23.0,guizhou
