lat,lon,n_px,area_km2,early,late,diff,sum_diff
41.6761,-86.4713,44,11.0,4.1,51.5,47.4,2085.0
41.7155,-86.8433,10,2.5,6.0,53.6,47.6,476.0
41.5725,-85.7816,6,1.5,7.1,39.4,32.3,194.0
41.7658,-86.7939,5,1.25,2.3,15.3,13.0,65.0
41.7492,-86.3393,2,0.5,11.4,41.3,29.9,60.0
41.6362,-85.73,3,0.75,2.9,18.7,15.8,47.0
41.9146,-85.986,3,0.75,4.0,19.4,15.5,46.0
41.0058,-86.7368,2,0.5,0.6,12.6,12.0,24.0
