z,d,rad,n
campus,2019-03-15,0.507747888829973,6
ring,2019-03-15,0.9548439374816174,1171
campus,2019-03-16,0.16248217663285897,13
ring,2019-03-16,0.6696482503995148,1357
campus,2019-03-17,,0
ring,2019-03-17,1.1115013272783918,489
campus,2019-03-18,0.19149952365118947,13
ring,2019-03-18,0.6282497975323574,1500
campus,2019-03-19,,0
ring,2019-03-19,,0
campus,2019-03-20,0.04044089953000555,13
ring,2019-03-20,0.4175456113109498,1570
campus,2019-03-21,0.009999999776482582,11
ring,2019-03-21,0.39734929956615145,1468
campus,2019-03-22,0.008140495685814333,4
ring,2019-03-22,0.36016677083634097,1562
campus,2019-03-23,0.01000189157580822,13
ring,2019-03-23,0.49901542703734975,1522
campus,2019-03-24,0.012117255056165881,12
ring,2019-03-24,0.7228825672461456,1383
campus,2019-03-25,0.06191823724843192,13
ring,2019-03-25,0.7436178625586058,1438
campus,2019-03-26,,0
ring,2019-03-26,1.1777343070353319,876
campus,2019-03-27,0.3567901788146562,9
ring,2019-03-27,0.7275510892611594,1240
campus,2019-03-28,,0
ring,2019-03-28,0.6786886873803013,27
campus,2019-03-29,0.3477240968706286,13
ring,2019-03-29,1.0556060171982227,1595
campus,2019-03-30,0.4336357581480613,13
ring,2019-03-30,1.2499230924820468,1596
campus,2019-03-31,0.3117157830953598,7
ring,2019-03-31,0.947543920954162,1213
campus,2019-04-01,0.12959198653697968,1
ring,2019-04-01,0.7327701017062307,1312
campus,2019-04-02,,0
ring,2019-04-02,0.46483478629002967,611
campus,2019-04-03,0.26484563683747686,13
ring,2019-04-03,0.9866349372952729,1357
campus,2019-04-04,0.48181085418401687,13
ring,2019-04-04,1.2843976917055857,1427
campus,2019-04-05,0.2483291147097982,10
ring,2019-04-05,0.8384479675110527,1314
campus,2019-04-06,0.16184858669294047,3
ring,2019-04-06,0.9032881038381668,1028
campus,2019-04-07,,0
ring,2019-04-07,1.7511402105740395,319
campus,2019-04-08,,0
ring,2019-04-08,,0
campus,2019-04-09,0.25186503877341554,13
ring,2019-04-09,1.0480248730907542,1562
campus,2019-04-10,0.2940692834194232,13
ring,2019-04-10,0.7891671090942515,1596
campus,2019-04-11,,0
ring,2019-04-11,,0
campus,2019-04-12,,0
ring,2019-04-12,0.3180972468303864,14
campus,2019-04-13,0.30824024635178593,9
ring,2019-04-13,0.869168375728497,1192
campus,2019-04-14,0.0,8
ring,2019-04-14,0.7969771628315636,1532
campus,2019-04-15,0.11723411563816107,13
ring,2019-04-15,0.7010629642193213,1539
campus,2019-04-16,,0
ring,2019-04-16,,0
campus,2019-04-17,,0
ring,2019-04-17,2.3748890106282428,12
campus,2019-04-18,,0
ring,2019-04-18,,0
campus,2019-04-19,,0
ring,2019-04-19,,0
campus,2019-04-20,0.09020780926778357,11
ring,2019-04-20,0.48111842060457116,1567
campus,2019-04-21,0.009999999776482582,11
ring,2019-04-21,0.41756911200382757,1574
campus,2019-04-22,0.0832501809989558,11
ring,2019-04-22,0.4266978548485715,1578
campus,2019-04-23,0.12325837860438735,11
ring,2019-04-23,0.3999868977909467,1580
campus,2019-04-24,0.11038667017574166,11
ring,2019-04-24,0.4476019707111405,1581
campus,2019-04-25,0.3609065157931022,11
ring,2019-04-25,0.795851877451875,1526
campus,2019-04-26,,0
ring,2019-04-26,,0
campus,2019-04-27,0.3166460183429275,11
ring,2019-04-27,0.7168833029437084,1561
campus,2019-04-28,,0
ring,2019-04-28,,0
campus,2019-04-29,0.10471550385966807,11
ring,2019-04-29,0.599920066125237,1596
campus,2019-04-30,0.24338957436501663,11
ring,2019-04-30,0.9090389419068988,1485
campus,2019-05-01,1.0279849307175648,11
ring,2019-05-01,1.488374060139323,1569
campus,2019-05-02,0.49588099413333425,11
ring,2019-05-02,0.9341986317950581,1551
campus,2019-05-03,0.31971323453154127,3
ring,2019-05-03,0.4710228159628097,298
campus,2019-05-04,,0
ring,2019-05-04,,0
campus,2019-05-05,,0
ring,2019-05-05,,0
campus,2019-05-06,,0
ring,2019-05-06,2.75395609020204,361
campus,2019-05-07,,0
ring,2019-05-07,,0
campus,2019-05-08,0.3191927501713818,11
ring,2019-05-08,0.7945401082768205,1596
campus,2019-05-09,,0
ring,2019-05-09,0.7528793196312309,70
campus,2019-05-10,0.33279224310783634,11
ring,2019-05-10,0.8930178102839441,1596
campus,2019-05-11,,0
ring,2019-05-11,1.4230225474337117,31
campus,2019-05-12,0.6618557846906813,11
ring,2019-05-12,1.4125564607284622,1596
campus,2019-05-13,0.4086787592461136,11
ring,2019-05-13,0.9345189222310414,1590
campus,2019-05-14,,0
ring,2019-05-14,0.38857383961946684,44
campus,2019-05-15,0.18033980462264193,11
ring,2019-05-15,0.5865061480829423,1558
campus,2019-05-16,,0
ring,2019-05-16,,0
campus,2019-05-17,,0
ring,2019-05-17,,0
