site_id,n_frames,mean_delta_t_k,sd_delta_t_k,area_ha,pue_assumed,it_hat_mw,it_lo_mw,it_hi_mw,q_hat_mw,q_lo_mw,q_hi_mw,q_identified,slope_identified,capacity_tier,capacity_it_mw,utilisation,utilisation_identified,in_training_set
colossus_memphis,119,2.809823529411765,2.7267843998947683,12.330567094734581,1.2,,,,,,,False,True,A1,125.0,,False,True
ctrl_abilene_a,171,1.118122807017544,2.385326871694888,6.713243501653732,1.0,,,,,,,False,True,U,,,False,False
ctrl_memphis_a,128,4.305414062500001,2.9309787259154905,4.827796360307317,1.0,498.2824588255137,100.97962740836044,895.5852902426668,498.2824588255137,100.97962740836044,895.5852902426668,True,True,U,,,False,False
ctrl_memphis_navy,127,1.47548031496063,2.7842036502165683,4.148008501336818,1.0,,,,,,,False,True,U,,,False,False
ctrl_newalbany_af,130,7.93533076923077,5.891320972135224,7.753969689524604,1.0,1592.8674524991316,679.1098149277101,2506.625090070553,1592.8674524991316,679.1098149277101,2506.625090070553,True,True,U,,,False,False
ctrl_newalbany_dsv,132,1.0339090909090909,2.3774219389165894,11.312075568984536,1.0,,,,,,,False,True,U,,,False,False
ctrl_newcarlisle_mfg,138,0.26128985507246383,2.80935934771041,3.839463625175158,1.0,,,,,,,False,True,U,,,False,False
ctrl_prineville_schwab,73,-5.125890410958903,2.3208085370407483,5.098479519568209,1.0,,,,,,,False,True,U,,,False,False
ctrl_racine_b,164,5.905237804878048,4.868723597690597,8.196483122146745,1.0,1327.4798785606267,496.7165836764277,2158.2431734448255,1327.4798785606267,496.7165836764277,2158.2431734448255,True,True,U,,,False,False
ctrl_racine_mke1,159,1.5865094339622645,2.50483177096982,9.531029223205762,1.0,,,,,,,False,True,U,,,False,False
fairwater_wi,50,-0.27692,1.649226285386018,17.500000000066795,1.15,,,,,,,False,True,A2,347.82608695652175,,False,True
hyperion_la,18,3.7357793707686175,3.9811705524675105,29.25000000003056,1.15,2624.0247811026156,257.37376724658174,4990.675794958649,3017.6284982680077,295.979832333569,5739.277164202446,True,True,U,,,False,False
nsa_utah,302,-0.2425397350993377,1.3402208686709784,10.00843126112225,1.3,,,,,,,False,True,A1,50.0,,False,True
nscc_guangzhou,30,-0.6844999999999999,1.711289667936497,2.561689320292374,1.3,,,,,,,False,True,A1,18.5,,False,True
nscc_wuxi,65,0.40641538461538457,1.7385123929338597,2.5621723632993896,1.3,,,,,,,False,True,A1,15.4,,False,True
ornl_olcf,202,3.2711584158415836,2.5794421867295387,9.1056080909208,1.25,698.9860710332479,12.90551363458855,1385.066628431907,873.7325887915598,16.131892043235688,1731.3332855398837,True,True,A1,24.6,28.414067928180806,True,True
prineville,351,-0.2668627930807251,1.7817044081681168,30.5867807869656,1.1,,,,,,,False,True,U,,,False,False
prometheus_oh,136,1.7360944603204855,2.6008059402358605,21.432704662430588,1.15,,,,,,,False,True,A2,217.3913043478261,,False,False
rainier_in,68,1.98401230310942,2.852464625353712,31.274270346861456,1.15,,,,,,,False,True,A2,1078.2608695652175,,False,True
riken_kobe,103,0.49294174757281556,1.703405083627006,0.9991794913908439,1.3,,,,,,,False,True,A1,29.9,,False,True
stargate_abilene,170,-0.4336696194075858,2.331086327041816,42.32040289266008,1.15,,,,,,,False,True,A2,521.7391304347826,,False,True
