ym,VV:phase1_block1,VV:phase1_block2,VV:phase2_mid_block1,VV:phase2_mid_block2,VV:phase2_mid_block3,VV:phase2_mid_block4,VV:phase2_south_block1,VV:phase2_south_block2,VV:phase2_south_block3,VV:phase2_south_block4,VV:phase2_south_block5,VV:phase2_south_block6,VH:phase1_block1,VH:phase1_block2,VH:phase2_mid_block1,VH:phase2_mid_block2,VH:phase2_mid_block3,VH:phase2_mid_block4,VH:phase2_south_block1,VH:phase2_south_block2,VH:phase2_south_block3,VH:phase2_south_block4,VH:phase2_south_block5,VH:phase2_south_block6
2022-01,-13.186643537178234,-15.267860359356696,-16.555781322336514,-12.353861309980822,-12.347619504377521,-13.308035572221371,-15.948387773587394,-12.021532685242807,-13.301714561843035,-14.8166075041311,-12.906621616251957,-12.836640366574304,-20.017076336332103,-22.7981291231004,-26.845690398693772,-19.579302029905058,-19.994455849700746,-20.406348645842513,-24.968520652896814,-18.85003303543784,-20.306880740909754,-23.338167992854444,-20.134002115853885,-19.928649689296854
2022-02,-12.820475073363408,-15.358295404411946,-15.956427482766088,-12.103819446092713,-12.245612509922303,-13.101378230924043,-15.523703433671324,-11.5361414847794,-12.874792224735625,-15.088902357723285,-12.926705398818283,-12.740988661665792,-20.268191546131785,-22.27564992521754,-26.894510981690676,-19.436358927033144,-19.99273013081819,-20.36241857783286,-24.849815134819842,-18.768641929156903,-20.68656689191349,-23.20237098117017,-20.2696893709105,-19.99389355490786
2022-03,-12.904534598703533,-14.495314424211763,-15.556478297787638,-11.960494296489546,-12.380890285070798,-12.793472245213858,-15.322368649535722,-11.425918190406561,-12.451208089550363,-14.393108103373862,-13.018507969176785,-12.206484382648442,-19.376654490389264,-21.66737373414415,-26.574354057385143,-18.801155682722033,-19.82156723509265,-20.264723361546974,-24.15852780402126,-17.921970663722163,-19.789775852636325,-22.844423020458393,-19.749846717215622,-19.315691945282452
2022-04,-12.931347249725714,-14.513199971840521,-16.912442123603867,-11.794381733227377,-12.462777557573052,-12.558816529821378,-15.259221748900666,-11.539187932896525,-12.457636775602564,-14.230154734831236,-12.866533081398384,-12.372936617817683,-19.279650253571337,-21.222591475510075,-26.83955796583742,-18.660951887833313,-19.460427989035097,-20.29664207151416,-24.25889681286763,-17.900274419989273,-19.236822108016113,-21.57251073439513,-19.242630432738416,-19.24412751939539
2022-05,-12.808486872906462,-14.409557661942564,-17.04750491135868,-11.831734054563064,-12.057513428665127,-12.896254074872742,-15.424061983155815,-12.009886963985895,-12.372813355191639,-14.1142634327876,-12.98232130629762,-12.049070125828603,-19.43604872672331,-21.228237852735468,-26.630102860644357,-18.41363221268628,-19.657568602183225,-19.63558860830483,-24.71138013085747,-18.085175010505765,-18.724944092855317,-21.312057962137878,-19.43941525361661,-18.926247559490605
2022-06,-12.982080082762684,-14.585735926115214,-16.577274378726436,-12.00906567072586,-12.463667709577688,-12.841177324074462,-15.35896453189862,-11.756237394830908,-12.29651224487859,-14.326978484228558,-12.677058151842173,-12.147456000250251,-19.027415886385796,-21.701871592172655,-26.190880053917674,-18.348390925582947,-19.410340658319353,-19.203904206713393,-24.481251292723574,-17.812899259931502,-19.00882726790155,-21.488032166407127,-19.322476928414748,-19.02095806231911
2022-07,-12.704473561996714,-14.735562812882065,-16.2561454735182,-11.778354816660919,-12.308503677258216,-13.139156465494331,-15.14377792949331,-11.854712491366179,-12.469316658620436,-14.188194672826187,-12.779576063843926,-12.255889061938275,-19.22614373010896,-21.57231399147266,-25.41196391989625,-18.655870255365727,-19.36541228237105,-19.40359197763359,-24.05470139916119,-18.13186277619537,-19.11344507835007,-21.545179009220476,-18.95794212096625,-19.45756280186706
2022-08,-13.004556823930566,-15.243491646190336,-16.545108428608806,-12.135952650822489,-13.281727703037893,-13.606201543214718,-15.24718104311653,-12.176113273050163,-12.690141519603255,-14.644050927489406,-13.11676800833272,-13.018100628976297,-19.859278180055007,-21.997275628819985,-25.626737696571862,-19.000562724440858,-19.490550240557376,-19.77160239624869,-24.207035298871425,-18.78052906566617,-19.711543308416157,-22.454495469214923,-20.1795108355901,-19.64134288486226
2022-09,-12.753540533600239,-14.764260881402844,-15.752031055316223,-12.167488835521539,-12.688589852423716,-13.234911779566753,-15.155127990201587,-12.008186975764408,-12.864164844747304,-14.240608854358781,-12.95887142179883,-12.277557733377137,-19.88154594364875,-21.723048842702493,-24.789936864490116,-19.02476346333483,-19.56424525681128,-19.578104946509434,-23.347848347489272,-18.55428393362456,-19.505592358980273,-21.962250625053596,-19.740817119003157,-19.473752379910735
2022-10,-12.593882155085035,-14.137660854298822,-14.731347488569988,-11.992351286041526,-12.741367379920586,-12.795800731886573,-14.206802143424461,-11.754598865919679,-12.400468297494843,-14.115878419793777,-12.988700266389174,-12.68203235891065,-19.63049608421573,-21.516920738222613,-23.565162670070826,-19.28312192893256,-19.782482921339735,-19.902955692323825,-22.92232991213653,-18.0488122958661,-19.536713967070888,-21.99258680283618,-20.05086096936975,-19.751757771976877
