ym,VV:phase1_block1,VV:phase1_block2,VV:phase2_mid_block1,VV:phase2_mid_block2,VV:phase2_mid_block3,VV:phase2_mid_block4,VV:phase2_south_block1,VV:phase2_south_block2,VV:phase2_south_block3,VV:phase2_south_block4,VV:phase2_south_block5,VV:phase2_south_block6,VH:phase1_block1,VH:phase1_block2,VH:phase2_mid_block1,VH:phase2_mid_block2,VH:phase2_mid_block3,VH:phase2_mid_block4,VH:phase2_south_block1,VH:phase2_south_block2,VH:phase2_south_block3,VH:phase2_south_block4,VH:phase2_south_block5,VH:phase2_south_block6
2022-11,-12.908945573955345,-14.928205801126191,-15.260205652843258,-12.221134427432988,-12.35776710578287,-13.18372271725319,-14.649932217172733,-11.627104175401382,-13.143664711977094,-14.66224353072303,-13.119936132067613,-13.120119516736649,-20.267780015131994,-21.873256751424233,-23.64757386413106,-19.49161022030531,-20.307143170874376,-19.796015216317233,-23.810224909043683,-18.63985129413453,-20.524518808467597,-23.00395871847838,-20.269557696727052,-19.87652394141118
2022-12,-13.048098840914644,-14.769702043431916,-13.638246757030844,-12.033658403796874,-12.741726963524126,-13.0948283340541,-13.847439161497348,-12.159136087969648,-12.807281161747056,-14.614337729095602,-13.299841452120031,-12.886891209144494,-20.420819385534003,-21.611868202654065,-22.445861017716574,-19.89045113029575,-20.29842191194198,-19.981371375582206,-22.354325136381647,-18.85243136293026,-20.203980111174324,-22.53149953276401,-20.37727238155867,-20.232711808548732
2023-01,-13.003555785145227,-14.80000516064919,-15.704046683445545,-12.027168602132761,-12.339004695702172,-12.752752335271559,-14.871148677975627,-12.129556200826254,-12.79851256350592,-14.309124927983898,-13.153410666258026,-12.6321985620107,-20.122379108962058,-22.07957957325857,-23.771055372436532,-19.507962215601765,-20.173799097507064,-19.62566679559486,-23.18270668832081,-18.57913865973651,-20.062803968489987,-22.358033877938855,-20.653355249823818,-20.08683369438577
2023-02,-12.175039881033936,-13.716183054698565,-13.84078808349082,-11.212336003583594,-11.799004366708935,-12.29529781360989,-13.303430198705588,-11.237282034258872,-12.022763645876513,-13.513239576421974,-12.697802209564639,-12.033307824917339,-19.609108208073543,-20.923251692103307,-22.56944064042379,-19.0148165411466,-19.595166346298754,-19.043552700939653,-22.079520817968195,-17.496711136783382,-19.21346675108762,-21.543965514499163,-19.91188561567699,-19.46523640345466
2023-03,-12.757905991463383,-14.183487132445043,-14.90960153814913,-11.475640184300525,-12.48133706285904,-12.249309324652119,-14.478480569803448,-11.22147837804921,-12.001208360299914,-14.155640633646316,-12.816719400107122,-12.765991900447553,-19.597880617863726,-21.04032443718218,-23.343255763765015,-18.667324620534526,-19.653239106789787,-19.52841715802954,-22.686508350977423,-17.698508628414434,-19.527016932373467,-21.971287412873973,-19.755453493115304,-19.648027999509665
2023-04,-12.473901942592608,-12.918788680642953,-14.127959132146508,-11.507331741891107,-12.516922449401513,-11.877590584374667,-13.858140382318762,-11.476959938504676,-12.056012938977105,-13.06221706850139,-12.5280011591483,-12.359989456033588,-18.723466610565566,-20.07750753784154,-21.847355433580866,-18.18326517273468,-19.236010988748884,-18.768429270998553,-21.3514519390502,-18.14451012986474,-18.692133965061394,-20.49183892791227,-19.001073618789093,-18.828069278875645
2023-05,-11.371258791427126,-11.638316240523745,-13.620792848844166,-10.987523832839747,-11.52880903961207,-11.001047629391788,-12.98869336774784,-10.537246433730736,-10.835616397210293,-12.664375315910359,-11.18770470782212,-11.117495510582067,-18.520312845865114,-19.088942838283792,-19.89483078070228,-17.568038465217096,-18.69362048663852,-18.106459124644655,-19.895779620571858,-17.2521694314283,-18.04752785356059,-19.91732987417179,-18.292445342657377,-17.99741873638244
2023-06,-11.589064358252518,-12.198152486915436,-13.906975809684443,-11.401865584342337,-11.79190443304556,-11.74088046377287,-13.212581442294077,-11.294332930111308,-10.99723063408116,-13.113100488890531,-11.288343690512583,-11.320864265107558,-17.882265076935166,-18.706153196667916,-20.416938428825034,-17.667181249986797,-18.404736395381107,-18.07599218287625,-20.50927662315509,-17.091410734743153,-17.846348352288675,-19.72757249012147,-17.636324328817437,-17.709337075325607
2023-07,-12.042861114962818,-12.81820076629374,-16.79055645238476,-11.377142458044677,-11.991232128807171,-11.677236161684084,-14.595799866590262,-10.798144675196731,-11.688788704735808,-13.231045179849456,-11.377004537682803,-11.568849369106623,-18.84585026122561,-19.224627747837864,-24.912833369218085,-17.45750999406042,-18.49668725122278,-18.58318855766196,-21.721849298301063,-17.820222208066202,-18.02093087067361,-19.9106238677981,-17.785930240678304,-17.363504983094153
2023-08,-12.443129620643568,-14.081982941329077,-17.244660603765645,-11.682295604454204,-12.372093669699616,-12.41190765383066,-15.753820738909853,-11.611047124527857,-12.051935131684743,-13.748350935011375,-12.122563968675863,-12.117807540018644,-19.07565376176492,-20.569920598926227,-26.583010997988463,-18.526811824161598,-19.133632243628362,-19.31472025332225,-24.400937801695182,-17.569817364746093,-18.2753884719031,-20.78029605346274,-19.0891779533234,-18.86480704409396
2023-09,-12.221666384136464,-13.41901190656628,-15.874013737663368,-11.736664401484036,-11.88407671582638,-12.18877300603197,-15.214023514196128,-11.422844740313366,-11.895211139539745,-13.249090406783171,-12.060019505429953,-12.225025703940727,-19.06268328033839,-20.803712900383736,-24.90546313677887,-18.207909522498678,-18.803168066432367,-18.681823571844347,-23.411599793622514,-18.157179151232118,-18.6452750500746,-21.11707291349976,-18.629191326381537,-18.627814176189837
2023-10,-12.428446427917585,-13.134250537000332,-15.290499801764888,-11.780398619390274,-12.092932217349595,-12.493686606053686,-14.865674373846248,-11.45774305756224,-12.052223072176611,-14.005649819862427,-12.5092300366581,-12.328659831513963,-19.07995079529878,-20.50616526499979,-23.19518401776139,-18.68838917945244,-19.608199106825165,-19.14944369049222,-22.624168682506024,-17.802645713014304,-18.39037639419897,-21.260570966559893,-19.00416945047457,-18.93117798543011
2023-11,-12.86599910962758,-14.140041147916495,-15.460622763509472,-12.500506460272423,-12.479406662118617,-13.32298218691576,-15.406705535937638,-11.76676018224433,-12.853340171129524,-14.711873033646103,-13.394916879114211,-12.82485755195635,-20.502359528066037,-21.586639523601114,-24.16546806521598,-19.340694205264203,-20.132546052737794,-19.92581392782521,-23.66111012056424,-18.061193291348673,-19.924920695941385,-22.189086760325367,-20.348514866800528,-19.81114054714186
2023-12,-13.11352897027898,-14.240390865367889,-16.249537723269967,-12.326747183760206,-12.753211013931903,-12.688449413260509,-14.754467921732303,-11.273344119804495,-12.27832312485208,-14.46635833277649,-13.09610356190214,-12.333556919182458,-20.053305957708318,-21.2472508807438,-24.517842192711186,-19.083290062425757,-20.723786428244075,-20.17742016155139,-24.207181331432736,-18.617784070934565,-19.523648794596706,-22.50792808635085,-19.881512409791718,-19.416158653410168
2024-01,-12.332922747936411,-13.153547342143053,-14.681351586987896,-12.034626790454421,-11.874941956061903,-11.66036853885856,-14.085827932484879,-11.132410426652232,-11.693336159608872,-14.038846971543173,-12.471550587378488,-11.775512121602265,-19.14047426677411,-20.287907954399525,-22.276571822708927,-18.768293308681294,-20.40490215167644,-18.897619914234788,-22.986383465501763,-17.778306598340347,-19.67232312386662,-21.687266241848487,-19.588460281266915,-19.08040486198234
2024-02,-12.519100865442852,-13.51614277731807,-15.573186273262655,-11.913246060371316,-12.061677489633432,-12.450527661434654,-14.198235980506107,-10.97365403958586,-11.871960043042755,-14.430464038535774,-12.450835502393106,-12.120924715570833,-19.33324907967576,-20.86821947711553,-24.04569363710224,-18.91980198814724,-19.890258963650727,-19.202072219850855,-23.671224391514823,-17.70969428178004,-19.595703811780023,-22.13602547100684,-19.8870331120949,-19.384520449291028
2024-03,-12.146865150265327,-12.613293237834725,-14.800765806663506,-11.81667776004645,-12.080293385023623,-12.300031935411821,-14.250575366210374,-10.90712409662622,-12.012044217942169,-13.940783098537786,-12.509551549981122,-11.79369046758487,-18.809528889776047,-20.031817427401442,-22.850460566928298,-17.97155079856872,-19.38734736370573,-18.45357847988123,-22.135435435232566,-17.51669282024732,-18.76983747685069,-21.50799630839859,-19.035937349856034,-18.73106345468762
2024-04,-12.376201948601905,-13.275982458560541,-15.540593913216947,-11.534140661094053,-12.313982658244756,-11.917255412753894,-14.508069151485895,-11.33881338905342,-12.275504302275852,-13.884172349030033,-12.29472615869341,-11.988615292996988,-18.985839264376043,-19.880176901174075,-23.114196568699196,-18.29740013080979,-18.567006743618464,-18.602984962117954,-22.187878240076127,-17.423998476132997,-18.697856300586082,-20.533809369925724,-19.07797776347118,-19.023316965603982
2024-05,-12.858307473477623,-13.52814035541774,-15.848706757100663,-12.24567054610835,-12.910124543714858,-12.506908349153008,-15.256943058865142,-11.540816588690134,-11.972575197256607,-13.51622982524719,-12.640207238970405,-12.311390465476885,-19.45460001720013,-20.68950608503699,-23.328388085869864,-18.42957349655776,-19.055634392988992,-18.985929555309866,-22.063708020684793,-17.92609880930449,-18.940166116471232,-20.549269842839884,-19.112389879759192,-18.952563420871584
2024-06,-13.932559787591739,-14.645994821520667,-15.833943384625252,-12.046138479420812,-12.25085571067111,-12.635258768041378,-15.232172950304166,-10.74068154599829,-12.239433833796452,-13.832748203064401,-12.382065369361266,-12.232241016154443,-22.954140323094435,-24.8958254501436,-24.331857234053686,-18.291994387987778,-18.740891399483015,-18.980434108720136,-23.141873600242707,-17.04876693053809,-18.907680244545613,-20.845932621676955,-19.18273925244912,-18.528366271221103
2024-07,-12.98236420148865,-13.333230963114014,-14.655690186484883,-11.640493715385418,-12.344840989603384,-12.1409029397466,-14.393357332999187,-11.534065713558192,-11.555158677473287,-13.370118132447335,-11.89929349765514,-11.873432645239944,-23.368107564552858,-25.128235834481316,-22.465248096747054,-18.044610102463785,-18.352338886451896,-18.77644038635671,-21.95067897025489,-17.27621516460131,-18.767982905402647,-20.61477317553464,-18.563659146831913,-18.581538472268164
2024-08,-14.266558710009393,-13.183256162584707,-16.77109817933822,-11.79602670582977,-12.187914888209171,-12.873499052099508,-15.730759717996948,-11.6003774187448,-12.26298646242907,-13.86675554985749,-12.132460637930924,-12.367395687308544,-24.22195672482573,-23.10193697394979,-25.42124587643551,-18.289789973633557,-19.155292809742278,-19.38830992688124,-24.766070446145434,-18.323954222796626,-18.807595740458307,-21.904670843467308,-19.1115062376035,-18.99118248570829
2024-09,-14.502134042798392,-9.029175042317156,-15.679983832078978,-11.966931103676085,-12.310516478086795,-12.268452588776956,-15.3149681652345,-11.201895406986708,-12.473010347424008,-13.680092935140124,-12.547691840579706,-12.268831533654478,-25.88328736877245,-19.06112169953373,-24.11078920973307,-18.75158390060289,-19.648551098472076,-19.17479550066303,-23.53517497320717,-17.44127999694951,-19.365415440223103,-21.624891461755197,-19.775913452429347,-19.12757216871152
2024-10,-11.180058555152394,-4.812486897673076,-14.720364149352314,-12.060532581721262,-12.541527604650028,-12.914778154062663,-15.217109233960862,-11.508506853587747,-12.524654367699473,-13.774632768553067,-12.255199640170124,-12.677314146672725,-19.853664678506235,-13.795016007825891,-22.56903100017073,-18.814270409466793,-19.48148269861428,-19.28867286700635,-23.03793512876967,-18.089722898224277,-19.737691931288534,-21.90639166763319,-19.73115467192643,-19.393596953656893
2024-11,-9.010142291690693,-2.9395801108890773,-13.665883817886069,-12.3580038361092,-12.49098650594837,-12.746923183537186,-14.549748030877776,-11.418091768175557,-12.24481546313394,-14.045483678338428,-12.771204714246082,-12.34635844081615,-18.91264647978226,-12.299935529063514,-21.5106893594712,-19.048057303535973,-19.817547834765005,-19.421107464846127,-22.8755611114628,-17.84358523565028,-19.617629020808646,-21.82328162504504,-19.821651138294392,-19.346960746216904
2024-12,-8.491700772801268,-2.842036148324942,-14.795886151751848,-12.260577120277178,-12.033911310459146,-12.984200875342253,-14.795416046675854,-10.965986990756619,-12.525779692888111,-14.118705136458281,-13.345607010254135,-12.304917542367582,-18.36370683495398,-11.65765673703837,-23.5974796383059,-18.834137308720777,-20.347838942412487,-19.598572457580204,-22.94564968548255,-17.92188350637735,-19.61544702915929,-22.65816233618634,-20.420172605039653,-19.995294847201013
2025-01,-5.47944996557631,-2.016022898755585,-14.965433495538324,-12.588627138280096,-12.22580397657279,-12.652025627899606,-14.615533999909958,-11.808231057057,-12.36487145697615,-13.820730785404647,-13.005959339120416,-12.63922974019237,-16.11194641046104,-11.329682718331526,-24.07131021542203,-19.25285039512226,-20.21912861893541,-19.4884585792327,-23.129516890028107,-18.19663568127735,-20.014978271650016,-22.165322534706117,-20.33636914804849,-19.767140727799177
2025-02,-3.333450369252212,-2.0293733063197936,-15.783187271158745,-15.282728735503433,-13.072453661081749,-15.116012911972284,-14.380551731142214,-14.101152951210324,-12.005602721672947,-13.533491302195271,-13.316851653113373,-13.009215509421468,-13.544872771560222,-10.903646392069884,-26.519382553878984,-25.44575398776046,-21.251776991797247,-24.72511826673101,-25.334272999526505,-25.686164499769905,-21.189070054463944,-22.936230883543345,-20.393001997539844,-21.580705981072057
2025-03,-2.4939606159610803,-1.1411404162736118,-14.885660318284486,-11.330962585355538,-13.563886351142644,-15.240295612912842,-14.162286895792896,-11.87517576330374,-14.206435510456943,-15.374176747142258,-13.04358794936497,-13.437934369769144,-11.971877539117374,-10.266949003864077,-25.475417549253052,-19.885283003183464,-23.396338587875476,-25.9355541274896,-25.87374720279797,-22.18215944391644,-24.14462499678719,-25.95260748694929,-22.812867065986186,-22.419161785012466
2025-04,-1.1171423651174863,-1.1598180953287143,-15.005680682062188,-9.93858581579152,-10.92567166100779,-12.064524306774437,-14.214506968876613,-11.031733561592185,-12.073541821075352,-11.334913542593698,-11.6169584481371,-13.674840737413025,-11.21445209340905,-10.045586975884994,-25.04387063215443,-18.32674541684225,-19.314290595348893,-20.401594327674133,-23.827192204498786,-18.861967689993246,-21.04567787014669,-19.4292586910001,-21.218169550404717,-22.485161528754674
2025-05,-1.2449512815225052,-1.2526878795181475,-12.81175390410452,-7.893593740188842,-9.332535956252205,-12.120159325249903,-13.396988229665745,-8.752392815730545,-10.073622068506701,-12.337950528664999,-14.177607276832903,-12.772578965857335,-10.782233942480898,-10.360714506187351,-22.29030219961469,-16.623049919760135,-17.704961602420955,-21.19309104417991,-23.033132151946234,-15.966686362188865,-18.289425019147508,-21.95447922106983,-23.404201425571095,-21.677788966089082
2025-06,-0.5272769211510304,-0.918383678717861,-11.508310131173456,-3.3043434168607853,-7.040995573896135,-10.064991027645132,-11.96444344181388,-7.731606448290169,-9.528613827172418,-9.537567440107868,-14.529639726554038,-13.423896297749776,-10.487866573904846,-10.581214482124018,-21.664353656393182,-12.551650779522603,-15.755241706090473,-19.710426494886697,-22.13996081938991,-16.94671064057363,-18.076823678732794,-20.119456728638596,-25.563766683190803,-24.19399057965473
2025-07,-0.312525411295358,-1.2101574019872794,-8.745924853280815,-2.6538060017429643,-3.0215267443815477,-7.849263865306274,-11.087540370388135,-7.099061967756342,-9.145048983438082,-8.924861196142793,-12.100663048147014,-13.862120988135512,-10.410562025389446,-10.751613902181393,-18.373003225959263,-12.773321358529762,-12.023976037805191,-17.475012571136464,-21.596452772291514,-17.40013235941356,-19.155669708072725,-18.81660570797848,-22.817418082545426,-23.019356075807643
2025-08,-0.9793211344141343,-0.8678843439918669,-10.925547354778065,-1.4463343920527036,-1.2976779462095038,-8.402956187922861,-8.564395075769491,-0.11676538358643734,-4.279924055286566,-8.27443630231592,-10.199778203983989,-12.440275018054141,-10.614872851613935,-10.756604769101697,-20.81935215591848,-10.964041734426203,-11.235076282074807,-19.24845473519324,-17.710051532370723,-10.349513224457384,-14.224195824774604,-17.55252603597174,-19.743386956604155,-22.189434795854204
2025-09,-1.1686138224753246,-1.0021928906458395,-5.779159965122681,-1.453813834718377,-0.7412737439987845,-2.5614349038962327,-8.599120327294028,-1.5295399147396953,-1.1761871722957609,-7.364650463269878,-9.69449261314459,-10.971513046351902,-10.710641550430866,-10.69602094898302,-14.553124587785037,-11.040724472749831,-9.853199674115594,-11.051674979172793,-19.329205640381577,-10.797750864384028,-10.476226145683125,-16.218480102019576,-18.371702344436013,-19.497403662538776
2025-10,-0.999529209555908,-1.073029721545066,-2.9277246551262515,-1.0469874322990698,-0.19937627520820567,-2.022996756849969,-2.971710382278631,-1.6258576281243333,-1.104054334038459,-1.5335034739047444,-6.425180210750536,-9.563347864402914,-10.371871378126507,-10.76400135999738,-11.297150269102156,-10.743173472292312,-9.727576680639391,-10.879339010036563,-12.43193611082366,-10.519061430324573,-10.365638470267417,-10.447750102997475,-15.919023315715297,-18.39085668329858
2025-11,-0.8371887386928571,-1.1316515233118212,-1.7414212288295663,-0.804109053357495,-0.051651965821011205,-1.2957096359145663,-0.8625021315884,-1.5038184997860127,-0.7446513501379832,-1.3422273018976287,-3.1405615407619343,-6.600805185684214,-10.50649249744739,-10.85763641985325,-11.208966131690488,-10.602809894741563,-9.833535832360663,-10.111970501429427,-10.973727083812564,-10.361689255536648,-10.297577603751524,-9.37386197064873,-12.18342097433279,-16.603605763097157
2025-12,-1.0169035771316868,-1.1066609116029464,-1.592123755409515,-0.6537088428316445,0.1367316105620445,-1.0503143780932067,-0.9681628656355593,-1.6797124648964883,-1.2827418624826588,-0.6339957666127675,-1.7488638971412938,-1.8680747527079393,-10.430319258841674,-10.749221940413097,-10.023900824836343,-10.436557419400518,-9.458695019383978,-9.978728887923896,-11.029138172647421,-10.346954266761106,-10.294817339193596,-9.257402244050525,-11.179474761356783,-12.475637366805696
2026-01,-0.47591889147951744,-0.34675244369562297,0.029156280742774654,0.4899335515873157,1.6843734472354053,-0.11243236252166561,-0.007373783715900639,-1.0569357034135183,-0.11568355137616498,0.43416188534836403,0.142175569825558,0.5368413455424897,-10.542741660024525,-10.715860606912191,-9.690849279314785,-9.970922372666845,-9.26109534253836,-9.536657029359084,-9.520461962453561,-10.082170828447675,-10.354823963432509,-9.231575381010689,-10.237810720265202,-11.116204165448154
2026-02,-0.9929827808659195,-1.1113377485538893,-0.5822945006889728,-0.778521772783369,1.175603290888751,-0.470997366612826,-0.28501331740284724,-1.6570732200636171,-0.8439190649147331,-0.06905835175738675,-1.211526305368086,-0.45268486779715345,-10.646552003049601,-10.763519760671755,-9.942556649125585,-10.532179094337042,-9.27119672871008,-9.585756591200303,-9.94797480362545,-10.064820170610588,-10.363455046339048,-9.046607410310076,-10.400584673957496,-10.761210994062415
2026-03,-0.9245753450963837,-1.2803398301512894,-0.9071463460047664,-0.9928069120562903,1.050218456809083,-1.1613014989211938,-0.2812524250529136,-1.5083880873832485,-1.2472601682544395,-0.8321525396128184,-1.19288900333681,-0.6495928473630108,-10.524233441958128,-10.643111356257155,-10.012320629641893,-10.794716383464348,-9.35061166849289,-9.76926235556132,-9.275928954295042,-10.189086865158846,-10.486462266460288,-8.792029034851982,-10.135512592746,-10.53263865654386
2026-04,-1.0264941241075207,-1.1502688238647667,-1.6047859216086453,-0.8687721285629821,0.7858342933095372,-1.2084339135631854,-0.44347054846205747,-1.9050027636889608,-1.2137781274353794,-0.5421039532637628,-1.1958029401123598,-1.2942589151780695,-10.512264810470509,-10.815360772336568,-10.287405714871447,-10.896023678716908,-9.43504537389997,-9.897398584121422,-9.830287817509468,-10.329600229614275,-10.393282941750648,-9.158928259266752,-10.421771037214091,-10.853798642030032
2026-05,-1.0141991083133535,-1.1323461636665395,-1.299975719792302,-0.6937463974417385,0.7418532787920176,-1.1237580430379577,-0.3924326450923575,-1.3316694761152168,-1.173274051032019,-0.35341703050932066,-1.0718759992464726,-0.837178770433262,-10.515787915770492,-10.871004531005875,-10.071173998231476,-10.723983146350054,-9.378820207821898,-10.204486829294764,-9.803485820935263,-10.288562175899536,-10.53671511600518,-9.454521742080566,-10.25547595086903,-10.483964404908379
2026-06,-0.9606250798602931,-1.1157433741819647,-1.639975992211242,-0.9244622568675661,0.5332359471280116,-1.3770376150403225,-0.20144217391447117,-1.4549872621460935,-1.0628127924282327,-0.8228217471128609,-1.5189255838392175,-0.6312749201068139,-10.629884916073955,-10.621728357985559,-10.008023628707706,-10.852975631343657,-9.775082987274494,-10.466169193616983,-9.659928490274295,-10.250583457715225,-10.627485881023231,-9.681234662607292,-10.108332787120156,-10.284081550735038
2026-07,-0.8338178388767795,-1.292122875565999,-1.7071391491983412,-0.7595299930537928,0.7242742853647349,-1.1362144575340538,0.1789375886902964,-1.3739497034931603,-0.9404737488447231,-0.5105221096955662,-1.4749155528986784,-0.7604048386763412,-10.53613936747975,-10.912504111705143,-10.720119385995815,-10.672461122814038,-9.905153984131827,-10.272332820902806,-9.884430667180517,-10.487855046759577,-10.540756270672953,-10.11292588593053,-9.889052413211962,-10.609113512441375
2026-08,-1.0806490988866315,-1.7377650649307483,-2.049964003727185,-1.0748046346540052,0.5686635479816657,-1.3233632971984197,-0.13840977959197404,-1.7165842917353122,-1.3178024368583832,-1.1015143144689175,-1.8375833288131282,-1.1730330894773537,-10.262635653159645,-10.820645591625631,-10.71127189160007,-10.662528440718544,-9.697064616695663,-10.271128527822338,-9.745333050641406,-10.40830979600543,-10.658040948263015,-10.069774492511716,-9.855226421505307,-10.395601445294275
2026-09,-0.9776252123295038,-1.6980395089076434,-2.2837756509745333,-0.9293817723834611,0.4894128385305211,-1.367441182505961,-0.2137047789637673,-1.6878232807478215,-1.2818998023833572,-1.1318423669464515,-1.8454694149350144,-0.6995475811423251,-10.209587695099568,-10.800821113402224,-10.708781037063167,-10.513690829713342,-9.7145635684247,-10.492892844271987,-9.523260814448594,-10.512387408269849,-10.772950280340547,-9.9171607095627,-9.966853264866346,-10.06494737988997
