rank,lat,lon,area_ha,early_db,late_db,rise_db
1,33.72455,-112.10791,5.6,-16.3,-4.8,9.6
2,33.67833,-112.08757,5.5,-15.6,-0.7,13.9
3,33.70669,-112.08965,3.9,-14.7,-2.4,11.1
4,33.6776,-112.09046,3.6,-13.8,-2.6,10.3
5,33.70253,-112.11074,3.6,-16.1,-1.0,14.0
6,33.7149,-112.09841,3.5,-13.6,-4.2,8.4
7,33.69647,-112.07677,2.9,-16.0,-4.4,10.6
8,33.69645,-112.07793,2.8,-16.5,-2.2,13.5
9,33.7132,-112.08388,2.8,-10.6,-3.7,6.0
10,33.65728,-112.11201,2.7,-8.9,-0.0,7.8
11,33.71089,-112.09879,2.7,-15.2,-4.6,9.5
12,33.71083,-112.08112,2.6,-13.0,-2.5,9.5
13,33.70003,-112.08223,2.6,-13.9,-5.0,8.2
14,33.72489,-112.11206,2.6,-17.4,-6.0,9.4
15,33.70364,-112.09786,2.6,-16.5,-4.3,11.3
16,33.67038,-112.08424,2.5,-14.9,-4.8,8.3
17,33.70311,-112.07994,2.4,-9.1,-4.4,4.6
18,33.70364,-112.099,2.3,-16.0,-3.3,11.5
19,33.70672,-112.09428,2.3,-14.1,-1.6,10.8
20,33.71639,-112.10667,2.2,-15.0,-5.5,7.8
21,33.69623,-112.07576,2.1,-16.1,-2.6,12.5
22,33.70634,-112.09262,1.8,-16.6,-1.5,13.8
23,33.71411,-112.13681,1.7,-10.9,-4.0,5.9
24,33.7275,-112.11796,1.6,-13.2,-4.1,7.4
25,33.7046,-112.0833,1.6,-15.3,-1.1,12.0
26,33.6791,-112.09018,1.6,-13.6,-2.3,10.3
27,33.69745,-112.09027,1.6,-13.3,-2.8,8.5
28,33.64042,-112.17076,1.5,-17.3,-5.8,9.5
29,33.69704,-112.08059,1.5,-16.1,-4.7,9.4
30,33.71446,-112.10798,1.5,-12.6,-2.6,8.8
31,33.69714,-112.07948,1.5,-16.1,-3.5,10.9
32,33.68981,-112.1186,1.4,-9.5,-1.7,6.9
33,33.70054,-112.07646,1.4,-10.3,0.8,9.5
34,33.70453,-112.10099,1.4,-12.4,-5.2,6.0
35,33.72405,-112.11593,1.4,-16.4,-3.4,11.8
36,33.69594,-112.07476,1.4,-16.3,-4.2,10.9
37,33.69745,-112.11065,1.4,-16.0,-6.0,8.4
38,33.69712,-112.08189,1.3,-16.1,-4.1,9.7
39,33.70667,-112.07964,1.3,-13.4,-3.9,8.0
40,33.70878,-112.09892,1.3,-12.9,-0.9,10.5
41,33.71224,-112.09076,1.3,-13.2,-2.6,9.5
42,33.67079,-112.13536,1.2,-14.3,-6.1,6.9
43,33.63103,-112.11743,1.2,-11.9,-1.9,8.5
44,33.69744,-112.06662,1.2,-13.8,-4.2,8.6
45,33.69779,-112.11193,1.2,-15.9,-6.4,8.2
46,33.68556,-112.07237,1.1,-15.1,-3.4,8.9
47,33.70611,-112.09716,1.1,-15.9,-3.0,11.6
48,33.72339,-112.10645,1.1,-16.9,-5.6,8.8
49,33.69099,-112.04692,1.1,-11.8,-3.8,6.8
50,33.68145,-112.10523,1.0,-4.1,5.7,8.6
51,33.72279,-112.10355,1.0,-16.2,-5.3,8.5
52,33.64032,-112.17293,1.0,-16.6,-4.0,10.5
53,33.67691,-112.09572,1.0,-16.8,-6.3,9.4
54,33.68476,-112.08581,1.0,-14.0,-1.2,9.5
55,33.71444,-112.10243,1.0,-14.4,-6.2,6.6
