rank,lat,lon,area_ha,early_db,late_db,rise_db
1,41.66829,-86.47585,55.4,-9.8,0.1,9.6
2,41.69094,-86.46478,35.6,-10.4,-1.0,8.8
3,41.68864,-86.47248,23.1,-9.7,0.7,10.0
4,41.68748,-86.45926,3.8,-10.3,-2.5,6.6
5,41.66672,-86.47153,3.3,-9.8,-3.2,5.9
6,41.67531,-86.47682,2.4,-9.8,0.7,9.5
7,41.66221,-86.46816,2.0,-12.4,-3.7,7.9
8,41.68849,-86.46876,1.8,-11.1,-2.1,8.1
9,41.68253,-86.46359,1.7,-12.6,-6.1,6.0
10,41.68047,-86.54061,1.5,-11.6,-6.3,5.0
11,41.66504,-86.48039,1.4,-9.8,-1.2,7.8
12,41.66651,-86.46423,1.4,-11.0,-3.0,6.8
13,41.67532,-86.48327,1.2,-10.1,-2.0,6.6
14,41.71147,-86.53024,1.2,-13.7,-7.5,5.7
