rank,lat,lon,area_ha,early_db,late_db,rise_db
1,30.42268,104.06074,39.6,-8.9,-0.2,8.1
2,30.45156,104.05443,32.4,-6.5,2.8,8.8
3,30.43096,104.05921,31.3,-7.9,1.4,8.8
4,30.45094,104.08602,27.3,-9.2,0.1,8.8
5,30.44781,104.05855,22.5,-6.6,5.1,11.0
6,30.39734,104.10363,20.6,-7.9,2.3,9.4
7,30.44391,104.08964,18.2,-7.8,3.5,10.4
8,30.44191,104.06466,15.3,-7.2,3.5,9.7
9,30.42584,104.11296,14.8,-7.4,4.0,10.9
10,30.39017,104.09918,14.2,-10.2,4.0,13.4
11,30.40992,104.09181,13.4,-8.0,4.0,11.1
12,30.39437,104.10557,12.0,-6.0,3.9,9.6
13,30.41499,104.11017,12.0,-9.1,-0.7,7.4
14,30.39237,104.11538,10.7,-8.4,1.5,9.0
15,30.39561,104.05898,10.6,-8.9,-0.8,7.5
16,30.43081,104.08592,10.6,-7.0,2.4,8.6
17,30.43697,104.05166,10.0,-5.8,4.7,9.6
18,30.40701,104.10065,9.6,-10.7,-2.2,8.0
19,30.43879,104.09188,9.0,-6.3,3.4,9.1
20,30.37757,104.12784,7.8,-9.4,-0.6,8.0
21,30.4097,104.09802,7.8,-9.4,-0.8,8.0
22,30.40946,104.10453,7.7,-2.9,6.4,7.9
23,30.38137,104.07438,7.7,-8.8,0.5,8.2
24,30.36992,104.13138,7.3,-9.2,-2.3,6.5
25,30.42766,104.08558,7.2,-3.4,7.5,10.0
26,30.38144,104.04572,6.7,-12.3,-3.6,8.2
27,30.42848,104.06331,6.6,-10.8,0.1,10.0
28,30.43974,104.08369,6.6,-4.5,5.6,9.0
29,30.43508,104.0913,6.1,-7.5,2.1,9.1
30,30.4364,104.05688,5.8,-5.1,3.9,8.3
31,30.43523,104.08703,5.5,-3.4,7.7,10.4
32,30.38304,104.12206,5.5,-9.4,2.2,11.0
33,30.39164,104.05485,5.3,-9.2,1.4,9.4
34,30.45236,104.01905,5.1,-7.0,2.9,9.0
35,30.43853,104.0584,5.0,-3.8,5.6,8.7
36,30.4521,104.07543,5.0,-8.5,-0.5,7.3
37,30.39224,104.07198,4.8,-5.4,4.4,8.7
38,30.39493,104.11837,4.7,-9.4,-0.9,7.9
39,30.43297,104.04317,4.6,-9.5,-1.4,7.5
40,30.43448,104.08409,4.5,-5.4,5.0,9.4
41,30.41915,104.05683,4.4,-8.8,2.1,10.4
42,30.41067,104.08602,4.2,-1.5,6.4,7.3
43,30.40626,104.11088,4.0,-6.8,7.0,12.7
44,30.40893,104.0556,4.0,-8.4,-0.7,6.9
45,30.42275,104.10783,3.9,-9.4,-0.4,7.9
46,30.42941,104.04749,3.8,-9.2,-0.1,8.0
47,30.39005,104.05179,3.8,-9.1,-0.2,7.9
48,30.37645,104.07536,3.6,-9.0,-1.4,6.4
49,30.42816,104.08177,3.4,-1.7,7.8,8.8
50,30.39063,104.08805,3.2,0.5,10.5,8.4
51,30.43802,104.08171,3.1,-1.1,9.0,8.5
52,30.44247,104.09321,3.1,-7.0,0.8,6.5
53,30.45157,104.10442,3.0,-10.2,-2.4,6.7
54,30.39495,104.05297,2.8,-9.5,-1.1,6.9
55,30.38199,104.05249,2.8,-9.3,0.1,8.1
56,30.39921,104.11795,2.7,-4.8,3.9,7.2
57,30.40813,104.08363,2.7,-8.3,6.2,13.5
58,30.39477,104.07183,2.7,-0.9,7.5,7.6
59,30.38704,104.10532,2.5,-6.4,2.9,8.0
60,30.44824,104.03101,2.5,-8.2,-1.8,5.6
61,30.40466,104.1224,2.4,-4.5,3.5,6.8
62,30.44603,104.06249,2.4,-8.3,-1.7,5.8
63,30.41488,104.09742,2.4,-9.4,-2.0,6.3
64,30.39442,104.07485,2.3,-2.1,5.6,7.0
65,30.36538,104.03895,2.2,-9.6,-0.6,7.4
66,30.37922,104.12175,2.2,-9.9,3.0,11.4
67,30.43558,104.08037,2.2,-2.2,9.5,9.7
68,30.45146,104.0317,2.2,-8.9,-0.5,7.5
69,30.37028,104.04022,2.1,-8.7,-0.4,7.1
70,30.43321,104.01989,2.1,-7.5,3.9,9.6
71,30.44388,104.05185,2.1,-3.6,3.4,6.3
72,30.44864,104.10045,2.1,-10.7,-2.9,6.1
73,30.41428,104.12031,2.0,-9.8,0.4,8.7
74,30.40086,104.1216,2.0,-5.8,4.6,8.8
75,30.39153,104.07923,1.9,-3.3,5.9,8.1
76,30.38745,104.083,1.9,6.3,14.7,7.5
77,30.39893,104.12074,1.7,-2.6,4.7,6.1
78,30.4533,104.08244,1.7,-9.3,-2.7,6.0
79,30.43845,104.08871,1.6,-7.3,0.6,7.0
80,30.40183,104.05344,1.6,-9.5,-0.1,8.1
81,30.41628,104.1243,1.6,-8.4,-1.1,6.7
82,30.42528,104.04872,1.6,-7.1,0.2,5.9
83,30.44262,104.07701,1.6,-9.6,-2.8,5.7
84,30.44332,104.05442,1.6,-4.5,2.5,5.9
85,30.4183,104.12373,1.5,-8.2,-1.0,6.2
86,30.38972,104.07725,1.4,8.0,14.9,5.8
87,30.4116,104.12013,1.4,-7.9,0.9,7.5
88,30.44317,104.09851,1.4,-11.4,-2.9,8.0
89,30.44613,104.04127,1.4,-11.5,-3.2,6.5
90,30.38842,104.08743,1.4,-5.5,0.3,5.5
91,30.39051,104.08188,1.4,-2.9,4.7,6.7
92,30.39868,104.06878,1.4,-7.9,1.7,7.7
93,30.41874,104.1118,1.4,-9.1,-1.4,6.7
94,30.44172,104.05355,1.3,-5.0,1.6,6.2
95,30.44453,104.07953,1.3,-6.4,0.9,6.2
96,30.45338,104.10158,1.3,-9.3,-1.4,6.8
97,30.38484,104.05615,1.2,-2.9,5.0,6.4
98,30.40423,104.11084,1.2,0.6,9.0,7.0
99,30.40938,104.1285,1.2,-8.7,-1.9,5.5
100,30.42187,104.09939,1.2,-6.7,4.0,8.6
101,30.45299,104.10435,1.2,-10.9,-3.3,6.3
102,30.38656,104.07511,1.2,-10.8,-2.3,7.6
103,30.44898,104.06591,1.2,-12.8,-5.8,6.1
104,30.38324,104.10904,1.1,-9.5,4.3,11.7
105,30.38662,104.08664,1.1,1.1,10.4,7.6
106,30.43282,104.08867,1.1,-6.5,3.1,8.5
107,30.39122,104.11003,1.0,0.7,8.8,7.2
108,30.3954,104.06618,1.0,-1.6,7.0,6.8
109,30.45342,104.01668,1.0,-8.6,-2.5,5.7
