ym,VV:structure,VH:structure
2018-01,-15.76983956483447,-24.3790619478791
2018-02,-15.632046724831396,-23.91179274281641
2018-03,-15.39689988258031,-24.32972215833614
2018-04,-13.689172216602769,-23.54536591857775
2018-05,-14.08673122421905,-23.177370483332528
2018-06,-14.576128404376538,-23.042138198280902
2018-07,-11.872753670181623,-19.50614411836125
2018-08,-13.260390238625874,-20.940771478664068
2018-09,-12.53354717316678,-20.05797979667578
2018-10,-15.014605843381162,-25.16471207880876
2018-11,-15.40906616751809,-26.421646461890347
2018-12,-15.418085390134207,-27.082195083126855
2019-01,-15.479930136883311,-26.37537113654713
2019-02,-15.507703218648064,-26.580936716571273
2019-03,-14.514197783120888,-25.579013962063662
2019-04,-15.362544841374772,-24.51202930912482
2019-05,-14.85623984769502,-24.72987454965093
2019-06,-14.411200798627885,-23.865225053785196
2019-07,-13.210031320270517,-21.295957882491045
2019-08,-13.412995291533562,-20.634502699271803
2019-09,-14.12217638854679,-21.67395822521084
2019-10,-14.978428264207311,-24.917847169246656
2019-11,-13.831523667356002,-25.639098191585663
2019-12,-15.003467233220118,-26.28783872414079
2020-01,-14.903117712562931,-24.2291877495104
2020-02,-13.919698078347816,-23.463054302181924
2020-03,-14.448826125330172,-24.390424918029773
2020-04,-15.102541691062616,-23.76563624058304
2020-05,-14.9497407021469,-22.97987730951845
2020-07,-12.645810821180191,-20.303651902572085
2020-08,-11.328249921944415,-19.09710844978942
2020-09,-12.601507840917048,-20.104613445317423
2020-10,-14.758898897825636,-23.95839753547974
2020-11,-15.118898219394072,-24.336097138143217
2020-12,-15.516352275792194,-25.31454573962313
2021-01,-15.99988309838784,-24.81900022934064
2021-02,-15.749921922343256,-24.779690300982356
2021-03,-14.062933272643258,-23.997835938341396
2021-04,-13.801360908335235,-23.656716244071845
2021-05,-13.599643506224206,-21.2558928761213
2021-08,-13.798895305400748,-20.69857893005987
2021-09,-13.712496343554154,-21.062560660465163
2021-10,-15.07835493512373,-23.625802925188857
2021-11,-14.858096312770144,-24.57775436349267
2021-12,-15.751436969967616,-24.32904464091331
2022-01,-15.628161070581806,-24.294833616531356
2022-02,-15.32447609522934,-24.56107894551039
2022-03,-14.446161606320176,-24.29267717332837
2022-04,-15.1901678361677,-23.496032248174984
2022-05,-13.881160372623244,-22.770802065096593
2022-06,-12.957309089513032,-20.746945243081264
2022-07,-13.636751722320362,-21.597563570677792
2022-08,-12.163011138626109,-19.94603334788983
2022-09,-12.788830883774564,-20.483658189809717
2022-10,-14.421205795197276,-23.27187403719423
2022-11,-12.389730932306543,-23.29442849719062
2022-12,-15.823541808194928,-25.13058625329849
2023-01,-15.124837453443304,-24.88379346952424
2023-02,-15.106362756372814,-24.629743573661088
2023-03,-14.759660537061954,-24.429099027099525
2023-04,-14.294741525112592,-23.475784739906302
2023-06,-13.537250216451676,-21.230019589546423
2023-08,-12.96546509543164,-20.58167530245816
2023-09,-11.754389670312442,-18.73030773277914
2023-10,-13.734840742535711,-23.59755736315249
2023-11,-14.47489612898434,-25.583298219968547
2023-12,-14.352457883785704,-25.893291264988235
2024-01,-13.209111517225685,-24.58474913227621
2024-02,-13.887167386710829,-24.502700193415343
2024-03,-14.043850999634806,-24.189472024280597
2024-04,-14.459729566231,-24.258491040488583
2024-05,-13.74792626097723,-23.090986496126938
2024-06,-13.026422278851234,-21.682398175020445
2024-07,-12.191668609448907,-20.856888587544375
2024-08,-11.722848685452906,-19.57079558728895
2024-09,-12.200652920957069,-19.89668308052487
2024-10,-12.421716315322424,-20.2954120110687
2024-11,-12.794515642820452,-22.7271793434161
2024-12,-14.406198911990687,-25.76300097140347
2025-01,-14.325828339820596,-26.220091112345127
2025-02,-13.721164300979488,-25.320098350584864
2025-03,-13.355307436268513,-24.43715180675987
2025-04,-13.982090370347938,-22.661036345733713
2025-08,-9.200032633050704,-18.82981803250019
2025-09,-8.52075226235566,-18.62059595167193
2025-10,-4.470299461795914,-14.617377742767449
2025-11,-1.5132604309469309,-12.267843976620576
2025-12,-4.044396083290201,-13.476665505937476
2026-01,-3.750781113905627,-14.162669865005627
2026-02,-4.078462799381937,-14.921540158562989
2026-03,-3.753543797304423,-14.33410618423056
2026-04,-2.724800184072821,-13.999060089405711
2026-05,-1.676084803814231,-13.354661775772904
2026-06,-1.5822823888263349,-13.353195619833333
2026-07,-1.711536505905375,-13.648310602065646
2026-08,-1.716302509454689,-13.51157793550438
2026-09,-1.1629592495139012,-14.0735105194355
