ym,VV:structure,VH:structure
2018-01,-15.701710606862855,-27.719481459699136
2018-02,-15.56014128077374,-27.0645166970078
2018-03,-15.177432346750534,-28.17141469173373
2018-04,-14.239019169231767,-26.83052729874867
2018-05,-14.400456676169116,-24.89782157177617
2018-06,-13.410198516943115,-21.88220590157493
2018-07,-10.695881938766084,-18.3592570329003
2018-08,-12.22938168658166,-19.018752074806972
2018-09,-11.777196542102464,-18.61682819356414
2018-10,-14.676229705685264,-26.14015236106321
2018-11,-15.018307897875449,-30.344571114332396
2018-12,-15.190428988683282,-30.946591563034737
2019-01,-15.07510232412799,-30.006657105104836
2019-02,-14.939759168848166,-29.769637122999857
2019-03,-13.609679050606587,-27.72301226206534
2019-04,-15.092649619101536,-29.237938014177622
2019-05,-14.124240211105151,-25.99973647485161
2019-06,-13.703670162252608,-23.8497274804774
2019-07,-12.320888860231776,-19.627104831985452
2019-08,-12.4139893432936,-19.18406415292253
2019-09,-13.04908874878145,-21.008056575684797
2019-10,-14.365832572107651,-24.468285097855063
2019-11,-13.337418880740456,-26.785280128984574
2019-12,-14.669392709333124,-28.282873253155557
2020-01,-14.334689157567706,-26.436470847639225
2020-02,-13.91421459003528,-24.971072790504945
2020-03,-14.777801220904635,-26.620862074664466
2020-04,-15.67758847385004,-26.22298197995296
2020-05,-15.571321304696855,-25.389370814208103
2020-07,-11.096736468932711,-18.816787790341635
2020-08,-11.046434072137448,-17.657380691177245
2020-09,-12.383962443187231,-19.289103290280433
2020-10,-14.302940309146498,-24.30712754265608
2020-11,-17.29066422829704,-26.961626772489893
2020-12,-18.52394059035426,-27.638345796230613
2021-01,-18.307163757225418,-27.50487829693016
2021-02,-18.660957326120062,-27.41617999976642
2021-03,-16.914082769770374,-26.89672213771765
2021-04,-16.7167759209371,-27.1399646828958
2021-05,-16.37311400750615,-26.146100728446523
2021-08,-13.706129005998696,-20.14286136515168
2021-09,-13.49806281426018,-22.060314204119024
2021-10,-13.716264350894487,-22.689067901728308
2021-11,-10.88305560640023,-20.208252972575146
2021-12,-12.276193737041677,-22.072148424169075
2022-01,-11.489944588977805,-20.939488604901904
2022-02,-11.951276944626116,-21.378330038893477
2022-03,-9.323550282609748,-18.291476102080622
2022-04,-6.487485410449979,-14.786776128602927
2022-05,-5.085844958565554,-12.945555144683508
2022-06,-0.931157502730725,-9.886782863516904
2022-07,-0.4537858644844014,-9.401578388283252
2022-08,-0.7097362810684176,-9.515703874465906
2022-09,-3.986522664745899,-11.754889416125744
2022-10,-4.022866777668508,-12.03982779137771
2022-11,-2.4186827336968846,-10.491109645500757
2022-12,-4.51031551018739,-12.352725249399988
2023-01,-4.502338468449698,-12.588375756010802
2023-02,-4.254195404765253,-12.376187268343571
2023-03,-3.585771245167803,-11.439319825717542
2023-04,-2.3179766385467064,-10.62761158824248
2023-06,-2.1497443372428364,-10.51875650420279
2023-08,-3.3083059446039815,-10.88781586546506
2023-09,-2.641778500662492,-10.05553308008897
2023-10,-2.92015980474478,-9.899288343055016
2023-11,-2.7496726991434115,-9.32029499080891
2023-12,-2.4688819317505204,-9.343040548804506
2024-01,-2.75074385506497,-9.682716234808888
2024-02,-2.7351563688939633,-9.467337913742284
2024-03,-2.0636609128659886,-8.86154927369715
2024-04,-2.0138590548406645,-8.875191081013803
2024-05,-1.7010132390938777,-8.805845113862448
2024-06,0.330528979932168,-7.328255557665973
2024-07,-1.0931096375901,-8.129758082481525
2024-08,-1.565162540235444,-8.316564528095654
2024-09,-1.692529067820205,-8.779079871819448
2024-10,-1.42768245359838,-8.713389350995593
2024-11,-1.4687581268952652,-8.579127024272704
2024-12,-2.5584237568131822,-9.710224674737304
2025-01,-2.450023534708238,-9.579328870355685
2025-02,-2.541664114538261,-9.709394450056262
2025-03,-1.9723407343910824,-9.06723918402186
2025-04,-1.6094146488309933,-8.875436290986075
2025-08,-1.4240634383213968,-8.508126034115358
2025-09,-1.7315242488721472,-8.801666726504127
2025-10,-1.6954263716986897,-8.693863192973538
2025-11,-1.7708713808359744,-8.905948776098572
2025-12,-2.8062787243058396,-9.891418545533302
2026-01,-2.717022265989579,-9.778832382662625
2026-02,-2.4044951280625235,-9.42893246300673
2026-03,-2.1505546471379837,-9.22347119709868
2026-04,-1.8736957363366489,-9.083616778763624
2026-05,-1.6934276638893553,-8.983112360725322
2026-06,-1.703370558837369,-8.849151490203692
2026-07,-1.506376222124891,-8.839817093251773
2026-08,-1.6910868570254172,-8.972860529411184
2026-09,-1.6975618755947992,-8.990981998667646
