rank,lat,lon,area_ha,early_db,late_db,rise_db
1,39.39154,116.99289,36.5,-11.0,-1.9,8.7
2,39.39315,117.00505,14.3,-10.8,-3.0,7.5
3,39.40981,116.98992,14.1,-11.6,-4.4,6.3
4,39.42904,116.9866,13.3,-10.8,-1.0,8.9
5,39.37953,117.0832,12.8,-8.1,-1.0,6.9
6,39.39937,117.01353,12.3,-9.9,-2.9,6.7
7,39.36148,117.11725,11.2,-11.5,-1.7,9.0
8,39.42135,117.01756,8.4,-7.8,1.7,8.6
9,39.37455,117.08217,7.3,-9.9,-0.7,8.3
10,39.42533,116.98633,7.0,-11.8,-2.7,7.9
11,39.40805,116.99542,6.7,-11.6,-3.9,7.2
12,39.41063,117.03462,5.5,-11.3,-2.7,7.9
13,39.42319,116.99846,5.4,-12.7,-2.0,9.0
14,39.38642,117.02776,5.1,-10.6,-1.8,7.9
15,39.35901,117.0805,4.4,-10.8,-1.9,8.0
16,39.37924,117.05793,4.3,-9.9,-3.3,5.9
17,39.41357,116.98972,4.3,-11.6,-4.1,7.1
18,39.33379,117.06448,4.1,-12.1,-3.8,7.0
19,39.42474,117.05712,4.0,-9.9,-1.0,7.5
20,39.42579,116.99858,4.0,-11.5,-3.8,7.0
21,39.4019,117.07567,4.0,-10.8,-1.8,8.6
22,39.34104,117.04821,3.8,-12.4,-4.6,6.6
23,39.33331,117.10478,3.6,-8.6,-2.8,5.3
24,39.37586,117.05354,3.3,-8.6,-0.6,7.5
25,39.42003,116.9824,3.2,-10.4,1.3,10.2
26,39.37194,117.06962,3.0,-9.9,-0.7,8.1
27,39.36575,117.05344,2.9,-10.8,0.7,10.2
28,39.33304,117.06215,2.8,-12.6,-5.0,6.4
29,39.37238,117.04959,2.6,-9.7,-2.7,6.2
30,39.41965,117.04964,2.6,-12.2,-2.8,8.5
31,39.37192,117.0873,2.5,-10.0,-2.3,7.0
32,39.34692,117.03521,2.4,-6.9,-1.2,5.1
33,39.36574,117.05945,2.4,-8.5,-0.5,7.1
34,39.41576,117.0333,2.4,-7.9,-0.6,6.2
35,39.3424,117.05062,2.4,-12.6,-3.7,7.6
36,39.34994,117.04172,2.4,-8.4,-2.7,5.1
37,39.34439,117.04846,2.3,-8.0,-1.2,5.8
38,39.33137,117.06433,2.2,-13.0,-0.7,10.5
39,39.36864,117.07037,2.1,-11.8,-4.9,6.0
40,39.40666,116.98275,2.1,-11.1,-4.9,5.7
41,39.3484,117.0337,2.0,-11.1,-4.9,5.5
42,39.34477,117.09598,2.0,-11.0,-1.4,8.1
43,39.36712,117.07206,2.0,-11.0,-3.8,6.5
44,39.40312,116.98788,2.0,-10.3,-2.6,6.4
45,39.41826,117.04777,2.0,-7.0,2.0,7.2
46,39.34849,117.0729,1.9,-8.7,-0.1,7.6
47,39.43304,116.98167,1.9,-10.6,2.3,11.2
48,39.34436,117.04642,1.6,-7.4,-1.0,5.8
49,39.41833,117.03342,1.6,-10.9,-4.3,5.9
50,39.39068,117.00325,1.6,-10.5,-3.2,6.3
51,39.41899,117.02025,1.6,-11.3,-4.6,5.7
52,39.42784,117.09751,1.6,-6.5,2.6,7.7
53,39.35667,117.03614,1.5,-10.3,-4.0,5.5
54,39.40859,117.084,1.5,-7.9,0.1,6.9
55,39.37625,117.04395,1.4,-10.0,-3.8,5.0
56,39.41832,117.01453,1.4,-11.4,-3.9,6.3
57,39.35606,117.06853,1.4,-10.1,-2.0,7.2
58,39.36773,117.06138,1.4,-8.3,-1.2,6.6
59,39.35535,117.09559,1.3,-10.8,-2.5,6.9
60,39.39859,117.04191,1.3,-6.8,2.1,6.9
61,39.42556,117.01029,1.3,-5.4,3.7,7.3
62,39.40667,116.98471,1.3,-10.9,-2.9,6.7
63,39.42384,117.00055,1.3,-12.4,-5.8,5.6
64,39.40955,117.10044,1.2,-6.1,4.4,8.9
65,39.36132,117.09497,1.2,-11.0,-2.6,7.7
66,39.40438,117.01238,1.2,-11.3,0.5,9.9
67,39.371,117.08568,1.1,-6.2,-0.9,5.0
68,39.38808,116.99586,1.1,-11.2,-3.5,6.9
69,39.38907,117.04845,1.1,-8.5,-0.4,6.6
70,39.35753,117.0765,1.1,-9.6,-2.3,6.5
71,39.36879,117.08878,1.1,-12.3,-6.1,5.4
72,39.33345,117.0751,1.0,-11.8,-2.3,7.8
73,39.38805,116.99204,1.0,-11.2,-5.7,4.9
74,39.41517,117.0378,1.0,-12.8,-4.7,7.2
75,39.41657,117.10994,1.0,-4.9,5.1,7.3
76,39.42676,116.99298,1.0,-9.0,-0.0,6.8
77,39.34302,117.09453,1.0,-11.2,-2.9,7.0
78,39.42749,117.06193,1.0,1.7,8.7,5.8
