rank,lat,lon,area_ha,early_db,late_db,rise_db
1,35.41793,-89.42085,21.6,-10.3,-0.1,9.1
2,35.42952,-89.42622,7.6,-10.9,-3.0,7.0
3,35.4306,-89.42019,6.0,-10.7,-1.2,8.4
4,35.4176,-89.40388,3.1,-11.5,-4.4,6.4
5,35.42116,-89.43589,2.8,-9.7,1.5,9.4
6,35.42058,-89.43051,2.5,-9.5,-0.2,8.2
7,35.43155,-89.41016,2.4,-9.8,0.9,8.4
8,35.43204,-89.42993,2.2,-9.7,4.8,11.8
9,35.42999,-89.41498,2.0,-10.7,-1.5,7.0
10,35.43236,-89.45017,1.7,-10.6,-5.2,5.0
11,35.42398,-89.42614,1.6,-10.9,-4.4,5.6
12,35.41798,-89.42201,1.5,-9.9,-3.3,5.7
13,35.42331,-89.42199,1.5,-10.7,-1.8,6.7
14,35.4181,-89.43117,1.4,-9.1,-3.5,5.0
15,35.43391,-89.43122,1.3,-9.6,1.7,8.7
16,35.43208,-89.41931,1.2,-10.0,2.0,10.5
17,35.41647,-89.40264,1.1,-10.8,-5.2,5.3
18,35.4191,-89.41377,1.1,-10.2,2.9,10.8
