rank,lat,lon,area_ha,early_db,late_db,rise_db
1,31.37981,118.3165,14.3,-7.5,2.1,9.3
2,31.31787,118.41537,8.4,-8.4,-0.5,7.2
3,31.27723,118.38308,8.4,-7.5,0.5,7.1
4,31.35072,118.35628,7.9,-8.3,-0.7,6.8
5,31.36382,118.35677,7.0,-6.6,0.4,6.5
6,31.3052,118.41391,6.6,-7.4,0.0,6.7
7,31.34793,118.39035,6.0,-8.2,-0.3,7.1
8,31.33575,118.39878,5.6,-10.9,-0.3,10.0
9,31.32386,118.4146,5.4,-7.8,-0.8,6.7
10,31.35933,118.32445,5.3,-8.5,-0.9,6.9
11,31.37959,118.35906,5.2,-7.4,0.9,7.7
12,31.27888,118.37,4.9,-7.7,0.2,7.4
13,31.28332,118.3776,4.8,-8.6,2.8,10.2
14,31.35142,118.39093,4.7,-7.5,3.4,10.1
15,31.32063,118.41816,4.6,-8.5,-2.6,5.5
16,31.37187,118.31834,3.8,-13.3,-3.2,8.2
17,31.3481,118.35799,3.6,-6.9,0.1,6.4
18,31.35933,118.32739,3.3,-6.0,0.2,5.8
19,31.28738,118.35983,3.2,-7.1,3.5,9.4
20,31.35007,118.35164,3.0,-5.2,3.1,7.4
21,31.33983,118.41779,2.9,-7.2,4.1,10.3
22,31.34237,118.39075,2.9,-7.8,3.3,10.2
23,31.35678,118.3627,2.8,-6.8,1.9,7.2
24,31.3263,118.37887,2.4,-5.7,2.5,7.2
25,31.29002,118.37598,2.4,-6.6,6.7,11.5
26,31.30866,118.40339,2.4,-7.8,1.6,7.8
27,31.27923,118.37502,2.2,-7.5,3.0,9.0
28,31.34116,118.42491,2.1,-8.7,1.1,8.6
29,31.32805,118.37103,2.0,-10.1,-0.9,8.8
30,31.33905,118.42002,2.0,-7.4,0.4,6.9
31,31.3465,118.34949,2.0,-10.5,1.9,9.8
32,31.38131,118.36368,2.0,-9.3,-1.6,6.8
33,31.30321,118.40738,1.9,-7.5,-0.2,6.8
34,31.34759,118.35258,1.8,-7.1,0.4,6.7
35,31.35856,118.35403,1.8,-4.2,4.4,7.3
36,31.28875,118.39708,1.8,-9.3,-2.9,5.7
37,31.35819,118.35179,1.8,-6.3,5.1,10.0
38,31.28729,118.43032,1.7,-13.8,-7.4,5.9
39,31.33224,118.36559,1.6,-7.2,1.5,7.6
40,31.37254,118.41761,1.6,-9.4,0.2,8.2
41,31.34694,118.41854,1.6,-10.5,-3.5,5.9
42,31.38291,118.39087,1.6,-8.3,-1.5,6.1
43,31.33942,118.42617,1.5,-8.6,-2.2,5.8
44,31.29404,118.39337,1.5,-9.5,-2.4,6.1
45,31.3816,118.39814,1.5,-7.4,0.3,6.6
46,31.29671,118.3889,1.4,-7.1,-1.5,4.9
47,31.33777,118.39745,1.4,-4.9,7.1,10.3
48,31.31878,118.39974,1.4,-5.9,0.7,6.0
49,31.36324,118.39883,1.4,-11.4,-1.5,8.8
50,31.28504,118.41928,1.3,-9.9,-0.5,8.3
51,31.32933,118.4105,1.3,-5.2,1.9,6.0
52,31.36339,118.32415,1.3,-12.2,-5.4,5.4
53,31.29076,118.37311,1.2,-5.9,5.6,9.0
54,31.33774,118.42556,1.2,-8.3,-2.3,5.3
55,31.33942,118.42232,1.2,-6.7,-1.7,5.0
56,31.34943,118.42576,1.2,-5.4,3.3,7.5
57,31.29356,118.35724,1.2,-10.8,-3.3,6.1
58,31.32849,118.40469,1.2,-7.1,0.5,6.9
59,31.34607,118.35313,1.2,-6.6,1.1,6.7
60,31.35253,118.38865,1.2,-8.6,-1.2,6.3
61,31.35368,118.38543,1.2,-7.9,3.7,8.8
62,31.35808,118.41844,1.2,-9.5,-3.0,5.6
63,31.31953,118.37822,1.0,-4.7,3.3,6.7
