ym,VV:cn_zhangbei_r01,VV:cn_zhangbei_r02,VV:cn_zhangbei_r03,VV:cn_zhangbei_r05,VV:cn_zhangbei_r06,VV:cn_zhangbei_r07,VH:cn_zhangbei_r01,VH:cn_zhangbei_r02,VH:cn_zhangbei_r03,VH:cn_zhangbei_r05,VH:cn_zhangbei_r06,VH:cn_zhangbei_r07
2020-11,-12.521848534030223,-13.235458009884944,-13.325284712005027,-13.686118702650251,-8.73992431170523,-11.643462592674648,-22.962515299012047,-22.352387516066067,-24.252136637090636,-24.938947792652492,-18.98071285820439,-21.57464661289028
2020-12,-12.4531729803472,-13.580392382217463,-13.523112669510137,-14.811884195966694,-9.002809163334454,-11.323013436262691,-23.179207868263276,-22.828772853627534,-24.76823607842999,-25.754815849176733,-18.799495675334622,-20.850313379522195
2021-01,-12.556091048561484,-13.960638521955875,-13.697763953917303,-14.253109008263749,-9.609762792034822,-11.262296251862253,-23.635430780873648,-22.84168012307347,-24.251325934492716,-25.615343168458715,-19.82756930322708,-21.264411919327785
2021-02,-12.412361265716315,-14.31554385415933,-14.095024127137547,-14.796300239638592,-9.470707710993487,-11.604739190997515,-23.602702891045105,-22.797091294260387,-24.249662159631495,-26.10152381776417,-18.693180547838097,-21.317632347553158
2021-03,-9.636008792276566,-10.427616507247215,-10.868669350227126,-10.520700857281357,-7.898417347764582,-10.267869424577563,-20.32848877370755,-19.007776267089845,-22.62153461371488,-23.327951172872126,-18.30864383244743,-20.244631133451946
2021-04,-13.00362940826276,-12.830760897265106,-13.882399799366441,-14.62491574661562,-8.89102125941472,-11.625896263270302,-22.97212029982738,-21.81302908991661,-24.148875196322994,-25.456132009784504,-18.11865363638741,-20.752718444987515
2021-05,-12.663153222357636,-12.981622897238992,-11.351401737494776,-13.32016030004321,-8.172298620367599,-9.491922991729869,-21.656068383954967,-20.881922687963133,-20.369942484809762,-23.835538910483415,-16.60226272555857,-17.301773201107483
2021-06,-12.076423242899448,-12.79209645104235,-9.004057836773061,-12.10135205401565,-8.507506102870664,-11.08300108446014,-21.62002809647093,-19.886068341196616,-18.939900560124386,-21.177495121323314,-17.123014935598633,-19.76096730952542
2021-07,-11.495289717361,-12.19744539782566,-9.37763221107303,-13.082986125301424,-9.231901792687438,-11.375465822353775,-21.031990824768464,-19.422791720410196,-18.044752939020057,-21.01206018774581,-17.257964627140858,-19.648850281345116
2021-08,-10.42935910365934,-10.388058041933213,-9.71369349380637,-10.541703652866598,-8.626049295765062,-9.989278428938123,-19.85663670273706,-18.19305324067677,-17.31328443431422,-17.640205649532902,-16.52412032242067,-18.11762663413931
2021-09,-10.518842511254281,-10.628161849643028,-10.162527329912738,-9.623374877416222,-7.777934520295277,-9.81950967582971,-20.65766126702374,-18.3781422434825,-19.11442861563583,-17.66396296643524,-16.244747841379777,-18.561035281948797
2021-10,-12.717638723557316,-13.314369873595526,-13.233322489056414,-13.008101203439852,-8.546389224341663,-11.065978539188665,-21.318972636699485,-20.244497904463252,-18.48117209473409,-22.992773153554904,-15.511020722023343,-16.404700086021304
2021-11,-12.089549816280812,-12.663904206315472,-12.852875526972934,-14.055183187972332,-9.341600526274135,-11.580415193799903,-19.130694539911516,-17.217238272659785,-17.237038807709368,-25.23685723034865,-17.055994359083076,-17.99252765703083
2021-12,-13.443552529312246,-13.723910782180127,-14.100662610888385,-14.26610664369558,-9.15211416159281,-11.345426003362093,-22.581804356540253,-21.116348440215887,-23.826605213434767,-25.878532097546355,-18.448272496898916,-19.53855641529198
2022-01,-14.097171041242552,-14.277154995535097,-14.804234776900953,-15.241925612871341,-9.55315760960955,-12.031759618382042,-24.086220720514174,-22.909726589696618,-25.653376985083764,-26.450756095138257,-20.116865705028438,-22.218239981758487
2022-02,-14.017165317161055,-14.557589572112551,-14.504761771589607,-14.749362702508538,-10.037027291508595,-11.869208343901075,-24.331870622867683,-23.114983241056688,-25.564026571243915,-26.383869654984544,-20.355994367950696,-22.29759501516966
2022-03,-13.118531051315571,-12.548210131125508,-14.225929247655726,-14.686577886545367,-9.483558267354757,-11.842827323760533,-23.547943219538666,-20.76948542213954,-24.754404395180106,-25.751005136724537,-20.558971909590667,-21.93101778049931
2022-04,-13.45303493324606,-13.31661441411874,-14.192245983413278,-14.956854344879236,-9.632050317471505,-11.632855112509535,-23.713804317863307,-22.364283930699678,-24.14027071778623,-25.68833575725254,-19.359750667329266,-20.89889471949541
2022-05,-13.708378917569195,-14.155652707757106,-12.784829611180202,-13.097481568961738,-9.840214673684022,-11.499624182673898,-23.163985447091996,-22.320545654551083,-23.729211478454147,-23.594328560587726,-19.407169378369797,-21.15421201992745
2022-06,-10.412660775586028,-11.7296767381863,-9.296196564669113,-10.593626414831547,-9.273770935061702,-10.145830326042162,-20.844995472351567,-19.28142518473333,-20.242991639520838,-21.758054156991896,-19.206554542393995,-20.8249626843467
2022-07,-11.52430456690958,-13.109002670063353,-10.421836548813378,-12.559979223812139,-9.84795076927924,-11.199320799401047,-21.63974405146429,-20.152877650704312,-18.48877122473518,-20.237858067975672,-18.046443608826586,-18.721946108541772
2022-08,-10.373679034717938,-11.925300355848545,-10.311150066591885,-11.813094093810257,-10.236428033934816,-11.19121443694869,-20.539129610016303,-19.50662026705983,-18.503164693948776,-18.778051185523328,-17.936052967761324,-18.86733587130462
2022-09,-8.780064651261736,-12.292130986260073,-11.023461977236266,-10.01950653571971,-9.633016129200941,-10.811526006630965,-19.97250931438003,-19.82350086597276,-18.563327984567845,-18.218693618728707,-17.97681696966574,-19.444797437858696
2022-10,-9.025666858112771,-13.357557593046412,-13.477613997691353,-14.491105201674484,-10.545042361461942,-11.665007635422857,-20.7952272862556,-21.767827308305172,-23.83045487876023,-25.485353474413344,-19.873966388121552,-21.596559566142005
2022-11,-5.861379552102732,-13.456094275417797,-13.67452676160309,-14.998588379735983,-10.575966765648595,-11.851821011132456,-19.522870334039528,-22.008586002895143,-23.99764353491441,-26.02050800096015,-20.99550531113904,-22.184943386830618
2022-12,-4.8945565714214165,-14.399896841948422,-15.675448558225439,-15.65846283548986,-10.4995163960436,-12.304284704278178,-18.808604717854713,-22.69582889382488,-26.047173008839145,-26.27779302945465,-20.1025233720071,-22.18541604840424
2023-01,-4.653252869921193,-14.486952763668095,-15.699690732971805,-15.662093826870038,-10.875271903176417,-12.404064306204797,-18.970676017209307,-22.614974802677622,-25.927269472025035,-26.691649347222054,-20.572998179487392,-22.196052123716722
2023-02,-4.78561448457334,-14.312613447923498,-15.849748053299159,-15.653303711542987,-10.983255884605512,-12.55776373357427,-19.069362507139836,-22.61319872025131,-25.74880155679967,-26.304427931666147,-20.387859913795346,-22.083037818301513
2023-03,-4.667825175463948,-13.90855449312255,-14.56392312430477,-15.767792837250434,-10.295532823744058,-12.229352183535752,-18.184658927436566,-22.069511965134854,-24.921324831562547,-26.029917846211273,-19.670640641404617,-21.733248451617175
2023-04,-4.433952091879753,-11.994292205191837,-10.42874184535042,-12.61152488745424,-9.320354361263687,-11.204719352468963,-18.036821695183015,-20.7919182789865,-22.057651128048903,-24.737687217247412,-19.193747251474413,-21.774501369559108
2023-05,-6.134171034397185,-13.595517048463815,-7.212295800903381,-13.663001853350822,-9.850465793151672,-11.104637293474271,-19.10483195232066,-21.840932922204733,-18.94845473639181,-24.562949057044744,-19.624304948031952,-21.70018080185579
2023-06,-7.28882034607113,-13.134673090216198,-1.6396188779220606,-13.472832679706098,-9.38431444188231,-11.128454591746284,-19.273221399349772,-21.033009446168805,-17.022134397583812,-23.864736756773784,-19.69246462458542,-20.453344974498616
2023-07,-5.521899923696289,-9.867253527763637,1.4484207910166915,-9.974917782019446,-8.50777874991118,-9.079513663470092,-16.557798515413047,-16.968986784776384,-15.270875602562235,-16.67376180227088,-18.711722720138777,-18.296530388110348
2023-08,-6.853630509286883,-12.143769113839358,2.538667115902334,-13.086313385470225,-7.755765353575309,-10.52616153649803,-18.071756188133744,-18.975251967986512,-17.09614104700713,-20.795505446353385,-19.887377465241418,-19.069683738085487
2023-09,-5.416085957815898,-11.687963661729405,1.9402456749330743,-14.333855995654186,-5.623655135121961,-10.86419655527586,-17.425329140179024,-19.470177699385133,-17.340019405265227,-26.56016756666117,-17.03080037914058,-19.87703001758049
2023-10,-6.253061436243911,-12.917102396028906,1.9459980863627422,-9.904939977523828,-5.108713359164139,-11.40358976741222,-19.428764532374043,-21.674582162859007,-17.95325430028627,-17.215357312293147,-17.28957052428075,-22.53420286040607
2023-11,-7.047443111648567,-13.654171708160423,0.9806204288997922,-8.374657904684295,-6.114250452345432,-12.07025697387413,-20.302738735330273,-23.963735502329023,-17.828879495069565,-15.193089483941442,-18.854726274316363,-23.88531660440262
2023-12,-7.384349919392203,-13.864236744470519,3.3327727690401856,-8.936046212125321,-7.110060040968877,-12.39789389878086,-20.91351403431082,-24.46621357567242,-15.560913536856532,-15.60970446864339,-19.113468947936965,-24.726430534964187
2024-01,-7.180438841692216,-13.9065173297701,2.2129827215612696,-8.785299824232219,-6.773118744551377,-12.296578536325637,-20.87230625480538,-24.51263322466466,-16.055402248491497,-15.951182495329565,-19.5015445886255,-24.49667147192922
2024-02,-7.177095512564159,-13.374920575803023,0.8906185672740353,-8.31221124034514,-6.482743891993744,-11.534706561282228,-20.561369127593785,-24.032004771895085,-18.63616295358258,-15.690093028451928,-19.13457214145487,-23.467132754870097
2024-03,-6.736529665205121,-12.858052064504914,1.1436624687716843,-7.946363754222951,-5.615412849363496,-11.284858808045543,-20.716036341220555,-23.114433760870895,-18.55944725776545,-14.71209421565108,-18.040938221106906,-23.25643636156461
2024-04,-6.8313221522298395,-13.380330978871681,1.203478348417633,-7.758790273111504,-5.022399288225397,-11.73129010310973,-20.443595366392806,-23.10814460718006,-18.216779261035494,-13.88995161852431,-16.09709278955541,-23.906171421013266
2024-05,-7.3499888474303265,-13.058837303796828,1.5568413107199823,-7.5842496592738256,-4.801966912208078,-11.599623179017861,-20.68390152467779,-21.495022293538124,-18.006535599868183,-13.74038153434003,-16.336280927302173,-23.40929670651445
2024-06,-6.853443958472616,-12.001563514117926,1.709835232803167,-5.525144663193348,-4.7989881279642574,-11.568072479141499,-19.00401047666083,-19.743585889545177,-17.71795012637144,-11.632137507801502,-17.269693841827703,-22.4009504295628
2024-07,-6.498168664241513,-11.35271374301354,1.996581605114719,-5.451694174650518,-5.682458588865182,-11.288408194505795,-17.869458953293563,-19.191474885733673,-17.19447308009907,-11.822646340262779,-17.45133661364504,-20.533227813946738
2024-08,-5.032740005790327,-10.791873437877054,1.8439369687119969,-5.353412475633477,-4.7051503195373385,-9.874438662971261,-16.782028534250983,-17.97598458113038,-17.244012150306013,-11.710058242546609,-16.740743032639816,-17.8172470706389
2024-09,-2.868644752714943,-7.870207244824836,2.4647563564714168,-5.514588572994232,-3.5510659769156465,-7.818772248498437,-15.26564774901469,-14.703716067702173,-16.535782181527225,-12.474785669773961,-15.30039825510556,-15.820187666515261
2024-10,-4.377589607652274,-8.720846264565258,2.022665502939562,-4.07006558991419,-5.083892417196344,-10.989480998334354,-18.11434516061034,-16.16185455134356,-16.961920738240337,-10.554330200620935,-16.818801836056743,-23.72200430995577
2024-11,-4.532673898401587,-8.309256328007432,2.2235231764558008,-5.363290507705484,-5.511267028965958,-11.67627494652998,-18.355589525220147,-14.675251068347169,-16.628666399450353,-12.015416547699616,-17.424408327492277,-25.97331813155301
2024-12,-4.9436638948607445,-8.707716954647612,2.5663310987485626,-7.544646376369265,-6.67590061825045,-12.22367057213176,-18.560409908719713,-14.856590287650324,-16.03488371895017,-14.603001868738627,-19.15510860862514,-25.539892369403702
2025-01,-4.936703239603996,-8.520039291970045,2.561615358119047,-7.993225536044023,-6.638563380781012,-12.243728497852977,-18.728641652465665,-13.976381963545734,-15.970373175940514,-13.980711809198297,-19.065574019676635,-25.4702011101867
2025-02,-5.003488483571436,-8.24262159256859,2.3913641854092895,-7.594859616656981,-6.592057686299802,-12.4154172158931,-18.857476473859958,-13.966317603826464,-16.33977910666698,-14.11781239187542,-19.004666885042475,-25.969987920218067
2025-03,-4.243224561842009,-6.472797927437213,2.4715991602856815,-6.378415392461302,-4.9015281414215846,-11.625608795030463,-17.997063673061003,-12.325140342716127,-16.63382129776428,-12.846244432686888,-18.696855294189117,-24.45135030267252
2025-04,-5.165813869264594,-6.32391173715871,1.604287000594748,-5.525823735295725,-5.019367339315885,-12.54822261282246,-19.13935574556803,-12.02151036193831,-17.483945893266547,-11.81579193038875,-17.28087057809622,-24.73608509786414
2025-05,-4.754253801798881,-3.8357323402009813,2.530151581296005,-4.652745768459465,-2.885254764641259,-10.369327917189324,-18.584537665774665,-10.08540279708396,-16.710803370074643,-10.660817175640943,-16.045643461095242,-22.459937237291935
2025-06,-5.2519407745743845,-4.155009689971315,2.1783193120123348,-3.6784042069177176,-3.0218437734667702,-10.928044581429653,-18.392520885959847,-10.574468363163039,-16.696208949867597,-10.238942981969302,-15.802590086497247,-21.261448917627177
2025-07,-3.9261951473544454,-3.9368075913723137,2.4439008833663696,-2.7095437113994185,-3.2600812082405994,-10.819865766800888,-16.72015779152593,-9.779478373846917,-16.465869620322202,-10.475432643631997,-15.834446743049407,-19.431545940813557
2025-08,-2.4883926565712997,-2.810404918614816,2.211535510705919,-2.572929071739546,-2.976143202012175,-9.61170794899556,-15.697294549961024,-9.502203449702424,-16.45528953594009,-10.483781989121194,-15.996099861317324,-18.73735784849188
2025-09,-0.6504548162747117,-2.749183592644238,2.156796032654142,-2.8942364478900084,-2.03510303983594,-8.537507433126901,-14.870063037190867,-9.808457481249556,-16.554302295175084,-11.16467636354409,-15.553502135240198,-18.889931225748736
2025-10,-0.42578689157199956,-3.1579694862972207,2.287625278729398,-2.3637125630933213,-2.2658628814602073,-7.003874389796733,-14.943034212238913,-10.411539986503442,-16.916818257161935,-10.569537213175582,-16.111106964037255,-18.923136244385688
2025-11,-0.760497750008772,-3.86378541486222,2.0540638682588286,-6.362544197162012,-2.7062022470830605,-8.996228745845775,-15.272652680701984,-10.914670857311162,-16.538914392066328,-12.918772565955571,-17.09109974812172,-21.44054288168975
2025-12,-1.1671667303682385,-4.471041790862348,2.6743507703430334,-7.555388093570049,-3.0547247467005887,-9.503606715031703,-15.557810915455352,-10.805160261114327,-15.895274423734488,-13.785937924876194,-16.580374889196577,-20.954094510089895
2026-01,-0.29171498897736253,-4.062789720049707,2.3178900262930386,-7.435058624218636,-3.103053478700902,-9.377888105837826,-15.129917520368206,-10.176212983870258,-16.04264291578132,-13.517939368107157,-16.492949390119477,-20.621366478989195
2026-02,-0.4953526444133818,-3.1625623798452467,2.219543439305754,-7.338927074794929,-2.8288715218573306,-9.191094641522671,-14.948119463784495,-9.258566416471242,-16.619251836979906,-13.709874061114713,-16.553161041093666,-20.317325841145475
2026-03,-0.03371745933733125,-1.8979765988872503,2.4452095289249556,-5.484826306838402,-2.2443795673564058,-8.418902327325881,-14.632243699426468,-8.450744474948102,-16.528397269651183,-11.686512956272542,-16.50818225216971,-19.724520153386884
2026-04,-0.171606846320702,-0.5177088401228956,2.3094776003485764,-3.883996687712602,-2.1689501009876637,-6.157581629728625,-14.7637253363824,-6.80691384338466,-16.413770131701444,-9.92020687667605,-15.71126401295113,-18.22185886347161
2026-05,-0.1642509333650215,-0.14890211542852325,2.155375588184901,-5.22081851558166,-2.2200907417481313,-0.4194017137121828,-14.93235053368246,-6.4946545955237145,-16.70424228491415,-11.197207364094051,-15.948281158247458,-14.764246857657348
2026-06,0.6409900904073008,0.5360012984010203,2.498964408040504,-4.9045973797134526,-1.877248283200875,0.6236746913096587,-14.245810296842803,-6.514874345806582,-16.457278247419108,-11.482123377668586,-15.819645825801086,-13.68118398069519
2026-07,0.6805237295760739,1.446855279245593,2.621980595241654,-4.351086653694548,-1.9012717822138363,-0.7012279225754621,-13.63781993336805,-5.547907841843322,-15.837490385002654,-11.084464261475333,-15.517693882829779,-14.754033734393788
2026-08,1.4723859775661712,1.8667391068273749,2.465474326826162,-3.2278140815178586,-2.042756476416211,-2.0499879144508726,-12.960029010853791,-5.437139339158962,-15.934360736907394,-11.006011814012474,-15.855094616232037,-15.144009108819752
2026-09,0.8509177241266961,1.2148299877019058,2.28922732176768,-4.206621204115237,-2.0423521531138804,-3.0022068612328683,-13.523785259060235,-5.60052792823477,-16.12201785262976,-10.825173100218581,-16.12287536172253,-16.45200760389888
