ym,VV:cn_zhangbei_r01,VV:cn_zhangbei_r02,VV:cn_zhangbei_r03,VV:cn_zhangbei_r05,VV:cn_zhangbei_r06,VV:cn_zhangbei_r07,VH:cn_zhangbei_r01,VH:cn_zhangbei_r02,VH:cn_zhangbei_r03,VH:cn_zhangbei_r05,VH:cn_zhangbei_r06,VH:cn_zhangbei_r07
2018-01,-12.079393037927208,-14.993589319052791,-15.442507496283035,-15.909328154243404,-7.991134934216668,-12.032364566974508,-20.777098106953286,-23.103772068129807,-19.93319783638663,-29.163215124097018,-13.409643776507993,-17.908060670294162
2018-02,-12.232550897509604,-15.008743712469657,-15.170395368559838,-15.788431851012916,-7.6947457687354035,-11.26050770563395,-21.99226212825452,-20.816202555138382,-24.33175777686199,-28.628265714426576,-14.823618709376788,-16.953776993610916
2018-03,-11.354581825563248,-14.324859201278771,-14.740193749534683,-15.39944303572172,-6.926913333761009,-10.749147937906883,-18.313805918228436,-21.731814497680134,-21.137519076812886,-30.117849135006388,-13.226790694022446,-14.990711944564044
2018-04,-8.781760971344866,-11.427029077325283,-11.779083045227967,-11.58444074946204,-6.764559325320844,-10.382323414853445,-15.133798096544552,-19.870135667324583,-18.84985122000336,-26.999473098287474,-13.655023463831723,-15.051083079776529
2018-05,-11.416772417679272,-11.642227113895341,-13.688523500344454,-13.13602936621438,-7.575735843035645,-11.922077136632174,-20.697425715476694,-19.57012720968726,-22.65904885382623,-24.35788589521876,-15.164575588293806,-18.04864716857851
2018-06,-11.475149196087722,-11.492478282129419,-13.382534206296668,-12.866604790586033,-7.911718672689929,-11.618741580818416,-21.85257688552297,-18.93460181436147,-23.96435935809573,-24.14420129655644,-15.314626636980995,-19.638051575647232
2018-07,-10.545290633290955,-9.758860206042613,-12.378043614304893,-12.389883502284036,-8.066967758498848,-10.56979282168458,-19.56874790328069,-16.935048833296534,-19.71413360161282,-20.60477319054628,-16.767232562003624,-17.692485208444023
2018-08,-10.19848351486625,-9.78931397478213,-12.03736075747719,-11.1176366209549,-8.221581676993992,-9.616397619439855,-18.240736069734595,-16.841633538805873,-19.05330050556673,-17.198279562952777,-16.653188055206787,-16.507360365095572
2018-09,-10.935320558000472,-11.167869179777169,-13.477496325740027,-11.991023288163015,-7.800460184965511,-10.16876403981215,-19.383170121651943,-18.231482953115353,-21.770195951203142,-20.33358165463357,-14.89131159433437,-16.528311063679347
2018-10,-10.355621495113606,-11.177354426879436,-11.888141016286362,-12.283825831427553,-8.111126170784203,-10.600031113848491,-17.676698792610004,-17.530168570461583,-18.998000415147096,-25.05989065045544,-13.811589559816548,-15.732011280856229
2018-11,-11.773037646075679,-12.531472762623533,-13.930761836650582,-14.957660106121764,-7.712764571851273,-10.363612999834402,-23.105176517538084,-21.255012957419183,-25.739711924836342,-34.92356071237732,-14.780461588837628,-16.8550171260403
2018-12,-12.010072066312134,-14.307554509730302,-14.505480022336851,-15.210068034628375,-7.892308597854221,-10.365929424674855,-16.810819449812676,-24.196800888944576,-19.676467803922822,-32.83398441298628,-13.630442590871795,-15.673600816102589
2019-01,-12.916284062617528,-14.357361200721815,-15.222552128651454,-15.274311540037775,-7.931118379953715,-11.166551813775714,-26.79438034258515,-28.20742137685542,-32.200395227082645,-37.63544072362322,-17.6597228463228,-22.17673112560176
2019-02,-12.922137569108791,-14.35358637188915,-14.71931597006897,-15.06505408963794,-7.880838024952677,-11.196957147922497,-24.31087329064136,-24.27671730427812,-26.979216550944564,-30.77505750653335,-17.31622614211051,-21.306229206782906
2019-03,-12.654901756710967,-14.12053532474355,-15.01883865565389,-15.169312446314162,-7.55186114035933,-11.09620982926742,-26.57349821256777,-26.083919470533544,-33.02775993678386,-36.15447887967905,-17.30506855971621,-22.771370421572875
2019-04,-12.606018209499867,-13.580250166901939,-12.51288248037297,-14.916210017008497,-7.4818633558686045,-10.975037688219544,-22.491791011135835,-20.955031410561872,-24.696510396503776,-26.98243646476114,-16.70912561783412,-20.490335141218505
2019-05,-11.79280899322691,-12.82262991316188,-12.724984612192006,-12.732939875528933,-7.648205288156792,-10.21908066000033,-26.885838694781597,-25.26050002946742,-28.53640187766719,-30.69126503905582,-17.312010329189356,-22.4121969958698
2019-06,-10.958836308596108,-12.016337867234283,-12.089008861871575,-11.377903556789517,-7.358174332354846,-9.860238310740028,-22.204288094136093,-20.929540550217155,-23.354498744542074,-24.03501006422109,-16.20016195719409,-19.72895169904451
2019-07,-10.482503664767247,-11.113507834155168,-11.64514598229105,-12.67008393232196,-8.32439804155424,-9.814630554270966,-20.24350029091128,-18.534443878897232,-19.014168544984145,-20.651560086821938,-17.60584787300315,-17.948865123509574
2019-08,-11.070886475207182,-11.663664393703282,-12.909662775396392,-13.151322772399247,-8.160160353887981,-10.100329906205099,-19.852799241825842,-18.6079855301597,-20.114198997506396,-20.06738010986398,-16.9819652100842,-17.504267356776452
2019-09,-11.306867810944603,-11.841011091450348,-12.925715151095865,-12.13651357271861,-7.974450601074162,-10.2081253624061,-20.803806339198207,-19.28816473819154,-22.030034772786898,-20.830202252217916,-16.767100819625604,-18.445164025464386
2019-10,-12.462723562008552,-13.054216595760227,-13.211041244558352,-13.736659965842833,-8.978830129208884,-10.951671446360683,-24.152621695033226,-23.156632675003205,-26.249713337936196,-28.582113310384102,-18.30288732666724,-21.77962089642757
2019-11,-12.468220006012995,-14.207481218087679,-13.961205164299233,-14.857427209584083,-8.900273440463492,-11.268329249580756,-24.23552789297464,-23.67372629544384,-26.16300357755325,-30.483189916599255,-18.64162906080931,-22.35614547222259
2019-12,-12.976504890632775,-14.558663240230445,-14.458478742698688,-14.824090815929484,-8.677919780638792,-11.417259327248798,-27.82790241564245,-28.084108461550464,-31.63187582488679,-35.634499709529216,-18.87224147752591,-23.548075925019038
2020-01,-13.000374792375636,-14.571806716495066,-13.851738817659042,-14.444416844244902,-8.694200636640415,-11.282050594712594,-24.184337415284315,-23.89018549874787,-24.845027528979205,-26.865920368251242,-18.417754065529437,-21.65263488573233
2020-02,-12.922761312479842,-14.374763467496246,-14.06849933271863,-14.83333894957868,-8.074072573661786,-11.421035441699917,-23.554475804829018,-23.18219143090287,-23.38403882801049,-26.42269022846,-17.450190134206586,-21.229423074208377
2020-03,-12.629271843184346,-14.061041716743325,-13.66380914465632,-13.752145631505234,-8.30561643631413,-11.318681001058426,-23.52430146034748,-22.868280016245095,-23.101663633194075,-25.78126463497064,-17.458207643185787,-21.501724021899985
2020-04,-12.571976811004017,-14.144097002815165,-12.981243388893745,-14.544326660993487,-8.19662333694899,-10.447789677109522,-22.24554955353107,-21.76846241878522,-19.81875281369029,-23.558420655275256,-16.42159569953024,-18.467015383920497
2020-05,-12.622554919275162,-14.031232206457483,-12.156671127852405,-13.086723579391496,-7.701339004799139,-10.798245453633832,-22.360855930244206,-22.655885978461036,-23.236279301927713,-23.70981684467526,-16.390044456158176,-20.48875541126598
2020-06,-11.910368901579403,-12.970261986375649,-11.124953003474477,-12.480949944757882,-7.8946061713670765,-11.077875058955835,-18.865641168116,-20.848952930890846,-21.793848744019634,-23.321003760247322,-16.192260873907912,-19.565506656030944
2020-07,-10.073626284080804,-10.52615786401569,-9.519270945150641,-10.644445333421713,-7.626442372398011,-9.915330818670293,-19.358833241400937,-18.611946783187623,-18.00710189940203,-18.241782386337075,-17.491790170362126,-18.555504564931653
2020-08,-9.106314063163435,-9.656172505893785,-9.227765232587016,-10.30959800271383,-6.937501464636776,-9.201237518887638,-17.499188722573827,-17.389364658315603,-16.842526617389254,-17.55369445839192,-16.455635167055547,-16.86658507003711
2020-09,-9.554175528843416,-8.900412227848431,-9.324882447628449,-10.030067175130736,-7.4724935377492985,-9.58507161294229,-17.15131978262768,-15.748015243317557,-17.426880801640326,-18.044522279911945,-15.882685155150192,-16.231162938562104
2020-10,-12.53004138199714,-12.440664472949829,-12.089580647079796,-13.584783932698281,-7.940086716726813,-10.695939391803435,-19.559350822512023,-19.856830609389,-21.479600488705923,-24.975195178086626,-13.845123315717442,-14.702136978481727
