ym,VV:cn_guian_r01,VH:cn_guian_r01
2018-01,-11.275272870646164,-18.25935163854282
2018-02,-11.826491787079306,-18.616809979770405
2018-03,-11.883635267726028,-18.825295539255364
2018-04,-10.390071382954126,-17.746332055605723
2018-05,-9.583141039948337,-16.657173063998542
2018-06,-8.309774117749756,-15.555852738758427
2018-07,-9.536035192850143,-15.907928660014553
2018-08,-9.844366943059569,-16.22764197602561
2018-09,-10.148293424518084,-16.330507507049703
2018-10,-10.094031071810184,-16.456453961090062
2018-11,-10.444353228362722,-16.753808818127084
2018-12,-10.634756222096517,-17.668709214379007
2019-01,-10.624342584212357,-17.865983268787325
2019-02,-10.861768541386656,-18.3639657892784
2019-03,-10.592753459539795,-17.721828532860762
2019-04,-10.214083335759383,-17.370189199984424
2019-05,-9.747649653347453,-17.063987626498434
2019-06,-9.36912370237264,-15.882890377822985
2019-07,-9.328394038960244,-15.587171016756002
2019-08,-9.59085717717007,-15.80626578566544
2019-09,-9.984106362656469,-15.95568989397711
2019-10,-10.255348763705742,-16.305276192060223
2019-11,-10.584687691488313,-17.451822613098717
2019-12,-11.169333899665348,-18.226323814610787
2020-01,-10.786731609415817,-18.431049432813296
2020-02,-10.393899498278905,-17.682376303667496
2020-03,-10.040677578006125,-17.633893181870256
2020-04,-10.743281821903857,-18.107027576381267
2020-05,-10.598473121712102,-18.25797630252042
2020-06,-9.188887978879455,-15.878302135461492
2020-07,-8.871716928051255,-15.304300107356585
2020-08,-9.61408929940856,-16.11762245744253
2020-09,-9.158000873992261,-15.42319452650472
2020-10,-10.212233530069717,-16.631092936236517
2020-11,-11.043633587344805,-17.30679111055846
2020-12,-10.500413891043973,-17.2551650894496
2021-01,-11.174001926717615,-18.447069613905104
2021-02,-10.82787022242416,-17.49649073146322
2021-03,-10.999918340538862,-17.94223576532704
2021-04,-9.477654340083108,-16.768388720890357
2021-05,-9.549373197339687,-16.750186702292215
2021-06,-9.337406860750264,-16.1467249807028
2021-07,-9.199519139827329,-15.645551299172856
2021-08,-9.32933304520915,-15.822632555425743
2021-09,-9.993020924386999,-15.889006653883564
2021-10,-9.632339109729656,-15.924817026480525
2021-11,-10.71407979742666,-17.252077814064513
2021-12,-11.089927750899392,-17.842001817936385
2022-01,-10.243766271575723,-17.471854753755096
2022-02,-9.991451906932028,-17.10503894191938
2022-03,-11.15083562892044,-17.17108123563679
2022-04,-10.143730334793345,-17.090762548937867
2022-05,-8.251697269130446,-15.257661167824676
2022-06,-9.527395023233602,-15.950671465458067
2022-07,-9.583309937354691,-15.760307833309987
2022-08,-9.414233273127845,-15.568799702050072
2022-09,-9.876792614690034,-15.932940566066776
2022-11,-10.345080496680401,-16.647863121291415
2022-12,-11.18078101685828,-17.998889497015533
2023-01,-11.163528916496828,-18.358583645816378
2023-02,-10.5941727477069,-17.289377388717952
2023-03,-10.24655400969247,-16.87169379973939
2023-04,-10.11277026908176,-16.978350399672433
2023-05,-9.546671174558474,-16.979978518318106
2023-08,-9.145960499712523,-15.534614806499683
2023-09,-9.901993690782781,-16.42629166781725
2023-10,-10.11012869171767,-16.441675231016816
2023-11,-10.027073061322005,-16.7435387063732
2023-12,-10.870090074298822,-17.9420798019654
2024-01,-10.359931003106004,-18.03266146047143
2024-02,-10.834413255745016,-18.591128381984298
2024-03,-11.500999874014813,-19.427175678056493
2024-04,-11.477518416729769,-19.403407218438574
2024-05,-10.987566204767903,-18.241993940003727
2024-06,-9.745946644959723,-16.92770320504682
2024-08,-11.316955295769505,-18.130051431295733
2024-09,-10.30126483763931,-17.358810029330364
2024-10,-11.403792539161236,-18.511527614602745
2024-11,-10.98604355457746,-18.751895994643803
2024-12,-11.025188435798347,-19.20703932680088
2025-01,-9.120441147821788,-18.825340084208634
2025-02,-7.93123095495657,-18.73474287222657
2025-03,-6.110888922375748,-16.10551862679578
2025-04,-6.456255046284492,-15.614944804734343
2025-05,-4.820654002595362,-14.250943640763232
2025-06,-4.724377312682948,-14.240810538945222
2025-07,-4.251818496279184,-13.06116742582893
2025-08,-3.3550526517979766,-12.199505123276772
2025-09,-3.5523183255963757,-12.361661847892869
2025-10,-3.821881584935935,-12.445246534615071
2025-11,-3.9766072063283167,-13.195142748052781
2025-12,-3.7994125997420287,-13.743480425184483
2026-01,-2.8803527948732803,-13.489739580755916
2026-02,-2.5730167926064507,-14.029012158910682
2026-03,-2.961719447248936,-13.726625869359337
2026-04,-1.5141317595257404,-12.799276392162561
2026-05,-0.5758267219067739,-12.237706151818571
2026-06,-1.6979087351950541,-12.287364420515717
2026-07,-1.9049664847500052,-12.94777407978188
2026-09,-0.9973429357642777,-11.469501424987406
