rank,lat,lon,area_ha,early_db,late_db,rise_db
1,29.82473,106.55975,7.4,-8.4,-2.0,5.9
2,29.81525,106.67892,7.1,-10.6,-2.9,7.0
3,29.89927,106.59628,7.1,-10.6,-1.8,8.2
4,29.81029,106.65108,3.4,-10.4,-2.7,7.2
5,29.80085,106.64946,3.3,-12.3,-4.6,7.0
6,29.80471,106.6711,2.8,-11.0,-2.2,8.0
7,29.81619,106.67005,2.8,-10.3,-3.6,6.4
8,29.79719,106.64466,2.7,-10.7,-4.9,5.4
9,29.80477,106.64899,2.6,-9.3,-1.0,7.5
10,29.80814,106.68081,1.9,-8.5,1.4,9.0
11,29.8062,106.67853,1.4,-8.1,-0.8,6.6
12,29.80254,106.64988,1.3,-11.3,-4.5,5.9
13,29.80629,106.56194,1.2,-10.1,2.1,10.5
