rank,lat,lon,area_ha,early_db,late_db,rise_db
1,41.0601,113.15923,32.0,-10.8,-0.7,9.4
2,41.06868,113.1631,12.3,-9.1,0.8,8.9
3,41.01993,113.19004,8.0,-14.6,-2.1,11.4
4,41.0725,113.14474,7.6,-11.0,-1.5,8.2
5,41.06147,113.10161,7.0,-12.6,-7.0,5.1
6,41.0651,113.14853,6.7,-15.9,-2.6,11.5
7,41.04698,113.17151,5.5,-9.5,-1.2,7.4
8,41.05023,113.16659,4.4,-14.3,-4.1,9.2
9,41.04819,113.1578,4.1,-10.7,-2.0,7.7
10,41.01266,113.09414,4.0,-8.4,-0.8,7.0
11,41.03888,113.09231,4.0,-8.6,-0.0,7.3
12,41.07724,113.18556,3.9,-8.3,0.9,6.8
13,41.05165,113.1691,3.4,-11.9,-3.8,7.3
14,41.04486,113.12643,3.4,-11.9,-3.4,7.7
15,41.01941,113.14125,3.0,-10.0,-1.4,7.7
16,41.01859,113.1445,2.7,-9.8,-1.9,6.6
17,41.01781,113.11457,2.4,-8.9,-0.4,7.5
18,41.07214,113.16645,2.4,-16.8,-3.7,11.5
19,41.05592,113.14898,2.2,-9.5,1.7,9.9
20,41.08044,113.15622,2.2,-13.4,-3.5,9.0
21,41.0416,113.15919,2.1,-12.0,-3.7,7.5
22,41.05943,113.17469,2.1,-15.1,1.2,15.2
23,41.06349,113.14567,2.1,-13.5,-3.2,8.3
24,41.01058,113.18052,2.0,-9.6,-3.1,5.5
25,41.02853,113.21444,1.8,-8.8,0.2,7.5
26,41.04738,113.15464,1.8,-12.6,-2.6,8.6
27,41.08014,113.15082,1.8,-11.4,-1.1,8.6
28,41.01033,113.10168,1.7,-10.0,-2.9,6.2
29,41.06615,113.10851,1.6,-12.6,-0.2,10.4
30,41.07429,113.10985,1.6,-13.6,-5.5,7.0
31,41.04846,113.16226,1.6,-5.8,1.8,6.5
32,41.04749,113.17951,1.4,-6.3,7.5,11.6
33,41.02668,113.17207,1.4,-14.0,-1.8,9.6
34,41.10061,113.0937,1.4,-13.3,-3.1,8.7
35,41.00293,113.15408,1.3,-11.1,-4.8,5.7
36,41.05191,113.12308,1.3,-9.2,-1.7,6.8
37,41.06336,113.10356,1.3,-13.7,-7.5,5.3
38,41.00758,113.16214,1.2,-11.2,-2.1,7.3
39,41.01137,113.15471,1.1,-13.3,-5.6,6.1
40,41.06677,113.15625,1.1,-13.0,-2.4,8.6
41,41.07914,113.1098,1.1,-10.8,-4.1,5.9
42,41.04956,113.16,1.1,-9.3,-3.1,5.4
43,41.06791,113.09309,1.0,2.0,9.7,6.6
44,41.00717,113.14853,1.0,-8.7,1.1,7.0
45,41.03256,113.10517,1.0,-1.4,7.4,6.7
46,41.05841,113.15335,1.0,-10.4,-4.4,5.4
