name,d,VV,VH
cn_ulanqab_r05,2018-01-08,-15.601489383888936,-27.190141506981696
cn_ulanqab_r04,2018-01-08,-11.873857919241047,-19.77354686007778
cn_ulanqab_r03,2018-01-08,-16.16991812937669,-26.631687291236727
cn_ulanqab_r07,2018-01-08,-13.280684596615888,-25.089048971081187
cn_ulanqab_r06,2018-01-08,-18.523159261314916,-28.532196289770955
cn_ulanqab_r05,2018-01-20,-14.901770902264454,-27.380326337671946
cn_ulanqab_r04,2018-01-20,-11.435086773076867,-19.516033574956012
cn_ulanqab_r03,2018-01-20,-15.518925059721687,-26.78722459883508
cn_ulanqab_r07,2018-01-20,-13.5061216960792,-24.473605195128503
cn_ulanqab_r06,2018-01-20,-18.46730400429693,-27.502943737178263
cn_ulanqab_r05,2018-02-01,-15.527662794100188,-27.834809576694266
cn_ulanqab_r04,2018-02-01,-12.096461462340681,-19.62280849221547
cn_ulanqab_r03,2018-02-01,-16.01473752748445,-26.29397513794298
cn_ulanqab_r07,2018-02-01,-13.440435653509637,-25.268893357477413
cn_ulanqab_r06,2018-02-01,-18.62633595050731,-27.69791011172526
cn_ulanqab_r05,2018-02-13,-15.803326532506345,-27.295763022444277
cn_ulanqab_r04,2018-02-13,-11.845818075068598,-19.147665470709594
cn_ulanqab_r03,2018-02-13,-15.835188684599618,-26.644651921299005
cn_ulanqab_r07,2018-02-13,-13.349956029816783,-24.37507503237941
cn_ulanqab_r06,2018-02-13,-18.697755812835275,-27.160149546796273
cn_ulanqab_r05,2018-02-25,-15.183251694743447,-27.486381660307387
cn_ulanqab_r04,2018-02-25,-11.740507623486932,-19.33225995241593
cn_ulanqab_r03,2018-02-25,-15.51195031004262,-26.543109830956585
cn_ulanqab_r07,2018-02-25,-13.123645622634292,-23.58324279198296
cn_ulanqab_r06,2018-02-25,-18.380284283336014,-26.373728842454703
cn_ulanqab_r05,2018-03-09,-16.00739839194697,-27.616015774585286
cn_ulanqab_r04,2018-03-09,-11.609239990743395,-19.05184678362776
cn_ulanqab_r03,2018-03-09,-15.54728119276065,-26.235123168982092
cn_ulanqab_r07,2018-03-09,-13.341387573810254,-23.30111800426267
cn_ulanqab_r06,2018-03-09,-17.764692072719683,-25.4852197489139
cn_ulanqab_r05,2018-03-21,-15.471209408650454,-31.24851173829953
cn_ulanqab_r04,2018-03-21,-11.473473090438354,-19.898335976795256
cn_ulanqab_r03,2018-03-21,-15.157420670741253,-28.618765772576776
cn_ulanqab_r07,2018-03-21,-13.10362904030338,-24.4689911845507
cn_ulanqab_r06,2018-03-21,-18.032781937899138,-27.329983328720896
cn_ulanqab_r05,2018-04-02,-16.12859528675924,-28.395313934007767
cn_ulanqab_r04,2018-04-02,-11.701648527118302,-19.65195576307708
cn_ulanqab_r03,2018-04-02,-15.729586136807036,-27.03759046143886
cn_ulanqab_r07,2018-04-02,-13.552525550757242,-23.806361723129484
cn_ulanqab_r06,2018-04-02,-17.852964846854956,-28.550161682475828
cn_ulanqab_r05,2018-04-14,-17.386491385096015,-30.677824789233785
cn_ulanqab_r04,2018-04-14,-11.427383621922411,-19.731264055494776
cn_ulanqab_r03,2018-04-14,-15.598268731318063,-28.661716978193024
cn_ulanqab_r07,2018-04-14,-12.791006071057913,-23.78200202097737
cn_ulanqab_r06,2018-04-14,-16.89920136790296,-27.23978584339651
cn_ulanqab_r05,2018-04-26,-16.473307266474055,-29.273057474886098
cn_ulanqab_r04,2018-04-26,-10.98441013320137,-19.036277506380262
cn_ulanqab_r03,2018-04-26,-15.607159108131727,-28.79206088332621
cn_ulanqab_r07,2018-04-26,-12.848043601342326,-24.082320506700512
cn_ulanqab_r06,2018-04-26,-17.297912885129012,-27.408375161901105
