name,d,VV,VH
cn_qingyang_r12,2018-01-11,-12.69293889565718,-22.515311629112926
cn_qingyang_r03,2018-01-11,-12.090129085987417,-22.992460355749476
cn_qingyang_r07,2018-01-11,-11.883553940068706,-20.53014456463975
cn_qingyang_r11,2018-01-11,-12.863451393926832,-22.863640562981775
cn_qingyang_r12,2018-01-23,-11.847965574585938,-21.021071578635627
cn_qingyang_r03,2018-01-23,-11.119814907193277,-22.211828492813694
cn_qingyang_r07,2018-01-23,-11.225730380444485,-19.60727285263331
cn_qingyang_r11,2018-01-23,-12.847910803892253,-22.346173392730684
cn_qingyang_r12,2018-02-04,-12.354343026201441,-22.23042785200215
cn_qingyang_r03,2018-02-04,-11.076815315075066,-23.587556451398758
cn_qingyang_r07,2018-02-04,-11.52494550936571,-20.641179808389076
cn_qingyang_r11,2018-02-04,-13.035927955554918,-23.464461698079344
cn_qingyang_r12,2018-02-16,-11.612551541042116,-19.978737788412733
cn_qingyang_r03,2018-02-16,-11.359867671709702,-21.834235254740015
cn_qingyang_r07,2018-02-16,-10.50849916559971,-18.927327762857953
cn_qingyang_r11,2018-02-16,-13.074312908647224,-22.065805420531987
cn_qingyang_r12,2018-02-28,-11.751631790154635,-19.53555303802923
cn_qingyang_r03,2018-02-28,-10.492768906901826,-21.379157338119743
cn_qingyang_r07,2018-02-28,-10.912050897614737,-18.939634006235973
cn_qingyang_r11,2018-02-28,-13.138795771250619,-21.698156891824834
cn_qingyang_r12,2018-03-12,-12.339812846496374,-20.18912515784778
cn_qingyang_r03,2018-03-12,-10.801570892861207,-21.26501963928623
cn_qingyang_r07,2018-03-12,-11.047527373547283,-18.919297186421833
cn_qingyang_r11,2018-03-12,-13.023098597587904,-21.527054484566605
cn_qingyang_r12,2018-03-24,-12.273644542684702,-20.00416932906467
cn_qingyang_r03,2018-03-24,-11.283476447188416,-21.765866400400185
cn_qingyang_r07,2018-03-24,-10.939274264046603,-19.634722158566134
cn_qingyang_r11,2018-03-24,-13.483068332220217,-22.333934786736364
cn_qingyang_r12,2018-04-05,-12.12875302745108,-19.93475925602078
cn_qingyang_r03,2018-04-05,-10.819727009683882,-19.166519612241313
cn_qingyang_r07,2018-04-05,-10.841364377975879,-19.145679872669202
cn_qingyang_r11,2018-04-05,-13.158435969735672,-20.4182702344296
cn_qingyang_r12,2018-04-17,-12.611119585288723,-19.50821820984186
cn_qingyang_r03,2018-04-17,-11.57032866866523,-18.87093142126927
cn_qingyang_r07,2018-04-17,-11.23983761863683,-19.11878779133461
cn_qingyang_r11,2018-04-17,-13.095987658458023,-21.71251204373415
cn_qingyang_r12,2018-04-29,-11.724682487706522,-18.854469990461485
cn_qingyang_r03,2018-04-29,-11.71893523567844,-17.857608410284108
cn_qingyang_r07,2018-04-29,-10.677776886320329,-18.689544037622998
cn_qingyang_r11,2018-04-29,-13.262205296613873,-20.597239629061868
cn_qingyang_r12,2018-05-11,-10.540472411963345,-17.95532698124368
cn_qingyang_r03,2018-05-11,-10.045652557708864,-16.771645315868046
cn_qingyang_r07,2018-05-11,-10.099685612168592,-17.8580330120342
cn_qingyang_r11,2018-05-11,-11.766376221950397,-19.12682745764326
cn_qingyang_r12,2018-05-23,-11.224293366465767,-18.39068310913576
cn_qingyang_r03,2018-05-23,-10.35830569550264,-16.417467704193726
cn_qingyang_r07,2018-05-23,-10.340741809281232,-17.411938565439087
cn_qingyang_r11,2018-05-23,-12.143635999700217,-18.849045903958267
cn_qingyang_r12,2018-06-04,-10.770870162620472,-17.90707292517217
cn_qingyang_r03,2018-06-04,-10.158022568157824,-16.83827716766815
cn_qingyang_r07,2018-06-04,-10.219590523445978,-17.266943935721795
cn_qingyang_r11,2018-06-04,-12.443134984740029,-18.918402801919058
cn_qingyang_r12,2018-06-16,-11.527907426662305,-17.957903808641447
cn_qingyang_r03,2018-06-16,-9.280840098031518,-16.85317725150377
cn_qingyang_r07,2018-06-16,-10.361827426435601,-17.466435120422556
cn_qingyang_r11,2018-06-16,-12.012564407961282,-19.093837960075856
cn_qingyang_r12,2018-06-28,-8.694635347477197,-16.32768669649683
cn_qingyang_r03,2018-06-28,-8.662974924025889,-16.34197296537338
cn_qingyang_r07,2018-06-28,-8.614125770222417,-16.40156360374972
cn_qingyang_r11,2018-06-28,-9.985491588173858,-16.897899142230976
cn_qingyang_r12,2018-07-10,-7.172807800217367,-14.028998468489592
cn_qingyang_r03,2018-07-10,-7.83636165418761,-14.161718288412768
cn_qingyang_r07,2018-07-10,-7.204629199152109,-14.23074440669374
cn_qingyang_r11,2018-07-10,-8.495262956339694,-14.321990767845897
cn_qingyang_r12,2018-07-22,-8.32887481551052,-15.07057148409147
cn_qingyang_r03,2018-07-22,-7.445971289935742,-14.262313452415574
cn_qingyang_r07,2018-07-22,-8.005785440594643,-14.983699362438353
cn_qingyang_r11,2018-07-22,-9.278917364395106,-16.784235529237073
cn_qingyang_r12,2018-08-03,-9.00089978610822,-16.44080884095384
cn_qingyang_r03,2018-08-03,-7.127092218988718,-15.613958643518059
cn_qingyang_r07,2018-08-03,-9.152051889173737,-15.793443561027315
cn_qingyang_r11,2018-08-03,-10.58495970416535,-17.917227431926126
cn_qingyang_r12,2018-08-15,-9.442925956343714,-16.79745871231073
cn_qingyang_r03,2018-08-15,-7.125543495021611,-14.359662120216202
cn_qingyang_r07,2018-08-15,-8.717499017952765,-16.250739646392645
cn_qingyang_r11,2018-08-15,-10.665541673994117,-17.647708599042865
cn_qingyang_r12,2018-08-27,-10.358000959000952,-16.980078862606213
cn_qingyang_r03,2018-08-27,-8.712467835412484,-15.247374143581162
cn_qingyang_r07,2018-08-27,-8.971840198168723,-16.719472785753226
cn_qingyang_r11,2018-08-27,-11.190597141981929,-18.013774520926063
cn_qingyang_r12,2018-09-08,-10.0608761723958,-18.255192302310306
cn_qingyang_r03,2018-09-08,-9.334910445477627,-16.30544969693925
