rank,lat,lon,area_ha,early_db,late_db,rise_db
1,42.67331,-87.8991,24.7,-10.8,-1.1,9.2
2,42.67198,-87.91031,19.2,-10.6,-3.5,6.5
3,42.69534,-87.93126,7.4,-12.2,-5.0,6.5
4,42.70665,-87.95127,6.0,-11.9,-2.4,9.1
5,42.70058,-87.92699,5.4,-9.7,-2.7,6.7
6,42.70255,-87.92693,5.0,-9.7,-2.6,6.7
7,42.69882,-87.88771,4.2,-13.2,-0.4,11.5
8,42.67415,-87.90339,3.6,-10.7,-4.0,6.3
9,42.70468,-87.95162,3.5,-10.7,-1.2,8.8
10,42.71408,-87.93113,3.4,-12.5,-2.9,9.1
11,42.72425,-87.94338,3.1,-12.3,-3.2,8.6
12,42.68164,-87.90804,3.0,-10.8,-2.9,6.9
13,42.72095,-87.88257,3.0,-9.7,1.3,9.7
14,42.70928,-87.90797,2.8,-12.4,-4.3,7.1
15,42.63834,-87.95903,2.5,-10.5,2.2,10.6
16,42.68088,-87.86395,2.3,-11.4,-2.7,6.9
17,42.6747,-87.91395,1.3,-11.9,-5.6,5.8
18,42.70738,-87.87146,1.3,-10.7,-4.1,5.7
19,42.70892,-87.91076,1.3,-13.9,-6.2,6.8
20,42.69234,-87.88948,1.2,-14.0,-3.6,8.5
21,42.67997,-87.92385,1.2,-19.2,-0.2,17.0
22,42.71079,-87.96264,1.2,-15.9,-5.7,8.3
23,42.6757,-87.9094,1.1,-9.8,-2.9,6.1
24,42.6804,-87.89935,1.1,-9.4,-2.7,5.3
25,42.69645,-87.91036,1.1,-9.9,-0.2,8.4
26,42.67746,-87.9133,1.0,-12.0,-3.7,7.0
27,42.62844,-87.88327,1.0,-8.7,0.1,7.2
28,42.69858,-87.84599,1.0,-13.1,-4.6,7.4
