rank,lat,lon,area_ha,early_db,late_db,rise_db
1,40.38685,115.53941,14.2,-11.0,0.0,10.6
2,40.32996,115.54256,5.5,-11.4,-6.2,5.0
3,40.33117,115.5684,5.3,-13.3,0.2,12.4
4,40.39248,115.53879,5.3,-12.6,-4.4,6.9
5,40.3945,115.51204,4.0,-0.8,7.0,6.4
6,40.39054,115.49988,3.6,-10.6,-1.5,8.1
7,40.35797,115.56956,3.5,-12.8,-5.7,6.1
8,40.35764,115.54681,3.5,-11.9,-6.0,5.4
9,40.3977,115.53407,3.2,-11.0,-4.7,6.1
10,40.39962,115.48794,2.5,-5.6,0.9,5.1
11,40.30107,115.50517,2.2,-15.4,-4.7,9.7
12,40.35529,115.55012,2.0,-10.8,-4.7,5.7
13,40.39234,115.50203,1.9,-11.4,-3.9,6.3
14,40.30767,115.51585,1.9,-12.1,-4.1,7.3
15,40.37964,115.6191,1.7,-10.9,-0.2,9.9
16,40.38548,115.52105,1.6,-7.5,1.9,8.7
17,40.33089,115.54106,1.4,-10.8,-6.4,4.4
18,40.35062,115.58492,1.4,-11.7,-6.3,4.9
19,40.32261,115.57572,1.3,-12.8,-3.6,7.1
20,40.38696,115.53606,1.3,-14.2,-5.6,7.4
21,40.38797,115.53151,1.1,-12.3,-4.4,6.9
22,40.35802,115.57141,1.1,-13.6,-3.4,8.8
23,40.37194,115.52235,1.0,-12.1,-3.6,7.8
24,40.38141,115.57531,1.0,-11.3,-0.9,8.6
25,40.39924,115.61599,1.0,-9.9,-2.7,5.5
