ym,VV:west_halls,VH:west_halls
2018-01,-10.211849700063503,-19.199843815972322
2018-02,-10.145232550539692,-21.651515435657288
2018-03,-9.519237626156713,-20.568833482916112
2018-04,-7.139903328002335,-17.961567858385155
2018-05,-8.030020253113651,-19.82091379532387
2018-06,-7.83111409102705,-19.042062869252845
2018-07,-6.615358699278862,-18.370165019253513
2018-08,-6.593901874308261,-17.790633272083014
2018-09,-6.733923584932601,-19.06745244728873
2018-10,-6.732165568116768,-17.433319637211092
2018-11,-8.02645542210534,-19.956755361158336
2018-12,-8.408062005807013,-22.163251001819123
2019-01,-7.529093988890593,-23.930775968817763
2019-02,-6.622145865548438,-21.30254926032563
2019-03,-6.0167085731947285,-21.568810923969224
2019-04,-5.937183843410018,-18.80309277684176
2019-05,-5.665967247620119,-20.959709133895227
2019-06,-4.98012491349192,-18.69726444433919
2019-07,-4.314885164962046,-19.111433478701848
2019-08,-4.501542337430415,-18.32630825981077
2019-09,-4.6781295996358985,-18.188964688697542
2019-10,-4.230728791691218,-18.551777435515174
2019-11,-3.953539250903262,-18.671468590576115
2019-12,-4.681572012563033,-20.559785611642027
2020-01,-3.6144443671418447,-19.855990272536342
2020-02,-3.730436330156398,-18.959678324065322
2020-03,-3.3325804459590223,-18.42663223895125
2020-04,-2.7076585247082945,-17.708847317040863
2020-05,-3.3432887206142805,-18.214113372595786
2020-06,-2.9757797345950356,-18.250448367119866
2020-07,-2.0923603877280468,-17.63628016218306
2020-08,-1.707729381191434,-16.296574553468673
2020-09,-1.782048628323216,-16.30273113436274
2020-10,-3.713604872207878,-15.924611565008027
2020-11,-4.116759949330793,-18.63341071989668
2020-12,-3.741407487491369,-18.966682861949717
2021-01,-5.029630814838226,-19.322618719237397
2021-02,-5.03351561651906,-19.416078269239485
2021-03,-2.8239415927835765,-17.45808411269224
2021-04,-4.065768177971718,-18.426370660493674
2021-05,-4.296860499743641,-18.55288960969918
2021-06,-3.8555768555743337,-18.297355828968193
2021-07,-3.5517978045905867,-18.547138257670603
2021-08,-3.559529718949645,-17.96844069567093
2021-09,-4.793267329563795,-18.445785276687538
2021-10,-5.789279801103219,-18.611971069130778
2021-11,-4.928331581943894,-15.472821209184398
2021-12,-5.036763970114151,-18.19580393969927
2022-01,-4.932077486360552,-19.283986992121164
2022-02,-4.484492713024885,-19.16900162161104
2022-03,-2.807457240294131,-17.847808518917898
2022-04,-3.134787551152412,-18.54141652859554
2022-05,-3.518894669655383,-18.69883132193686
2022-06,-3.0383506000685423,-18.248131586034113
2022-07,-5.248122038594548,-19.09540955334841
2022-08,-5.360132932323275,-19.13037654409136
2022-09,-4.328956550447083,-18.841059503394597
2022-10,-5.973777255759604,-19.650202491986313
2022-11,-5.840009917329798,-19.613675514181896
2022-12,-6.626444496649419,-20.01365318938152
2023-01,-6.686581279561609,-20.156539702839293
2023-02,-6.536864683137677,-20.016454563988916
2023-03,-6.071906331448399,-19.44153292811191
2023-04,-4.726619976217895,-18.78641902853061
2023-05,-7.174904492574336,-19.735903972103618
2023-06,-7.244484321008714,-19.475182314330308
2023-07,-5.51984149924632,-18.63120769810732
2023-08,-7.238174256938158,-19.714259841654624
2023-09,-6.9778550210881525,-20.20854515313882
2023-10,-7.122318311487184,-20.633191299707452
2023-11,-7.188446487671677,-21.0790427732505
2023-12,-6.858974461674176,-20.713671608503738
2024-01,-6.973645261788884,-20.615860441413645
2024-02,-6.972752584270669,-20.53892090061943
2024-03,-6.470886592005531,-20.678172457230666
2024-04,-7.301837872592071,-20.708353013287425
2024-05,-6.74970907025921,-20.859640073566933
2024-06,-6.013409999937084,-19.617608620046635
2024-07,-5.134877174890932,-18.510560472500423
2024-08,-4.8667652465276685,-17.926699285638065
2024-09,-2.455276105396598,-16.202792784853475
2024-10,-4.238652609662642,-17.755436894111668
2024-11,-4.666927641029484,-18.2287610846921
2024-12,-4.931579229007822,-18.671934433456073
2025-01,-4.621499210217378,-18.869707153712977
2025-02,-4.555593470555305,-18.814357273766284
2025-03,-4.481645640847217,-18.652254223894722
2025-04,-5.176436904608305,-19.14685674706948
2025-05,-4.5416176001218105,-18.223532433251012
2025-06,-4.565090978035893,-18.351236295844387
2025-07,-4.136651202122468,-17.239648699187576
2025-08,-3.5712708328138154,-16.67503230594077
2025-09,-3.905422753333694,-17.65742806298085
2025-10,-3.992532951957852,-18.0543886273434
2025-11,-4.446995203722366,-18.5847918032757
2025-12,-4.723153159107284,-19.242029006711245
2026-01,-4.400523158978138,-19.47887140856136
2026-02,-4.138518881995915,-18.509470896951917
2026-03,-3.608020701841909,-18.182628979331973
2026-04,-4.121322334676443,-18.51367142302763
2026-05,-4.240775414731206,-18.557503193402177
2026-06,-5.3034854104747495,-18.775932807653856
2026-07,-5.430528433396182,-18.762104652980106
2026-08,-3.686117451742654,-17.401807411959066
2026-09,-4.253543315274783,-17.918798086971332
