rank,lat,lon,area_ha,early_db,late_db,rise_db
1,37.62284,105.24176,71.9,-13.9,-1.1,12.2
2,37.62428,105.25266,23.9,-16.8,-4.4,11.4
3,37.63045,105.19619,15.1,-3.9,4.0,7.5
4,37.6397,105.19808,9.9,-3.6,4.7,7.5
5,37.62894,105.26072,9.1,-15.5,-2.2,12.0
6,37.59712,105.23359,7.2,-8.5,0.1,7.5
7,37.59233,105.23299,6.5,-12.7,-1.4,10.6
8,37.61757,105.24992,5.8,-15.7,-3.3,11.0
9,37.64737,105.20231,5.5,-13.7,-2.7,9.8
10,37.58444,105.20724,4.2,-12.4,-2.1,7.9
11,37.62683,105.2373,4.2,-9.0,-0.4,7.7
12,37.62249,105.2052,3.9,-13.3,-2.1,9.5
13,37.60274,105.21605,3.5,-12.9,-4.5,7.5
14,37.6167,105.24067,3.4,-13.9,-2.5,9.9
15,37.60883,105.23111,3.3,-14.5,-3.8,9.6
16,37.62234,105.20041,3.1,-9.3,-1.3,7.1
17,37.61037,105.23423,3.1,-12.1,-3.6,7.1
18,37.64043,105.20786,3.1,-13.3,-3.0,9.9
19,37.6092,105.22779,2.9,-12.0,0.7,11.0
20,37.6311,105.24523,2.8,-11.2,-2.0,8.1
21,37.63251,105.25017,2.6,-16.5,-3.1,11.1
22,37.61819,105.17071,2.6,-10.3,-2.7,6.6
23,37.62605,105.22459,2.6,-14.7,-4.9,8.2
24,37.62836,105.25849,2.6,-14.7,-4.7,8.7
25,37.61011,105.24086,2.3,-12.0,-0.4,10.2
26,37.63165,105.2484,2.3,-15.5,-2.1,12.0
27,37.64018,105.22874,2.2,-7.8,-0.3,6.6
28,37.59021,105.20585,2.2,-7.7,0.0,6.0
29,37.61846,105.23459,2.2,-14.3,-3.1,9.4
30,37.63217,105.2041,2.2,-6.0,2.4,6.6
31,37.62601,105.2072,2.1,-15.3,-0.9,13.0
32,37.61716,105.2361,2.0,-12.4,-1.3,10.1
33,37.63242,105.25595,2.0,-16.9,-4.6,10.0
34,37.61309,105.17194,1.9,-12.3,-2.5,8.3
35,37.65085,105.19513,1.9,-12.6,-3.0,7.9
36,37.57289,105.21104,1.7,-8.9,2.2,9.9
37,37.59577,105.2322,1.7,-14.2,-1.8,11.1
38,37.59909,105.23738,1.5,-10.3,-1.6,6.7
39,37.60605,105.22333,1.5,-15.5,-4.0,10.0
40,37.59232,105.20638,1.5,-9.7,-1.3,7.3
41,37.60512,105.22942,1.4,-13.3,-2.7,8.7
42,37.59332,105.24838,1.3,-8.9,-0.3,6.3
43,37.60966,105.24296,1.2,-10.3,-3.4,5.7
44,37.54941,105.16564,1.2,-12.5,-5.4,6.2
45,37.6042,105.23371,1.2,-10.2,-0.1,8.5
46,37.60621,105.23846,1.2,-10.0,-2.0,6.3
47,37.61094,105.20177,1.2,-13.0,-0.5,11.0
48,37.62747,105.24364,1.2,-13.1,-2.9,8.2
49,37.63062,105.25201,1.2,-16.5,-3.0,12.0
50,37.61983,105.25468,1.2,-14.4,2.2,14.1
51,37.6053,105.23714,1.1,-11.2,0.4,9.3
52,37.60286,105.22568,1.1,-17.9,-4.9,11.5
53,37.63693,105.23789,1.1,-6.1,7.5,11.7
54,37.60471,105.25128,1.0,-8.8,-1.0,6.6
55,37.63674,105.21445,1.0,-14.9,-0.3,12.4
56,37.58935,105.24937,1.0,-9.4,-3.2,5.9
57,37.6289,105.20125,1.0,-6.3,1.2,5.7
58,37.64242,105.2289,1.0,-11.0,-1.4,8.0
59,37.64449,105.19706,1.0,-14.9,-5.3,8.6
60,37.64915,105.19057,1.0,-4.7,4.3,7.4
