rank,lat,lon,area_ha,early_db,late_db,rise_db
1,24.74727,113.64746,5.6,-11.5,-3.6,7.4
2,24.80575,113.6308,5.0,-11.2,-3.7,6.7
3,24.79627,113.63716,4.7,-11.5,-1.5,9.5
4,24.75615,113.65205,4.5,-10.8,-2.9,6.8
5,24.75383,113.65413,4.4,-9.0,-0.6,7.7
6,24.75024,113.6468,3.6,-10.7,-2.6,7.4
7,24.83019,113.59942,3.4,-7.5,0.0,6.8
8,24.75113,113.65639,3.4,-9.4,-0.3,8.3
9,24.79868,113.58548,3.4,-5.3,3.8,7.7
10,24.79235,113.63784,3.3,-11.9,-1.6,9.4
11,24.83594,113.63086,3.0,-8.8,-1.6,6.5
12,24.75022,113.64903,2.1,-10.1,-3.4,6.2
13,24.78838,113.61989,2.0,-10.7,-3.1,7.0
14,24.78863,113.61792,1.9,-10.5,-4.0,6.0
15,24.79221,113.61893,1.7,-9.9,-4.1,5.0
16,24.79,113.62073,1.5,-7.5,-1.9,5.3
17,24.75436,113.64872,1.4,-10.8,-0.1,9.4
18,24.83964,113.57608,1.4,-9.8,-2.5,7.5
19,24.79922,113.62458,1.3,-9.8,-1.8,6.9
20,24.74918,113.60004,1.2,-9.2,-2.6,5.9
21,24.81505,113.62724,1.2,-9.8,1.0,8.7
22,24.81399,113.58502,1.2,-5.0,2.2,6.9
23,24.75985,113.60051,1.1,-8.5,-3.0,5.2
24,24.82073,113.57723,1.1,-10.2,-3.2,6.4
