rank,lat,lon,area_ha,early_db,late_db,rise_db
1,41.18219,114.70023,17.4,-11.8,0.4,11.7
2,41.18937,114.69506,16.8,-12.4,-0.2,11.4
3,41.1808,114.7477,10.6,-12.0,2.6,13.7
4,41.18392,114.73593,9.4,-11.1,-0.4,10.3
5,41.21981,114.73234,8.0,-12.9,-5.0,7.7
6,41.16212,114.71776,6.6,-8.7,-2.0,5.8
7,41.16319,114.72723,5.0,-10.8,-3.9,6.5
8,41.17934,114.72524,4.8,-12.1,-3.5,7.4
9,41.20333,114.78405,4.8,-12.6,-6.6,5.6
10,41.18236,114.7077,4.7,-11.6,-1.3,9.5
11,41.16203,114.72296,3.8,-8.7,-1.7,6.2
12,41.16915,114.75194,3.3,-13.0,-0.9,10.6
13,41.18106,114.73197,3.3,-11.3,-1.1,9.0
14,41.186,114.70521,3.0,-9.3,0.1,8.5
15,41.16895,114.75439,3.0,-9.1,0.4,7.9
16,41.21427,114.8001,2.9,-14.1,-6.9,6.8
17,41.17793,114.7003,2.8,-10.6,-1.4,8.1
18,41.21176,114.75197,2.7,-13.5,-6.8,6.2
19,41.17854,114.73883,2.7,-12.8,-4.2,7.7
20,41.16887,114.75806,2.6,-14.0,-3.0,9.4
21,41.19015,114.67865,2.6,-13.1,-3.8,8.7
22,41.14778,114.75293,2.4,-8.1,0.3,7.5
23,41.17869,114.74592,2.4,-12.2,-4.3,6.6
24,41.20934,114.7049,2.4,-14.5,-2.6,10.7
25,41.21043,114.75224,2.2,-13.3,-6.7,6.0
26,41.22359,114.66298,2.2,-12.0,-6.6,4.9
27,41.20677,114.72056,2.1,-12.1,-1.6,8.7
28,41.18256,114.72746,2.1,-6.5,1.3,6.9
29,41.15603,114.7745,2.0,-11.9,-5.8,4.9
30,41.15806,114.71528,1.9,-4.7,2.4,5.6
31,41.25114,114.80033,1.9,-10.0,-1.0,7.2
32,41.16279,114.72968,1.8,-8.2,-1.8,5.9
33,41.18091,114.72914,1.8,-10.0,-2.0,6.7
34,41.17024,114.75783,1.8,-16.2,0.1,14.3
35,41.16467,114.7227,1.8,-10.7,-4.0,5.9
36,41.18802,114.74697,1.7,-12.2,-0.8,10.2
37,41.21143,114.76149,1.6,-12.0,-2.8,8.2
38,41.19451,114.71056,1.6,-8.3,-1.4,6.0
39,41.19523,114.72361,1.6,-10.1,-0.1,8.7
40,41.22529,114.66315,1.6,-12.3,-6.1,5.4
41,41.16029,114.73054,1.5,-6.8,0.4,6.5
42,41.16531,114.67778,1.5,-10.2,-1.1,7.7
43,41.17281,114.72138,1.5,-12.3,0.3,11.2
44,41.18475,114.68836,1.5,-10.9,-3.9,6.2
45,41.18059,114.80079,1.5,-16.2,-1.1,14.1
46,41.18113,114.75449,1.4,-12.1,-3.1,7.8
47,41.16293,114.72521,1.4,-8.8,-1.2,6.2
48,41.16689,114.70141,1.4,-13.0,-4.0,7.4
49,41.19739,114.72403,1.4,-11.0,4.0,12.0
50,41.21243,114.76298,1.4,-12.3,-4.0,7.4
51,41.18447,114.70689,1.4,-13.8,-5.4,7.1
52,41.21403,114.69649,1.4,-10.7,-0.3,8.0
53,41.16715,114.77975,1.2,-10.0,-1.1,7.0
54,41.16882,114.78455,1.2,-11.8,-6.8,4.6
55,41.18337,114.69286,1.2,-12.2,-3.6,6.9
56,41.18412,114.72955,1.2,-8.1,0.9,7.6
57,41.16669,114.70314,1.2,-11.0,-2.2,7.7
58,41.17189,114.77833,1.2,-11.3,-2.5,7.1
59,41.18579,114.71641,1.2,-9.5,-2.9,5.6
60,41.17649,114.75556,1.1,-14.9,-4.8,8.8
61,41.16801,114.77365,1.1,-10.5,-3.1,6.1
62,41.18311,114.74739,1.0,-10.7,1.3,10.3
63,41.24682,114.679,1.0,-10.6,-5.0,4.8
