name,d,VV,VH
cn_horinger_r15,2018-01-01,-12.891857523466223,-23.659470566114226
cn_horinger_r27,2018-01-01,-17.20728734040749,-27.84520890722319
cn_horinger_r16,2018-01-01,-17.237370285581395,-24.55473256918193
cn_horinger_r13,2018-01-01,-14.47279608784015,-23.804637436843514
cn_horinger_r03,2018-01-01,-18.61494369486385,-29.471641258998527
cn_horinger_r04,2018-01-01,-14.386539640287198,-22.711523070149223
cn_horinger_r26,2018-01-01,-15.580400834975018,-24.3790619478791
cn_horinger_r24,2018-01-01,-18.3392602520951,-28.605384434776425
cn_horinger_r02,2018-01-01,-18.069640206619827,-29.024711044036792
cn_horinger_r19,2018-01-01,-15.254061200182509,-23.446133062575463
cn_horinger_r21,2018-01-01,-17.45433478063009,-28.305689001271137
cn_horinger_r20,2018-01-01,-14.438308567226011,-25.067243739189564
cn_horinger_r17,2018-01-01,-14.420851816447064,-25.57721524963811
cn_horinger_r06,2018-01-01,-15.471685821534752,-25.868029235052624
cn_horinger_r23,2018-01-01,-16.86636301750332,-25.764484532653583
cn_horinger_r14,2018-01-01,-15.930375836816419,-26.058971108602346
cn_horinger_r18,2018-01-01,-14.868776503376628,-25.606617945311516
cn_horinger_r05,2018-01-01,-17.18858124669301,-28.367794116206582
cn_horinger_r08,2018-01-01,-17.066153852064836,-26.79341514533806
cn_horinger_r22,2018-01-01,-15.647925770157444,-25.697319380556674
cn_horinger_r11,2018-01-01,-14.055061277333452,-23.690482835378567
cn_horinger_r12,2018-01-01,-15.498390359444993,-27.719481459699136
cn_horinger_r25,2018-01-01,-14.79954690448383,-24.74555428171523
cn_horinger_r15,2018-01-13,-12.968656153607359,-23.328312337881442
cn_horinger_r27,2018-01-13,-17.740642082824635,-26.331527698844685
cn_horinger_r16,2018-01-13,-16.643675157034775,-23.84816528182612
cn_horinger_r13,2018-01-13,-14.480255314600605,-23.675544275228546
cn_horinger_r03,2018-01-13,-18.542419086595846,-29.72379010834491
cn_horinger_r04,2018-01-13,-14.213066324710526,-22.572361342829396
cn_horinger_r26,2018-01-13,-15.76983956483447,-24.44915681434949
