ym,VV:long_halls,VV:white_block,VH:long_halls,VH:white_block
2022-12,-12.892310579826763,-7.795571518486549,-23.35597334441562,-18.503333469847682
2023-01,-12.792079337687362,-7.587921017868954,-23.170561628131775,-18.261102153087386
2023-02,-12.553643761115891,-7.2573199528617405,-23.00956517140755,-18.33293678091953
2023-03,-12.426146818404211,-7.155953178127178,-22.85673511995716,-18.145312726829903
2023-04,-12.289373030280245,-7.092045787440753,-22.962976445072705,-18.31395162606998
2023-05,-11.378503366221894,-6.82023871861671,-22.266685554590964,-17.560586119534037
2023-06,-12.229510477832402,-7.0094438602929525,-22.214990018635753,-18.14651228881778
2023-07,-12.111369145582227,-6.573824346390294,-21.364477373174264,-17.442743260287823
2023-08,-11.387113200032559,-6.890040902168641,-20.2479151146561,-17.19454030731214
2023-09,-11.007559968191034,-6.61737298792782,-19.7304792500283,-16.970442022324075
2023-10,-12.274818503139347,-7.06997052491209,-23.640309809635763,-18.12528203496651
2023-11,-12.567497360858077,-7.394613451216331,-23.58761512796809,-18.59570533960286
2023-12,-12.888482443678209,-7.190586008403252,-24.312392192208495,-17.990590470983634
2024-01,-12.866158312744481,-7.083071746449338,-24.434039049436947,-18.240423015902074
2024-02,-12.718354739461194,-7.36199993188556,-24.243571878347556,-18.550532618437813
2024-03,-12.194129655025668,-6.832184328499749,-23.42127470305958,-18.033743738974643
2024-04,-12.249194480663668,-6.952156193752811,-23.000374835017883,-18.125737972869224
2024-05,-11.158882471127466,-6.710141181343364,-22.42834298973277,-18.084897124247767
2024-06,-11.117911714766507,-6.026100242446939,-22.348722764620796,-17.290249301975294
2024-07,-11.969414510886615,-6.50802192447858,-21.346895788811636,-17.219684758913875
2024-08,-10.43209785555897,-6.493381431570648,-19.848039807411304,-17.031022689273094
2024-09,-8.40247726792759,-6.593978580678504,-18.15274061321663,-16.812447649948226
2024-10,-7.980982933287372,-6.690561779067628,-18.042670934844555,-18.112177057248147
2024-11,-7.871101517657488,-7.298089336439399,-17.324302647483115,-19.00563382964291
2024-12,-8.412154341203378,-7.583173247744152,-17.698808136600057,-18.387780006277247
2025-01,-8.1079032740532,-7.958215480468495,-17.216813379623016,-18.84763848575736
2025-02,-7.913990895396347,-7.778126637828583,-17.291164513088162,-18.97894771595376
2025-03,-7.569917924049473,-6.847451651308542,-17.107402001205205,-18.056579556398937
2025-04,-7.839322514986784,-7.023071551251284,-16.564079528871844,-18.394797861256247
2025-05,-8.105840927495382,-6.437629854958921,-16.53254894452035,-17.637662893237806
2025-06,-7.507719353841404,-6.845717831606768,-14.737561601300694,-17.25371505025354
2025-07,-6.320030397276918,-6.677319375636683,-12.555823558832946,-17.140613268166245
2025-08,-8.22036136850006,-5.7577732045684,-15.022492254508352,-16.669511889049662
2025-09,-8.50853228508281,-6.649285436813201,-16.35000586434738,-17.0602996635277
2025-10,-7.943646551426014,-5.937741585173281,-15.580125385026724,-16.203482689006968
2025-11,-8.512604657719681,-7.324094782010121,-17.044175057118427,-17.943098552032488
2025-12,-9.131978917700149,-7.740256754867994,-17.11232962014602,-18.08568380689619
2026-01,-8.688913559110187,-7.713789674887135,-16.96974552969514,-18.20081110054338
2026-02,-8.57858636005445,-7.487093194254514,-16.792804573838218,-18.145609513474575
2026-03,-8.449914270758914,-7.027558967175095,-16.78222193510421,-17.762420698702183
2026-04,-8.802575116203066,-6.606659881277316,-16.996888845717145,-17.728517316871773
2026-05,-8.833278864741773,-6.658752438479355,-17.14983350079465,-17.72774062268089
2026-08,-9.00317841317573,-6.120542666175425,-16.431815410035863,-16.22557087653799
2026-09,-9.375033730932277,-7.027572958701299,-16.87879040952245,-17.317878131057626
