ym,VV:long_halls,VV:white_block,VH:long_halls,VH:white_block
2018-01,-14.315202220855582,-10.289987349247,-24.283682603151576,-20.173324935258606
2018-02,-14.336273201918052,-10.758593318870618,-24.120930381032732,-20.344629755043645
2018-03,-14.37009549192501,-10.740181544890287,-25.03072090952061,-20.84498687794661
2018-04,-14.252741032644806,-10.652884507047755,-25.138629136050213,-21.11509904744591
2018-05,-13.978755967879552,-10.984676803653699,-24.751066406183252,-20.989343002013225
2018-06,-14.086574260522134,-12.149812167184841,-25.054480303214863,-21.7044861488912
2018-07,-10.845110941289441,-10.298662661495644,-21.516024108786308,-19.88910759652493
2018-08,-12.837067850645065,-11.237564628469176,-22.724408330565424,-20.98186904614899
2018-09,-13.673553062841949,-11.142672786274124,-24.454684209623775,-21.32483434805521
2018-10,-14.701422539235676,-10.16182645960582,-27.031443824327443,-19.577129565024908
2018-11,-14.388705518688047,-8.344956301728043,-27.05935206634264,-17.804394822400205
2018-12,-14.384364584305267,-7.7483231105408645,-27.022061279580804,-16.99965362737658
2019-01,-14.4531044531218,-7.444095888058961,-26.89911431684303,-18.06850382260007
2019-02,-14.177770914157676,-7.401418339693418,-27.390025008279604,-18.182627328749525
2019-03,-14.360210201167673,-6.985634875068868,-26.76058028228902,-17.973381999098713
2019-04,-13.577688146525734,-6.763264844228132,-26.027970828363053,-17.949989314518668
2019-05,-14.38866784602109,-7.010658634923148,-26.42471434460504,-18.233390464322444
2019-06,-14.100706179736877,-6.94436568523253,-26.09352484212649,-18.21834690266374
2019-07,-14.094672370186379,-7.302838328679024,-25.17946126812402,-18.27311145307412
2019-08,-13.866261619169702,-6.952500764430352,-24.364655305724924,-18.06031317046205
2019-09,-11.334227084157703,-6.23948879379093,-21.373450180799896,-17.250537522715184
2019-10,-14.59889879244577,-7.223250195094782,-26.670577837492996,-18.836764199450457
2019-11,-14.71531226604073,-7.238861353271186,-26.88403682086018,-18.802212509169053
2019-12,-14.684148008971462,-7.416925007764541,-27.338556028149124,-19.19915599812781
2020-01,-14.74274719119939,-7.7269532408204755,-26.837295947783378,-19.175944211043202
2020-02,-14.619896740946846,-7.699719374198438,-25.07833027037717,-18.824292315854137
2020-03,-14.381973583402225,-7.41557008105091,-24.845748455643644,-18.512048481426277
2020-04,-14.285063576023028,-7.114625923806407,-24.49324848247809,-18.389482882369574
2020-05,-14.585540432569399,-6.469407333918143,-24.462451080302248,-17.53528439080982
2020-06,-14.478659703279739,-6.425687527861335,-24.21508641616289,-17.762606708816584
2020-07,-13.330426326690016,-6.143090964352889,-22.835245177791734,-17.374465792611726
2020-08,-11.555807382313965,-5.935894648931121,-21.44959674971504,-17.077810864444377
2020-09,-13.876129622568456,-6.465442038324454,-23.223046709233092,-18.07645383011777
2020-10,-14.353707315236841,-6.790243567067238,-24.685712816880113,-18.74969588077895
2020-11,-14.147092066902355,-6.859795076951585,-24.774090039748927,-18.354764557995953
2020-12,-13.904277679841702,-7.887409016545797,-24.368141369089678,-18.61255824817298
2021-01,-14.64179136620192,-8.008311356975442,-24.42430214017865,-18.890856014269243
2021-02,-14.37211119393687,-7.837576091333906,-24.71422190520878,-19.053868625347768
2021-03,-14.41096748681164,-7.345079398269443,-24.539535525312306,-18.356754248384608
2021-04,-14.154373833698923,-6.976846546027983,-24.384549054035404,-18.22844659872228
2021-05,-13.744855329802103,-7.009562453882004,-23.95081690922225,-17.989905032678777
2021-06,-14.117364831184037,-6.944407088307511,-23.680043867903336,-17.709618621073098
2021-07,-13.10588790282886,-6.688919885340847,-23.23686639544512,-17.329718411531665
2021-08,-11.522374529497018,-5.80428436448768,-21.867193409005786,-16.336972739720693
2021-09,-13.68221435784549,-6.727655967708913,-23.29944361915324,-17.58088422703027
2021-10,-14.462973449567581,-6.8778000256968586,-24.21083422061923,-18.175287272604063
2021-11,-13.934556061225164,-7.171869484376147,-24.400663406801606,-17.92202050361486
2021-12,-14.547398589565917,-7.751373193849418,-24.540307308879807,-18.438139162458565
2022-01,-13.122153447386776,-7.960489825940121,-23.65794526979975,-18.640415240141337
2022-02,-13.39334141022279,-7.816221177694753,-23.487757788676454,-18.711421915994862
2022-03,-11.9792462766085,-6.729298001491684,-22.400139678391433,-17.61807480881371
2022-04,-12.799454243278197,-7.092241399122031,-22.893676517938125,-17.972241936178108
2022-05,-12.327409138923464,-6.5863128994807605,-22.419881311233453,-17.99841399182944
2022-06,-12.004824624202335,-6.924197876326523,-22.48637598905323,-17.6928310958419
2022-07,-10.66056162004602,-6.0990966082391544,-21.277551045640564,-17.027665869557055
2022-08,-11.740626312159465,-7.145978921971465,-22.180051605382346,-17.741871881176536
2022-09,-11.968215246276566,-6.994509407184147,-21.51934641357451,-17.285253109512354
2022-10,-12.563471390630784,-7.65666039342028,-22.785333077919855,-18.314027426446795
2022-11,-12.170412650768338,-7.48699865315396,-22.95004631137689,-18.435638469001923
