site_id,product_id,datetime_utc,ptype,reason,n_valid_bg,n_total_bg,polygon,n_valid_poly,n_total_poly
colossus_memphis,ECOv002_L2T_LSTE_29300_007_16SBD_20230906T040645_0710_01,2023-09-06T04:06:45+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29300_007_16SBD_20230906T040645_0712_02,2023-09-06T04:06:45+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29300_007_15SYU_20230906T040645_0712_02,2023-09-06T04:06:45+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29361_008_16SBD_20230910T023055_0712_02,2023-09-10T02:30:55+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29361_008_15SYU_20230910T023055_0712_02,2023-09-10T02:30:55+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29361_008_15SYU_20230910T023055_0710_01,2023-09-10T02:30:55+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29361_008_16SBD_20230910T023055_0710_01,2023-09-10T02:30:55+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29407_004_15SYU_20230913T014418_0710_01,2023-09-13T01:44:18+00:00,all,background_too_cloudy,400.0,1943.0,,,
colossus_memphis,ECOv002_L2T_LSTE_29407_004_15SYU_20230913T014418_0712_02,2023-09-13T01:44:18+00:00,all,background_too_cloudy,439.0,1943.0,,,
colossus_memphis,ECOv002_L2T_LSTE_29407_004_16SBD_20230913T014418_0712_02,2023-09-13T01:44:18+00:00,all,background_too_cloudy,442.0,1934.0,,,
colossus_memphis,ECOv002_L2T_LSTE_29407_004_16SBD_20230913T014418_0710_01,2023-09-13T01:44:18+00:00,all,background_too_cloudy,398.0,1934.0,,,
colossus_memphis,ECOv002_L2T_LSTE_29442_007_16SBD_20230915T081759_0710_01,2023-09-15T08:17:59+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29442_007_16SBD_20230915T081759_0712_02,2023-09-15T08:17:59+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29442_007_15SYU_20230915T081759_0710_01,2023-09-15T08:17:59+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29442_007_15SYU_20230915T081759_0712_02,2023-09-15T08:17:59+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29483_006_16SBD_20230917T232245_0710_01,2023-09-17T23:22:45+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29483_006_16SBD_20230917T232245_0712_02,2023-09-17T23:22:45+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29544_006_16SBD_20230921T214808_0710_01,2023-09-21T21:48:08+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29544_006_16SBD_20230921T214808_0712_02,2023-09-21T21:48:08+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29590_005_15SYU_20230924T210056_0710_01,2023-09-24T21:00:56+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29590_005_16SBD_20230924T210056_0712_02,2023-09-24T21:00:56+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29590_005_15SYU_20230924T210056_0712_02,2023-09-24T21:00:56+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29590_005_16SBD_20230924T210056_0710_01,2023-09-24T21:00:56+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29869_007_16SBD_20231012T210803_0712_02,2023-10-12T21:08:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29869_007_15SYU_20231012T210803_0711_01,2023-10-12T21:08:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29869_007_15SYU_20231012T210803_0712_02,2023-10-12T21:08:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29869_007_15SYU_20231012T210803_0712_03,2023-10-12T21:08:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29869_007_16SBD_20231012T210803_0712_03,2023-10-12T21:08:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29869_007_16SBD_20231012T210803_0711_01,2023-10-12T21:08:03+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29915_005_15SYU_20231015T201852_0712_02,2023-10-15T20:18:52+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29915_005_15SYU_20231015T201852_0712_03,2023-10-15T20:18:52+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29915_005_15SYU_20231015T201852_0711_01,2023-10-15T20:18:52+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29956_007_15SYU_20231018T112153_0712_02,2023-10-18T11:21:53+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29956_007_15SYU_20231018T112153_0711_01,2023-10-18T11:21:53+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29956_007_16SBD_20231018T112153_0712_02,2023-10-18T11:21:53+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29956_007_16SBD_20231018T112153_0711_01,2023-10-18T11:21:53+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29976_003_16SBD_20231019T184129_0711_01,2023-10-19T18:41:29+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29976_003_15SYU_20231019T184129_0711_01,2023-10-19T18:41:29+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_29976_003_15SYU_20231019T184129_0712_02,2023-10-19T18:41:29+00:00,all,no_valid_lst_in_window,,,,,
