site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
colossus_memphis,LC09_L2SP_023036_20220108_20230502_02_T1,2022-01-08T16:37:20+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220108_20230502_02_T1,2022-01-08T16:37:20+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC08_L2SP_023036_20220116_20220123_02_T1,2022-01-16T16:37:18+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC08_L2SP_023036_20220116_20220123_02_T1,2022-01-16T16:37:18+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220124_20230430_02_T1,2022-01-24T16:37:21+00:00,hall,polygon_too_cloudy,electrolux_hall,11.0,145.0,10459,10412
colossus_memphis,LC09_L2SP_023036_20220430_20230418_02_T1,2022-04-30T16:36:49+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220430_20230418_02_T1,2022-04-30T16:36:49+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC08_L2SP_023036_20220508_20220518_02_T1,2022-05-08T16:36:57+00:00,cooling,polygon_too_cloudy,east_yard,16.0,48.0,6615,10412
colossus_memphis,LC09_L2SP_023036_20220516_20230416_02_T1,2022-05-16T16:36:39+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220516_20230416_02_T1,2022-05-16T16:36:39+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220601_20230414_02_T1,2022-06-01T16:36:36+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220601_20230414_02_T1,2022-06-01T16:36:36+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220617_20230411_02_T1,2022-06-17T16:36:44+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220617_20230411_02_T1,2022-06-17T16:36:44+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220719_20230406_02_T1,2022-07-19T16:36:58+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220719_20230406_02_T1,2022-07-19T16:36:58+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC08_L2SP_023036_20220727_20220801_02_T1,2022-07-27T16:37:28+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC08_L2SP_023036_20220727_20220801_02_T1,2022-07-27T16:37:28+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC09_L2SP_023036_20220905_20230330_02_T1,2022-09-05T16:37:18+00:00,cooling,polygon_too_cloudy,east_yard,22.0,48.0,5549,10412
colossus_memphis,LC08_L2SP_023036_20221015_20221021_02_T1,2022-10-15T16:37:36+00:00,cooling,background_too_cloudy,,,,0,10412
colossus_memphis,LC08_L2SP_023036_20221015_20221021_02_T1,2022-10-15T16:37:36+00:00,hall,background_too_cloudy,,,,0,10412
colossus_memphis,LC08_L2SP_023036_20221031_20221108_02_T1,2022-10-31T16:37:44+00:00,cooling,background_too_cloudy,,,,0,10412
