plant,eis_facility_id,site_name,facility_type,naics_code,county,state,latitude,longitude,nox_short_tons,distance_km,role
fort_myers_gas,4327211,CHARLOTTE COUNTY DEPT OF PUBLIC WORKS,Landfill,562219,Charlotte,FL,26.795556,-81.960556,6.94,20.77,neighbour
fort_myers_gas,12790111,COMMUNITY ASPHALT CORPORATION,Hot Mix Asphalt Plant,324121,Lee,FL,26.498011,-81.82881,2.63,22.56,neighbour
fort_myers_gas,12777611,LEE COUNTY BOARD OF COUNTY COMMISSIONERS,Landfill,562219,Hendry,FL,26.572167,-81.525583,0.02,29.1,neighbour
independence_ar,1083411,ENTERGY ARKANSAS LLC-INDEPENDENCE PLANT,Electricity Generation via Combustion,221112,Independence,AR,35.6795,-91.4102,2996.53,0.18,own
independence_ar,1082811,FUTUREFUEL CHEMICAL COMPANY,Chemical Plant,325199,Independence,AR,35.7192,-91.5256,295.95,11.48,neighbour
independence_ar,17868911,NEWPORT,Rail Yard,488210,Jackson,AR,35.609045,-91.280945,13.13,13.89,neighbour
independence_ar,660311,Granges Americas,,331315,Jackson,AR,35.647945,-91.252704,3.63,14.5,neighbour
independence_ar,1083611,ARKANSAS STEEL ASSOCIATES,Steel Mill,331221,Jackson,AR,35.648518,-91.244662,39.15,15.19,neighbour
independence_ar,1101511,TUCKERMAN COMPRESSOR STATION,Compressor Station,486210,Jackson,AR,35.715,-91.220834,73.19,17.45,neighbour
independence_ar,10503511,Newport Muni,Airport,488119,Jackson,AR,35.63772,-91.17638,0.92,21.48,neighbour
independence_ar,10503911,Batesville Regional,Airport,488119,Independence,AR,35.72611,-91.64736,0.77,22.19,neighbour
limestone,5650511,LIMESTONE ELECTRIC GENERATION STATION,Electricity Generation via Combustion,221112,Limestone,TX,31.423182,-96.251658,5028.38,0.16,own
limestone,13388011,FARRAR TREATING PLANT,,2111,Limestone,TX,31.442808,-96.261714,26.52,2.48,neighbour
limestone,15628411,BLALOCK COMPRESSOR STATION,Compressor Station,211130,Limestone,TX,31.413489,-96.295604,16.57,4.2,neighbour
limestone,4930611,NUCOR STEEL,Steel Mill,331221,Leon,TX,31.354802,-96.165199,195.72,11.15,neighbour
limestone,16920811,Newby,Rail Yard,488210,Leon,TX,31.349208,-96.169407,0.26,11.29,neighbour
limestone,9136811,ROTHERMEL COMPRESSOR,Compressor Station,486210,Limestone,TX,31.459079,-96.438452,102.83,18.12,neighbour
limestone,16929011,Teague,Rail Yard,488210,Freestone,TX,31.63,-96.287795,24.36,23.38,neighbour
limestone,11628311,TEAGUE MUNI,Airport,488119,Freestone,TX,31.6613,-96.31,0.1,27.17,neighbour
limestone,3052411,DOWDY RANCH CENTRAL GATHERING FACILITY,Oil or Gas Facility (On-shore),2111,Freestone,TX,31.611667,-96.043611,50.27,28.94,neighbour
martin_lake,4207311,MARTIN LAKE ELECTRICAL STATION,Electricity Generation via Combustion,221112,Rusk,TX,32.259653,-94.570331,10109.41,0.11,own
martin_lake,16910511,Dirgin,Rail Yard,488210,Rusk,TX,32.260767,-94.566016,0.26,0.43,neighbour
