site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
lulea,LC08_L1TP_191014_20160804_20170322_01_T1,2016-08-04T09:46:38.245128+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20160811_20170322_01_T1,2016-08-11T09:52:49.407254+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20160903_20170321_01_T1,2016-09-03T09:59:10.206541+00:00,all,background_too_cloudy,,,,398.0,8861.0
lulea,LC08_L1TP_191014_20160905_20180527_01_T1,2016-09-05T09:46:49.080165+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_194014_20160926_20170319_01_T1,2016-09-26T10:05:23.140147+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20161007_20170320_01_T1,2016-10-07T09:46:53.953348+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20161106_20170318_01_T1,2016-11-06T09:59:18.684918+00:00,all,background_too_cloudy,,,,1895.0,8861.0
lulea,LC08_L1TP_191014_20161108_20170318_01_T1,2016-11-08T09:46:56.677813+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20170316_20170328_01_T1,2017-03-16T09:46:19.547412+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20170323_20170329_01_T1,2017-03-23T09:52:25.434415+00:00,all,background_too_cloudy,,,,581.0,8861.0
lulea,LC08_L1TP_192014_20170526_20170615_01_T1,2017-05-26T09:52:20.704749900+00:00,all,background_too_cloudy,,,,918.0,8861.0
lulea,LC08_L1TP_191014_20170604_20170615_01_T1,2017-06-04T09:46:14.560055+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20170620_20170630_01_T1,2017-06-20T09:46:20.762005+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20170805_20180523_01_T1,2017-08-05T09:58:57.946766+00:00,hall,polygon_too_cloudy,hall_north,17.0,61.0,5884.0,8861.0
lulea,LC08_L1TP_191014_20170807_20170813_01_T1,2017-08-07T09:46:37.058580+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_194014_20170812_20170824_01_T1,2017-08-12T10:05:11.217783+00:00,all,background_too_cloudy,,,,1.0,8861.0
lulea,LC08_L1TP_193014_20170906_20170917_01_T1,2017-09-06T09:59:05.046332+00:00,hall,polygon_too_cloudy,hall_north,0.0,61.0,4484.0,8861.0
