file,name,rank,area_ha,rise_db,lat,lon,A00_r,A01_r,A02_r,A03_r,A04_r,A05_r,A06_r,A07_r,A08_r,A09_r,A10_r,A11_r,A12_r,A13_r,A14_r,A15_r,A16_r,A17_r,A18_r,A19_r,A20_r,A21_r,A22_r,A23_r,A24_r,A25_r,A26_r,A27_r,A28_r,A29_r,A30_r,A31_r,A32_r,A33_r,A34_r,A35_r,A36_r,A37_r,A38_r,A39_r,A40_r,A41_r,A42_r,A43_r,A44_r,A45_r,A46_r,A47_r,A48_r,A49_r,A50_r,A51_r,A52_r,A53_r,A54_r,A55_r,A56_r,A57_r,A58_r,A59_r,A60_r,A61_r,A62_r,A63_r,A00_m,A01_m,A02_m,A03_m,A04_m,A05_m,A06_m,A07_m,A08_m,A09_m,A10_m,A11_m,A12_m,A13_m,A14_m,A15_m,A16_m,A17_m,A18_m,A19_m,A20_m,A21_m,A22_m,A23_m,A24_m,A25_m,A26_m,A27_m,A28_m,A29_m,A30_m,A31_m,A32_m,A33_m,A34_m,A35_m,A36_m,A37_m,A38_m,A39_m,A40_m,A41_m,A42_m,A43_m,A44_m,A45_m,A46_m,A47_m,A48_m,A49_m,A50_m,A51_m,A52_m,A53_m,A54_m,A55_m,A56_m,A57_m,A58_m,A59_m,A60_m,A61_m,A62_m,A63_m,bright,ndvi,bright_frac,label,group,score,score_cand,score_oof
results_s1/neg_intel_oh_candidates.geojson,cand22,22,2.3,10.1,40.12101,-82.70807,0.0297570110533409,-0.025709833494572,0.036262938843072,-0.1845650455409787,0.1084499901828586,-0.1015279842701663,0.0826836404872022,-0.1827997096009858,-0.2241070468853685,0.1459608752981117,0.043501865903235,-0.1246608247673043,-0.0953428361538339,-0.0973311096946357,-0.3404751336379344,-0.1457871332872932,0.0292394219339654,0.1386548044695987,-0.0462425938601975,-0.0081527870385785,-0.0347332241459141,-0.1761081539646646,-0.1278622759867304,-0.1720484503552285,-0.078715780629258,0.1987115096571955,-0.0922795285346704,-0.0167825784968868,0.036876703013944,-0.0604517054663056,0.0627732034731288,-0.0609342674438013,0.2058112687732632,-0.1243081894781236,-0.0526082998136205,-0.013974059169584,-0.0285937061150772,-0.1436303428741666,0.0831095853066495,0.0490040303066651,-0.0258500011588505,-0.0558254756958266,0.0065503291551,-0.1046861175648159,0.0914242556062895,0.1619352883711027,0.0768697480640502,0.0881063320608139,0.1879651234317392,-0.0556713981317606,-0.0046987932041558,0.159073503164493,-0.0311660526297888,0.0514754691043833,0.2126010087509066,-0.0376353059554667,-0.0201142149529514,0.102577471311832,0.1904785036922087,-0.1377139421967823,-0.0950712520704257,-0.2984276709988595,-0.1962449315679533,-0.0080374400133263,0.0264028976575464,-0.0490572677642856,0.0668909582877589,-0.1925261115570701,0.118926210066177,-0.0247433270886586,0.0361168004882242,-0.1877037473752403,-0.1728936389919974,0.0740040205332373,0.0685205655681481,-0.1605189713635394,-0.155083070652564,-0.0780657240557675,-0.3296231203511375,-0.1255254142324985,-0.0264849362458159,0.0665681838305281,-0.0308440218246092,-0.0319290050656609,-0.0354134672515421,-0.1945895699284919,-0.1404360408114463,-0.1915391341786751,-0.1152749834985545,0.209609234542419,-0.0294654209600774,-0.049756539597631,0.0174894554040795,-0.0493195296478466,0.0593735107667845,-0.0404767576850495,0.1774349374742168,-0.0827936619104566,-0.1068553998706938,0.0102069487594801,0.0057405364148723,-0.1430441878180242,0.0911593520032306,0.1059894045127015,-0.0018746689888865,0.0075843226414636,0.0478381647714435,-0.0993330738044778,0.0823622749184066,0.1144669392959191,0.1014185960476749,0.0423498281400844,0.1726716857539322,-0.1200103884602825,0.0165433028703079,0.1300340894590803,-0.0537502491583833,0.0369505022846388,0.2021788329682967,-0.0265585058770227,-0.0025342905245179,0.1121197837253073,0.1705918844498367,-0.0682954043860655,-0.0867173900765614,-0.2878596266158182,-0.1876526505650691,-0.0298731670153886,0.2323099415204677,0.0192453735670298,0.043859649122807,0.0,neg_intel_oh,,0.9923571494963843,0.9952581550611015
results_s1/pos_prometheus_candidates.geojson,cand56,56,1.0,6.0,40.07914,-82.69873,-0.0135945371953648,-0.0162630167366781,0.038949527402445,-0.2007458364866093,0.1041554589590361,-0.0822577095175103,0.045034203350255,-0.1290021470529647,-0.1494305084402313,0.0267082690417701,0.0024174240571957,-0.1276595037823833,-0.1229220510249318,-0.0376333116732568,-0.3949764574662357,-0.1124362495538297,-0.0392848987415675,0.1455558765995555,-0.0311286898483839,0.0648597152433646,-0.0046912101032192,-0.1562823295734846,-0.0655800954814112,-0.1433381212773042,-0.0681844068729038,0.1992408733696374,-0.0587270326700687,-0.0693837964612451,0.0962472949733333,-0.0980716970242639,-0.0222873136237569,-0.1233281856969,0.2011096259939027,-0.0653269656065178,-0.0609532998927127,-0.0377574425274653,-0.0325557278106743,-0.1791604208210877,0.1041009310599353,0.007555019897106,-0.0129925130229535,-0.0280944917641743,0.0540553346511073,-0.0689492288392239,0.0668844462866365,0.0918311362760334,0.1132674741978015,0.0616106083038546,0.2077433798763986,-0.0713750366871684,0.0308953110315076,0.1205388149971863,-0.0378953599502983,0.0235821177968485,0.2172842372215519,0.0174605930808258,0.0166836548985486,0.0904976750178295,0.1768373987897241,-0.130976023494816,-0.069808053720562,-0.2803122851189761,-0.1914082300191414,-0.0624420867034677,-0.0580355970042916,-0.0512643129554018,0.0529075116961243,-0.1717203405346188,0.0982937504799194,-0.0562207444036882,-0.0071840237889883,-0.0720236679744419,-0.0329360923731068,-0.1215927465481634,0.0513963766543097,-0.1533483407944519,-0.1276356333557734,-0.0071623906222753,-0.3227593762467427,-0.007958455612589,-0.1470979772714803,0.0540951631514605,-0.1021479729500835,0.1106325704534374,-0.0493865947397023,-0.0713323301778788,0.0080236708134772,-0.1084145918440629,-0.107482959406479,0.2106074199464822,-0.0198882693669798,-0.1103656277733736,0.1211144229111001,-0.1279789809166673,-0.1050775066957243,-0.1099813917605662,0.0886686569547701,-0.0008208398337265,-0.0885019401776477,0.0213464728628644,0.0112944439468739,-0.1481038619385313,0.0867013076434931,0.047946361676179,-0.0206783859154501,0.0299155413254815,0.111972697137414,-0.0578138460915381,0.0310408843737577,0.0669034918406792,0.1951346156399131,0.0157093288030606,0.1975192157294522,-0.1626226116728338,0.0634078961473713,0.0715496984715098,-0.0513098699173153,0.0652035161750578,0.1671905525296899,0.1139005901955592,0.0049609731480324,0.0845493206165841,0.0870954630571173,-0.086892245841372,-0.0773921586460148,-0.1990865699203203,-0.1574855081683535,-0.0222071031042028,0.2245878333333333,0.1101168980681024,0.14,,pos_prometheus,,0.9923007414356217,
results_s1/neg_intel_oh_candidates.geojson,cand17,17,2.8,6.4,40.11777,-82.70555,0.0270177122859379,-0.0042685337812733,0.0436943578699945,-0.2401319662419671,0.1321281061758287,-0.0467656481201878,0.0440625724724339,-0.1658593439919179,-0.2143925699575423,0.0978444984361192,0.0278446701998277,-0.1451624967794305,-0.134262364447498,-0.0725831100866853,-0.3474825701391565,-0.168712623616771,-0.0222480791245838,0.119003812353997,-0.0334954844306048,-0.0245637666611566,-0.0530729370886174,-0.188557771553652,-0.1357699351330354,-0.1818643356053547,-0.0757879106053008,0.2222659794887046,-0.0876950904822281,-0.0651793407043974,0.0679021193117509,-0.0464853937744582,0.0846919294759144,-0.036310343161111,0.1854219917264069,-0.082284166741313,-0.0255985549685423,0.0014679431357465,0.0134369160841937,-0.1356311869949631,0.0848838320175556,0.0635771928577079,-0.0323046755743695,-0.0528530770791181,0.0207639003167162,-0.0900395653700969,0.1138252042618331,0.1483635837543545,0.1032339240096421,0.0572312933776471,0.1788524226532321,-0.0751423967316875,0.0060393991471531,0.1422051468164151,-0.0298198986717247,0.0609608560358475,0.1892541594983023,-0.0346342691992887,0.0077460655183123,0.0767870508632973,0.197059065476141,-0.1320527788628442,-0.1050500561925897,-0.2953432666933239,-0.1792797682975291,-0.0131115919263669,0.0213346139557537,-0.0237063191117475,0.0420872201109004,-0.2287015864511215,0.1194617704518048,-0.0253742393950945,0.0360372646109629,-0.173959207724708,-0.2071131631572102,0.1035512312440638,0.0482934287598024,-0.1550905414799828,-0.1424383122173245,-0.0674831442078832,-0.34003691187231,-0.1477187174922309,-0.0301022746715841,0.0929972927373665,-0.037309965142615,-0.0354514132406434,-0.0507709044371312,-0.1972237853068894,-0.1443720381686582,-0.187715550008869,-0.0993764251368982,0.2216567772485957,-0.0700314013240098,-0.0393629146767667,0.0340153033019632,-0.0492326820741136,0.0691611856644809,-0.028168844284876,0.1825033706027619,-0.0769617883319889,-0.0682207931258668,0.0043549090989656,0.0114773549480455,-0.1514629704914879,0.0886312833659404,0.1033041707103972,-0.0008603820115477,-0.0120486971690013,0.043348044241024,-0.0941760249979581,0.0953919586777954,0.1300124999305779,0.1141236918638376,0.0378823777331375,0.1629477205138167,-0.1003504691980592,0.0124605470418313,0.1375578320829895,-0.0219060605937812,0.0411306625043597,0.1876363911808363,-0.0268333607188738,0.000763199321464,0.1075550799329555,0.1770765126290512,-0.0989302368966163,-0.0948901563350386,-0.3037332147126033,-0.1774731094754632,-0.0292898777902035,0.2085108091787439,0.0516738997001415,0.0,0.0,neg_intel_oh,,0.9905408813468893,0.9942325721376614
results_s1/pos_prometheus_candidates.geojson,cand42,42,1.5,10.0,40.07492,-82.7175,0.0066568708138651,0.0395663019214383,-0.0120633167855855,-0.1940245544285153,0.087554125104817,-0.015235603687291,0.0428294862560563,-0.1251086924519825,-0.0754894064479427,0.0498829511386262,0.0683048752229844,-0.1175761423680365,-0.1776084297551001,0.000421330075276,-0.3757801653937112,-0.0916067428284367,-0.1116379067474726,0.0106764226067882,0.0468210252606612,-0.043292682761578,-0.0477167150731098,-0.1802126902365824,-0.1396134062749878,-0.2138348731127864,-0.1290229191173238,0.1081977367785861,-0.0117601405616182,-0.0378808584330503,0.0644347348227415,-0.1358582119291856,0.039039671356037,-0.0377581146235501,0.2015659666056521,-0.0052581408008479,-0.1151768088605165,0.0616948106494421,0.0997610511620195,-0.1680194453591099,0.1215478137275229,0.0982987244819081,0.0888533025463674,0.0915956806103585,0.1600237332620817,-0.1110077200238835,0.0696304319894708,0.0840744736114976,0.1206856702761773,0.0507875572466706,0.1979066390677879,-0.0838123236805009,0.0303104750705278,0.1154292836622495,-0.0530423280129977,-0.0349557000049644,0.1736709354756093,0.0248654961164592,0.0136190514554515,0.0745699488809729,0.2095396331063855,-0.1570169878959871,-0.1245919735354294,-0.3399343411777767,-0.1593144824760545,-0.0985053194116921,-0.0280368658241127,0.0296912805574516,0.0138777029130311,-0.209265030706287,0.0980629170533464,0.0464386677511291,0.0582810075153411,-0.1179027022674291,0.00223906892852,-0.0464787054946242,0.024327118520318,-0.1266417159626589,-0.1650673829153192,0.0127306852129472,-0.3357129134027269,-0.132222387809111,-0.1794760648385991,0.0231780869467312,-0.0281450911533469,0.0001443097138322,-0.0574525625709256,-0.1311119917726269,-0.0917682787356621,-0.2050639762522385,-0.1226020783107818,0.1957522987596705,-0.0026667247480694,-0.0820919866014004,0.1389425484461632,-0.0959688025356041,-0.0065163821727859,-0.0270365055114412,0.1197890644248324,-0.0131224031527242,-0.123218963378298,0.094130447208145,0.1005297937928381,-0.2221063609441263,0.152286478062785,0.0545584525855586,0.0456286574294122,0.0521385472048906,0.161664090960644,-0.0892358006748809,0.0740734979290211,0.0420246975880549,0.1526247598817066,0.0219864960998904,0.1644724717734467,-0.144559406038111,0.0199052506303797,0.0653596710443308,-0.0121893056850619,0.0261899891778667,0.1525107089981909,0.0932150330054236,-0.0083495374307106,0.0608397100345366,0.1350624797239008,-0.1296037326382096,-0.1130876343540126,-0.2905141938799869,-0.1070693983054504,-0.0569646665792163,0.2967641447368421,0.039961055367771,0.3684210526315789,,pos_prometheus,,0.9900481688540763,
results_s1/pos_prometheus_candidates.geojson,cand22,22,2.6,6.2,40.07277,-82.75298,-0.0224549700607378,0.0679027957094565,0.05219593659497,-0.2107244773979227,0.1215829232051361,-0.0300171215480219,0.0264564703541513,-0.1294022615129078,-0.1203215851673311,0.0091834810949862,0.0168259135261492,-0.1889487894355443,-0.1456980068905387,-0.0484098255820355,-0.4394597027919056,-0.0943335414678589,-0.1368808302403835,0.0576749453078986,-0.140640689352637,-0.0045296011109132,-0.083191176759343,-0.082190997577308,-0.0974015444767619,-0.1438356447199859,-0.0846072714025703,0.1851463911067191,-0.1102487969123709,-0.0751213809290716,0.1693833173440125,-0.0209901169595911,-0.0234115652725041,-0.0773036964553143,0.1610878621072963,-0.0176820251158234,-0.0549516050652382,0.06078045103206,0.089598202727956,-0.1459000607771295,0.0799823784055077,-0.0216430510596419,-0.0627551710418422,-0.0449655929681792,0.0865873383829249,-0.0446595244876853,0.1314488329797819,0.1388238922419107,0.1552195988647852,0.0595531143062032,0.1913402725368765,-0.1367425605382329,0.0220947320866668,0.0903473108410983,-0.0034900219014809,0.0414251888052732,0.1323019261183265,0.0352114816952884,0.0297359620654614,0.0720260985140827,0.1322110522590142,-0.0877282808773498,-0.137749023026701,-0.3021418846053833,-0.1178760557745088,0.0089555547701422,-0.0281404693664761,0.0035416953230895,0.040829356972939,-0.1458614628377219,0.0915564949917133,-0.040986186119423,0.0315606236461029,-0.0469956432772759,-0.0076608815296567,-0.031034056713844,0.0409081489390563,-0.2115719178909511,-0.1552023798039776,-0.0450147254440808,-0.3681254304378711,-0.0732717412072018,-0.1792745978938061,0.0118900264385595,-0.142459107683768,0.0045834732348832,-0.0286278347617357,-0.078665335593716,-0.0966005488073219,-0.1540150502385633,-0.0479844896497224,0.192199222930324,-0.0810530414919925,-0.0830932478168182,0.1447937779343188,-0.0079364522452852,-0.0070900836792393,-0.0375075835974314,0.0868169442728431,-0.0412103720622894,-0.0672953571992805,0.0442558754924355,0.0541379884164757,-0.1998948682353468,0.0857095041651518,-0.0275568995000883,-0.0447148491130052,-0.0072752736518325,0.1144155170321436,-0.0396918445920274,0.0835841445683034,0.075547272787544,0.1911868977522502,-0.009365944336704,0.161609816984803,-0.1424373437324354,-0.0177525305493616,0.0532623821478359,-0.0315817517791706,0.0592916263335429,0.1158182921687625,0.1078339157132408,0.0500847681183422,0.062466965689593,0.0765604501400249,-0.0089194888969477,-0.0907177712932459,-0.2663772564456036,-0.1527756839926433,0.0110266215773276,0.1149821153846153,0.382005438399996,0.0,,pos_prometheus,,0.9894717733349087,
results_s1/pos_fairwater_candidates.geojson,cand02,2,19.2,6.5,42.67222,-87.91398,0.0412085733671995,0.0081530294364535,0.0947084300683561,-0.2731743209948713,0.0966871943828329,0.0622159361156558,0.0214426664759459,-0.1654767210419903,-0.154351894869798,0.0848125182444928,0.0712009470492505,-0.1894334711408381,-0.1170583719701409,-0.0976286908862747,-0.3532820043740286,-0.1040216435502715,-0.0080744194477824,0.0942768533655374,-0.047770035728391,-0.0262325993760687,-0.0486038523954747,-0.2262272586064001,-0.0994575310277239,-0.1341483129375127,-0.0869834605161311,0.2167257477132892,-0.0098799526947747,-0.0312240018145036,0.0466899992464171,-0.0674583907469763,0.0802319482391144,-0.0022650909772361,0.2306311775622134,-0.1075417876477209,-0.145490494559257,0.0419180732132723,-0.0137038965402278,-0.120701463006276,0.132276897798143,0.031248508536928,0.0329444771784321,-0.0023776646001076,0.0449097001766011,-0.06065008503825,0.0820344370407324,0.0756829540213316,0.1287803204004189,0.0109809058627346,0.1935557753567175,-0.1325417928881112,0.0668888834270735,0.0912353154482501,-0.0345951641234904,-0.0541837964325341,0.1377484676102174,-0.0568405344046758,0.0230851199558567,0.1029684544000052,0.1742623385175555,0.0195681147784248,-0.1410263125904659,-0.3107531148031506,-0.2258945071040136,-0.0890510829561913,0.0161365003701921,-0.0579752211833071,0.071500113257322,-0.2290385698238067,0.1191179684020058,0.0620573897889391,-0.0205455153268345,-0.1121675327682744,-0.1042905236908652,0.0351498781316905,0.0417330900245507,-0.1964748639853908,-0.1229820091397095,-0.0597961555032826,-0.348558586960895,-0.0913378611830297,-0.0513253367249792,0.0671972788106849,-0.0570733847499469,0.0028781176508769,-0.0668200399033269,-0.2124588371554034,-0.0792079303113306,-0.1398163211075484,-0.1053346071607301,0.2087227125153165,0.0261186976613151,-0.0786888823628217,0.0925795043753709,-0.0642421777037178,0.0395459504983547,-0.0119166700430512,0.1232960123542322,-0.0985691050197784,-0.1493842977927046,0.0967650819749541,0.0300110294625453,-0.103251130716699,0.1265930494703221,0.0906633427019273,0.0212870630968931,0.0085310709573325,0.0498232021141002,-0.0557750307046461,0.080354750782275,0.0467866314168133,0.128092106113852,0.0347258710840834,0.1571231132451558,-0.1726895891166875,0.0759564712572057,0.0815405336580896,-0.0506994360917775,-0.0413723088517009,0.1328861294408883,-0.0321374705417184,0.0142523127212054,0.0816929114053097,0.1391685118885694,0.0262957156016986,-0.1292434441732368,-0.27380951280477,-0.2173089257967936,-0.0367392727260102,0.3070640657620045,0.0568401179562992,0.6456158663883089,,pos_fairwater,,0.9887192591143524,
results_s1/pos_prometheus_candidates.geojson,cand12,12,8.8,10.3,40.05435,-82.76349,0.0174335078309665,-0.0083688966937688,0.0154279882521368,-0.2434830073261712,0.1170730369201107,-0.0149450160932133,-0.0065876267759633,-0.1537559629318419,-0.1717682999349999,0.0526930115408493,0.0576489815461909,-0.1384342669536672,-0.1245940526623601,-0.0649883044640731,-0.3618341418642452,-0.1314896773653814,-0.0545587321454012,0.1001045537826981,-0.0562426268353455,-0.0325542769804147,-0.0514277374140033,-0.1944496742439224,-0.1345583710765086,-0.2021713432405155,-0.1355213455102894,0.1826806324540646,-0.0751885820157592,-0.0842429525983552,0.0812637103165223,-0.0067336218403179,0.0495172639838293,-0.0582330308133636,0.1772014428152752,-0.0944212209677081,-0.0639347596571256,0.0660937372123038,0.0410330347382933,-0.1691725276050185,0.0887124210887709,0.0742901021265802,-0.0284197695138905,-0.018790826182159,0.0619398158231325,-0.0698026689183563,0.1000426520331483,0.157518520146204,0.090400197577391,0.0792992490768289,0.1570177631877602,-0.1105796947208725,0.0228615489186964,0.1501902190719269,-0.0646282731823211,0.0147101463239389,0.1515060231266782,0.0015563375531411,0.024775650290236,0.0932463471542773,0.2031446863898703,-0.0875315853255009,-0.1083047733846753,-0.3473067185817194,-0.1786012144884931,-0.0502871565191597,0.0069181736653348,-0.0448980429304767,0.034839038735793,-0.2274505203981529,0.1089399159412312,-0.0234118305193893,-0.0057932059330762,-0.1791409111679351,-0.1597906167698782,0.0366039785438877,0.0460118360934681,-0.1498637687858659,-0.1243356172854429,-0.0847750530872272,-0.3495916808659849,-0.1260411897506794,-0.0570195490918969,0.1036387518373728,-0.0758866040279609,-0.0110158451130233,-0.0497205524600862,-0.1602210810319141,-0.1523977963191627,-0.1918620038440678,-0.1296720915854401,0.1962790916622713,-0.0648499144367614,-0.0861997364013794,0.0907158250773932,0.0010897923439957,0.0354243904288987,-0.0619739937813434,0.1423580288483547,-0.0996019360152611,-0.071652264187232,0.0580252744315319,0.0137210106743222,-0.1693021155407242,0.0721625750394214,0.0637362553242958,-0.0257415498088776,-0.0147876265721921,0.044792349865209,-0.0498431249101361,0.1158688644856338,0.1238817732294488,0.10775667665343,0.050521691514674,0.1646485807703464,-0.1298386970773543,0.0180940374288003,0.1197633388131198,-0.0540708190256174,0.0248253252533432,0.1497166934900257,0.0075373250247756,0.0263828052102335,0.090671183128053,0.1648510579369793,-0.0663890859886044,-0.0979455816776112,-0.3046507404417142,-0.190153558854031,-0.0230808539003383,0.2054777903469078,0.0604171623550547,0.0135746606334841,,pos_prometheus,,0.9886721701040191,
results_s1/pos_prometheus_candidates.geojson,cand34,34,1.9,5.7,40.11032,-82.70681,0.0059059406341402,0.0412666722263458,0.0538990931781597,-0.2037489833806538,0.1086864937877358,-0.0583867775191572,0.0335807944670664,-0.1993710001902789,-0.185759558530692,0.0754943449043309,0.0260016502334434,-0.091659665503721,-0.1141053695879825,-0.0312365332857774,-0.3360620201602094,-0.1223454469998958,-0.0043833372291107,0.1358895051020522,-0.0149418488654483,-0.0104203089722415,-0.0359595342786696,-0.1865262721467865,-0.1135553517006538,-0.1473385431159427,-0.1087819823543911,0.184596022970033,-0.1173446245922094,-0.0719095770829656,0.106289583737957,-0.1153791210159596,0.0351806275412405,-0.0479622153615904,0.2210636072546609,-0.1436979223762278,-0.0851331957205,0.0180206674145451,-0.0349936523918056,-0.1428617195434944,0.0753980756429749,0.1054615868192383,0.0026529606722889,-0.0005621223493283,0.018471460729348,-0.1192412718809622,0.0866269700650682,0.091552823616655,0.0944599607516206,0.1131302794440654,0.2219798546904282,-0.0533346952392307,0.032026056978584,0.1615685461799231,-0.0234143220967169,0.0047215922945679,0.1815088335020478,0.0007439552573277,0.0174763163363844,0.0944033862447936,0.17654980658258,-0.1308279313477521,-0.1121161619533917,-0.331185838001109,-0.2196488603935322,-0.0456927186273786,-0.0215477586276395,-0.0091488748423788,0.0624074942728977,-0.1854817914040385,0.1024710149573962,-0.0475467452068406,-0.0140121350806886,-0.1456532544046241,-0.1228437508252538,-0.0092115295658612,0.034047557388778,-0.1047121458081273,-0.1314181639813745,-0.0124437146430819,-0.3234372493941944,-0.0991339838730969,-0.0563630915867916,0.0846893549576022,-0.0573121639551404,0.0008077170910824,-0.04145323244061,-0.1860961633958302,-0.0881443900971086,-0.1347837710461025,-0.1373721888946114,0.2008720332896188,-0.0734572323154641,-0.0954660432589223,0.1045679940294312,-0.1105455351322047,-0.0057735909784087,-0.0632405394526131,0.1522234138320154,-0.1089027933462728,-0.1130109818342274,0.0666222046445309,0.0030990992677019,-0.1392302911815292,0.0813877984076933,0.0994596834954586,-0.009106870282292,0.0289146623495082,0.0491685022594418,-0.1010994467860235,0.0621452822516771,0.0722939919604527,0.1412228195441284,0.0760243974530833,0.1869635685389583,-0.1208876540732698,0.0329232199404277,0.137576146680884,-0.0343411530536484,0.0501265594906239,0.1870756611019169,0.0400406222716778,0.011169936903032,0.11131202955607,0.1489345833311143,-0.0805513336527115,-0.0995729040613782,-0.3128425812316191,-0.1996220412301242,-0.0344397586740295,0.2451739361702127,0.0483231490635105,0.0,,pos_prometheus,,0.9882950595441782,
results_s1/neg_intel_oh_candidates.geojson,cand26,26,1.9,5.7,40.11032,-82.70681,0.0059060588210513,0.0412658180738025,0.0538988661279011,-0.2037485494735994,0.1086858883799954,-0.058387631692898,0.0335816665006679,-0.1993707415497761,-0.1857606944235311,0.0754956667252934,0.0260019120405623,-0.0916593674172657,-0.1141047417931793,-0.0312370780536773,-0.3360616898971762,-0.1223455359557006,-0.0043822727276994,0.1358899778004988,-0.014941496955097,-0.010420522250609,-0.0359598899677036,-0.1865257224372973,-0.1135560166579911,-0.1473380846370004,-0.1087815676740934,0.1845958140401183,-0.1173446945722758,-0.0719086290076898,0.1062888846623475,-0.1153788461046225,0.0351805218805942,-0.0479625116547342,0.2210639208369094,-0.1436976096445428,-0.0851324693673096,0.0180203621715058,-0.0349939162275781,-0.1428619131189,0.0753975789490161,0.105461504541939,0.0026532706543084,-0.0005621885013168,0.0184714329587026,-0.1192414851081598,0.0866265188325282,0.0915532981576112,0.0944601194338115,0.1131303038881765,0.2219801315919674,-0.0533349266748159,0.0320255727613963,0.1615689956187572,-0.0234143698007364,0.0047214426746687,0.1815095682295466,0.0007427335463134,0.0174760328856939,0.0944031630167957,0.176549919771901,-0.1308286066793608,-0.1121160176701447,-0.3311857029493397,-0.2196492306132306,-0.0456926846617287,-0.0215477937348079,-0.0091481236781765,0.0624077907287801,-0.1854817754135864,0.1024710887559892,-0.0475468774206782,-0.0140120346371141,-0.1456537678598669,-0.1228441770488689,-0.0092106156157952,0.034047567410086,-0.1047121404076114,-0.1314184450583717,-0.0124438805719235,-0.3234375539338948,-0.0991344598778846,-0.0563627860554993,0.0846898816389326,-0.0573116849149669,0.0008072309374318,-0.0414529467250613,-0.1860969831211468,-0.0881445614589776,-0.1347842435630373,-0.1373717689652896,0.2008725657201256,-0.0734576882070766,-0.0954653871383158,0.1045678081120041,-0.1105452623499382,-0.0057727472580067,-0.0632407174952437,0.1522242405972924,-0.1089032699391236,-0.1130106616912163,0.0666217474915705,0.003098551345187,-0.139230119161172,0.0813875589235383,0.0994595803301722,-0.0091064471886454,0.0289143548474751,0.0491679603589323,-0.1010994085700439,0.0621456961860932,0.0722937819582894,0.141223024147988,0.0760243478382839,0.186964168943491,-0.1208868396094199,0.0329228708799992,0.1375763361382048,-0.0343408591593931,0.0501262776517488,0.1870760792549372,0.040040320678387,0.0111702367905079,0.111311998725192,0.1489350344850616,-0.0805514962422584,-0.0995729309943845,-0.312842919926769,-0.1996225221760142,-0.0344403434840513,0.2451739361702127,0.0483231490635105,0.0,,neg_intel_oh,,0.9882950476361079,
results_s1/neg_intel_oh_candidates.geojson,cand16,16,3.1,6.0,40.11589,-82.70322,0.0257765317213401,-0.079792300122297,0.0594143620932886,-0.1583647971818439,0.0789728899613347,-0.1078090147627521,0.0529303325782502,-0.1176814288031732,-0.2996595027656113,0.103839512363447,-0.0617830956806967,-0.144338828848546,-0.1083586709429058,-0.0729996401581088,-0.3380405676328841,-0.140998616963544,0.0597518636208467,0.1224665564054473,-0.014216883387525,0.0393701701845906,0.0009370393662103,-0.2201520078038593,-0.144400740123048,-0.1517284951375172,-0.0311911887064438,0.2164726592500453,-0.0587257484572818,-0.0437097538084293,-0.0069177507326891,-0.0848293847688685,0.0209824699436596,-0.0871078777670348,0.1531554415389289,-0.0600407073832845,-0.0252678033237816,-0.039804834563537,-0.0410886593165343,-0.1171871433325053,0.023430113871951,0.0079799227309567,-0.0289208024628083,-0.0115215574227932,-0.0491770406713683,-0.0539333489090387,0.0829295525616957,0.1862544682420293,0.0647975056708188,0.0658713255879598,0.1248206672989295,1.597710309731736e-05,0.0131333905263387,0.142808930112179,-0.0837020041254072,0.0086428715444481,0.2376826526965519,-0.0549602890309171,0.0371190116260636,0.158311568901411,0.1623367227422846,-0.0604614435108255,-0.08012419932101,-0.2771932898875812,-0.2307607574717983,-0.0433052656658198,-0.0239469591603848,-0.0791596378890392,0.0393499398376148,-0.1793552071099259,0.09167769116234,-0.0500545258141993,-0.0141818698627538,-0.1212761158563913,-0.1677677101651012,0.03497111263224,-0.0060038264206325,-0.1511087638482169,-0.1168745234073005,-0.0327011130593998,-0.3196926047516113,-0.116369735143985,-0.0497677793288186,0.078797203075991,-0.0818908444013908,0.0002602783226046,-0.0699473188353655,-0.17589696369977,-0.1330328118944673,-0.1365016468827105,-0.128256347175097,0.2146758356712155,-0.0705753183963589,-0.08187290146491,0.0865414597178864,-0.0844798230695151,-0.0024079806465492,-0.071244638277834,0.129717562733473,-0.0955351950338235,-0.0681946880869427,0.076807722842041,0.0225654896290541,-0.1518236875188414,0.0787951333192148,0.0941985853028474,-0.0461016792016746,0.0071713846076251,0.0401778036745654,-0.0840911141777244,0.0630215083202362,0.1117237860730017,0.1146681160544476,0.0615293289810557,0.1219607097351378,-0.115285329007491,0.0202248830036594,0.1146404438518356,-0.0382668436737644,0.0635868807847695,0.184298255895564,0.0090883884533288,0.0065733432224444,0.1280323002366484,0.1125558042730152,-0.0637400333279271,-0.0973116392878249,-0.2877717467725039,-0.1702534017938262,-0.0041925986569304,0.3164162337662338,0.054854503660333,0.3311688311688311,0.0,neg_intel_oh,,0.9870998488341214,0.9914541495893174
