site_id,tod,n,ref,effects,slope,slope_se,slope_p,period_n
colossus_memphis,night,80,0.5,"{'125.0': (1.2386839059210888, 0.27908201456680787, 3.199832572887256e-05)}",0.009949268320651728,0.002241622606962279,3.1998325728843536e-05,"{'0.5': 47, '125.0': 33}"
colossus_memphis,day,119,0.5,"{'125.0': (1.9972039720711603, 0.3771301986934544, 6.132520026787212e-07)}",0.016041798972459054,0.0030291582224374006,6.132520026788507e-07,"{'0.5': 63, '125.0': 56}"
fairwater_wi,night,33,0.5,"{'347.8': (0.08148759714712628, 0.4335406621156703, 0.8524265821215172)}",0.00023461409956607838,0.0012482237251875135,0.85242658212154,"{'0.5': 29, '347.8': 4}"
fairwater_wi,day,50,0.5,"{'347.8': (1.3508782656326415, 0.4912871352074556, 0.008834258808428294)}",0.0038893659772862572,0.0014144838342331361,0.008834258808426872,"{'0.5': 28, '347.8': 22}"
ornl_olcf,night,193,10.1,"{'17.0': (0.7483866734966833, 0.44491114381398045, 0.09427313609668804), '24.6': (0.22607561271483947, 0.1854168484418728, 0.22432334160359718), '31.2': (0.39299950537118133, 0.24800973076172894, 0.1147998445412503), '32.8': (-0.13989266652142396, 0.26182733195886504, 0.5937940685305313), '32.9': (-0.04052909799690782, 0.3944991833228744, 0.9182865760165841)}",0.00624009929232544,0.008221349011374546,0.4488115934138819,"{'10.1': 85, '17.0': 6, '24.6': 51, '31.2': 23, '32.8': 20, '32.9': 8}"
ornl_olcf,day,202,10.1,"{'17.0': (0.45712901261017136, 0.5943688507577851, 0.4427940737920584), '24.6': (0.0020783295915740158, 0.31284965050884256, 0.9947065217093172), '31.2': (-0.0611054929134546, 0.37203535575199564, 0.8697126403877771), '32.8': (-0.9209652729183642, 0.47365668132870625, 0.0533347833381054), '32.9': (1.303226634127227, 0.4884443445970581, 0.008290380073621815)}",0.0007702415505133533,0.013709731314769156,0.9552548568638243,"{'10.1': 71, '17.0': 10, '24.6': 55, '31.2': 33, '32.8': 17, '32.9': 16}"
rainier_in,night,45,0.5,"{'1078.3': (0.05695410453548903, 0.23637007500910115, 0.810921705210833)}",5.284484354900347e-05,0.0002193158813647033,0.8109217052110711,"{'0.5': 21, '1078.3': 24}"
rainier_in,day,68,0.5,"{'1078.3': (1.4406166957113087, 0.6006332733498351, 0.0196428917661457)}",0.001336675635934608,0.0005572973470378078,0.01964289176613245,"{'0.5': 31, '1078.3': 37}"
riken_kobe,night,139,12.7,"{'29.9': (-0.14267847756929805, 0.817963316503126, 0.861795734772524)}",-0.008276013780121664,0.04744566801062239,0.8617957347725252,"{'12.7': 6, '29.9': 133}"
riken_kobe,day,96,12.7,"{'29.9': (0.6486905676822406, 0.6110007895651309, 0.2913168871169867)}",0.037627063090617224,0.03544088106526282,0.2913168871169866,"{'12.7': 9, '29.9': 87}"
stargate_abilene,night,143,0.5,"{'173.9': (0.1560881082148698, 0.22742190936885773, 0.4936864116896236), '521.7': (0.1258674056952263, 0.4695417407144207, 0.7890619876812834)}",0.0004455567158549345,0.000760648111138176,0.5590152445657796,"{'0.5': 113, '173.9': 25, '521.7': 5}"
stargate_abilene,day,170,0.5,"{'173.9': (0.03259546009034886, 0.49182346431972546, 0.9472418530056707), '521.7': (-0.1351944081177196, 0.6760400250054692, 0.84175025627929)}",-0.000193171196194504,0.0012146068641660423,0.8738366103871069,"{'0.5': 126, '173.9': 30, '521.7': 14}"
