plant,facility_id,stack_class,time_window,campd_local_hours,days,annual_nox_short_tons,truth_kgh,satellite_kgh,satellite_se,factor,factor_se,used_by_existing_production
martin_lake,6146,tall_coal_reference,legacy_local_19_20,19|20,169,9144.891986999999,1145.3541685704326,223.6331436764148,14.234639728876013,5.121576121237641,0.3259972548403645,True
martin_lake,6146,tall_coal_reference,utc_19_20_proxy_in_local_standard_time,13|14,169,9144.891986999999,1039.7457198316263,223.6331436764148,14.234639728876013,4.649336420973819,0.2959383740840554,False
martin_lake,6146,tall_coal_reference,solar_overpass_utc_hours_in_local_standard_time,13|14,169,9144.891986999999,1039.7457198316263,223.6331436764148,14.234639728876013,4.649336420973819,0.2959383740840554,False
limestone,298,tall_coal_reference,legacy_local_19_20,19|20,188,5510.944205,710.2893893640165,170.65025214759612,14.758737884170737,4.162252211322162,0.3599736221988299,True
limestone,298,tall_coal_reference,utc_19_20_proxy_in_local_standard_time,13|14,188,5510.944205,661.3522676230518,170.65025214759612,14.758737884170737,3.8754836825617196,0.33517236057664324,False
limestone,298,tall_coal_reference,solar_overpass_utc_hours_in_local_standard_time,13|14,188,5510.944205,661.3522676230518,170.65025214759612,14.758737884170737,3.8754836825617196,0.33517236057664324,False
oak_grove,6180,tall_coal_reference,legacy_local_19_20,19|20,193,4373.261679,489.7927956017051,113.12224518300003,12.024477834103427,4.329765509952157,0.4602381195410474,True
oak_grove,6180,tall_coal_reference,utc_19_20_proxy_in_local_standard_time,13|14,193,4373.261679,483.1653234054518,113.12224518300003,12.024477834103427,4.271178693667421,0.45401055684860914,False
oak_grove,6180,tall_coal_reference,solar_overpass_utc_hours_in_local_standard_time,13|14,193,4373.261679,483.1653234054518,113.12224518300003,12.024477834103427,4.271178693667421,0.45401055684860914,False
welsh,6139,tall_coal_reference,legacy_local_19_20,19|20,165,4016.7817115,499.84216001976677,83.66232003156746,12.81594984935904,5.974519471025503,0.9152165740298724,True
welsh,6139,tall_coal_reference,utc_19_20_proxy_in_local_standard_time,13|14,165,4016.7817115,506.89712406630736,83.66232003156746,12.81594984935904,6.058846131389196,0.9281342919437104,False
welsh,6139,tall_coal_reference,solar_overpass_utc_hours_in_local_standard_time,13|14,165,4016.7817115,506.89712406630736,83.66232003156746,12.81594984935904,6.058846131389196,0.9281342919437104,False
independence_ar,6641,tall_coal_reference,legacy_local_19_20,19|20,183,4752.8194315,523.3520756350815,111.92741581726963,13.647236083968611,4.6758166604104865,0.5701192454416503,True
independence_ar,6641,tall_coal_reference,utc_19_20_proxy_in_local_standard_time,13|14,183,4752.8194315,574.2704105928428,111.92741581726963,13.647236083968611,5.130739474324903,0.6255876844844058,False
independence_ar,6641,tall_coal_reference,solar_overpass_utc_hours_in_local_standard_time,13|14,183,4752.8194315,574.2704105928428,111.92741581726963,13.647236083968611,5.130739474324903,0.6255876844844058,False
forney_gas,55480,gas_candidate_rejected,legacy_local_19_20,19|20,202,1269.7887585,150.17430871691914,164.90705663256333,14.680178395750128,0.9106602942500461,0.08106781996178775,False
forney_gas,55480,gas_candidate_rejected,utc_19_20_proxy_in_local_standard_time,13|14,202,1269.7887585,147.0516093060771,164.90705663256333,14.680178395750128,0.8917241766902023,0.07938210929798763,False
forney_gas,55480,gas_candidate_rejected,solar_overpass_utc_hours_in_local_standard_time,13|14,202,1269.7887585,147.0516093060771,164.90705663256333,14.680178395750128,0.8917241766902023,0.07938210929798763,False
fort_myers_gas,612,gas_candidate_stack_unreported,legacy_local_19_20,19|20,167,1014.0864425,124.65081744720395,74.2744219605701,10.085859174033626,1.6782468871097653,0.2278922045550912,False
fort_myers_gas,612,gas_candidate_stack_unreported,utc_19_20_proxy_in_local_standard_time,14|15,167,1014.0864425,128.53185833562006,74.2744219605701,10.085859174033626,1.7304996113447169,0.23498769724533541,False
fort_myers_gas,612,gas_candidate_stack_unreported,solar_overpass_utc_hours_in_local_standard_time,13|14,167,1014.0864425,127.06417466464278,74.2744219605701,10.085859174033626,1.7107393273568263,0.2323044122559675,False
midland_gas,10745,gas_low_stack_qualified,legacy_local_19_20,19|20,122,3571.0417429999998,425.69060017272886,88.1148571344736,14.314944902038706,4.831087673706094,0.7848478237952514,False
midland_gas,10745,gas_low_stack_qualified,utc_19_20_proxy_in_local_standard_time,14|15,122,3571.0417429999998,414.06557241226983,88.1148571344736,14.314944902038706,4.69915728037052,0.7634147037412649,False
midland_gas,10745,gas_low_stack_qualified,solar_overpass_utc_hours_in_local_standard_time,14|15,122,3571.0417429999998,414.06557241226983,88.1148571344736,14.314944902038706,4.69915728037052,0.7634147037412649,False
