d,cross1,cross2,down,up,speed,phi,site,dw_minus_uw,cross_diff
2019-01-01,14.758110975387671,10.527736434680788,17.91934102011966,8.544474675183128,3.4412393851025618,146.86881220129158,epoch_microsoft_project_osmium,9.374866344936532,4.230374540706883
2019-01-02,1.0852110673634405,-0.3206816503613395,1.134286813375706,-6.886242255448298,6.230476378610937,57.49000764836586,epoch_microsoft_project_osmium,8.020529068824004,1.40589271772478
2019-01-03,18.212679945693363,20.103565658777747,15.524807172035889,-2.3883703148703193,4.9408529641796965,57.91435354183852,epoch_microsoft_project_osmium,17.913177486906207,-1.8908857130843835
2019-01-04,20.741151215738473,21.406143080020684,34.6755087929666,10.500973338067126,2.902617948976821,116.0118714870822,epoch_microsoft_project_osmium,24.174535454899477,-0.6649918642822108
2019-01-05,16.56773034020494,4.833977151791242,11.365217320678163,2.2210890007689845,2.7866480667480324,94.36932234662908,epoch_microsoft_project_osmium,9.144128319909179,11.733753188413697
2019-01-07,11.346790179137303,22.29821949493507,17.428040675196634,22.34788065917815,5.696357844378447,106.56458015415109,epoch_microsoft_project_osmium,-4.919839983981515,-10.951429315797766
2019-01-08,15.870931435843953,15.933487110932104,15.30459670669895,19.387741008202333,9.070970196495601,110.22140791499987,epoch_microsoft_project_osmium,-4.083144301503383,-0.06255567508815041
2019-01-09,20.690569089210573,26.714082026642938,24.161211830704094,12.996519201569905,4.936546720457872,142.59278968873923,epoch_microsoft_project_osmium,11.164692629134189,-6.023512937432365
2019-01-10,21.905371778404525,19.959967959505992,28.412737480954164,23.424220021200064,3.616663619537753,319.7551885645282,epoch_microsoft_project_osmium,4.9885174597540995,1.9454038188985336
2019-01-24,2.5487475166778095,6.976378800526035,3.9333006912411776,3.1352192681570368,9.157795776801308,132.4710275698999,epoch_microsoft_project_osmium,0.7980814230841409,-4.427631283848226
2019-01-26,19.079402733027248,19.420946849538947,19.212700297225542,18.759623750201555,4.744378078299971,78.71917753236403,epoch_microsoft_project_osmium,0.45307654702398636,-0.3415441165116988
2019-01-28,17.167740048589632,21.029704327574265,19.588360417332293,15.341230835282516,9.413289921368177,137.8847848669302,epoch_microsoft_project_osmium,4.2471295820497765,-3.861964278984633
2019-01-30,9.916727227979974,13.518169724850026,14.325622189944207,10.712197735080151,3.6982318398862493,92.82873655864273,epoch_microsoft_project_osmium,3.613424454864056,-3.6014424968700514
2019-02-02,24.903102001139594,20.920172998467017,20.943256458849646,19.11144492436351,5.944853811978581,25.095791078866114,epoch_microsoft_project_osmium,1.8318115344861354,3.982929002672577
2019-02-14,20.510674121810588,27.92124795976288,28.307318316925837,19.947878226692094,8.050199752507433,147.01405055869446,epoch_microsoft_project_osmium,8.359440090233743,-7.410573837952292
2019-02-20,25.467877802057966,25.50037494460526,26.559236558912794,24.909186750181153,8.418109558399532,63.68889012351781,epoch_microsoft_project_osmium,1.6500498087316409,-0.03249714254729241
2019-02-24,8.80341095883048,12.230380575345947,8.91391907176941,8.297353053421425,10.125777185776853,118.105494385903,epoch_microsoft_project_osmium,0.6165660183479851,-3.4269696165154677
2019-02-27,20.891643081463524,36.47344041295492,27.342052178490185,23.736701653653018,6.068387602136377,155.71886870765604,epoch_microsoft_project_osmium,3.605350524837167,-15.581797331491398
2019-03-03,19.35664753164605,24.26315538587182,18.68675471687874,17.625272472220992,6.045779262519122,135.2486829050044,epoch_microsoft_project_osmium,1.0614822446577463,-4.906507854225769
2019-03-04,19.695991059551663,21.893535531136486,23.331060625476518,21.291138786406695,6.245073234306496,94.34006652932749,epoch_microsoft_project_osmium,2.039921839069823,-2.1975444715848234
2019-03-05,12.772043435132122,20.587503663429644,18.06883082627455,13.232435780975605,6.239697036921604,119.83291365423725,epoch_microsoft_project_osmium,4.836395045298945,-7.815460228297521
2019-03-06,23.024539203980204,24.01954685971949,30.2629207891224,20.186305512217107,4.497267753159446,57.33548045408878,epoch_microsoft_project_osmium,10.076615276905294,-0.9950076557392862
2019-03-08,41.87869928953003,21.14471261103968,27.573737746215546,24.08401580381228,3.2470888322820253,303.76320031390014,epoch_microsoft_project_osmium,3.489721942403264,20.733986678490353
2019-03-15,5.366223200309361,12.489461042669573,8.932345404674754,7.668911361987294,8.738851130766937,123.32389773114096,epoch_microsoft_project_osmium,1.26343404268746,-7.123237842360212
2019-03-16,19.406271646590923,19.18493204866922,29.864756114445793,8.475624547665578,2.6080547415709803,24.79174008041639,epoch_microsoft_project_osmium,21.389131566780215,0.22133959792170188
2019-03-17,18.05617318605749,14.567104463473566,13.461526170269808,14.023737533400672,4.549213477588148,123.05921173605009,epoch_microsoft_project_osmium,-0.5622113631308636,3.489068722583923
2019-03-18,11.571102728393228,23.369680307342552,24.35425377366802,15.420896119216582,2.017509107886967,128.90476261376773,epoch_microsoft_project_osmium,8.933357654451438,-11.798577578949324
