d,cross1,cross2,down,up,speed,phi,site,dw_minus_uw,cross_diff
2023-01-01,20.456380878561042,18.12363690894215,25.595114489744265,14.497427575310292,4.642635311818946,43.04967617524039,stargate_abilene,11.097686914433973,2.3327439696188925
2023-01-04,17.126474480213904,11.983373094341175,12.935692370140483,16.413009700029555,7.162583019785707,104.82280799713061,stargate_abilene,-3.477317329889072,5.143101385872729
2023-01-05,43.43911076907369,47.36126455962265,63.13889902102363,35.64213036597846,2.2566609088951366,26.981825145172024,stargate_abilene,27.496768655045173,-3.922153790548954
2023-01-06,21.574184212721416,18.92879522718333,20.475966557983796,21.396660814957972,8.427367330580166,27.527281939607462,stargate_abilene,-0.9206942569741763,2.645388985538087
2023-01-07,27.66029673088401,27.42232505752385,34.5955405483658,34.85626320467211,5.046226650042949,176.4058886117714,stargate_abilene,-0.26072265630631364,0.23797167336016045
2023-01-09,27.654945374597556,32.155438852189405,30.120209487078867,31.637157724853672,5.792537134495556,68.31801492107445,stargate_abilene,-1.5169482377748054,-4.500493477591849
2023-01-10,40.340156567002715,65.09623103421856,50.04134095376437,58.848853086224004,7.634643952448164,71.99288773450445,stargate_abilene,-8.807512132459635,-24.756074467215846
2023-01-11,13.23414073529437,36.48124428886019,30.391760706521325,19.168445649983152,9.156651437817912,60.68589367705869,stargate_abilene,11.223315056538173,-23.24710355356582
2023-01-12,12.275462176713603,7.748617060875132,14.626582727478022,14.907545001502479,7.967765100929008,164.85027948392155,stargate_abilene,-0.28096227402445706,4.526845115838471
2023-01-14,18.933661130644435,16.27610455520423,21.299756001266818,15.817116034165899,8.506845186451228,10.883141787378179,stargate_abilene,5.482639967100919,2.6575565754402035
2023-01-18,48.31217881111639,48.62462123878142,60.39871883652745,54.4886735063327,9.05259176228614,76.3173078065081,stargate_abilene,5.910045330194748,-0.31244242766503305
2023-01-20,36.0080899504739,34.5551766895102,40.38891623445123,34.93776040815711,7.517617717219091,320.5698332914837,stargate_abilene,5.451155826294119,1.4529132609637045
2023-01-21,27.011411472015727,24.695721744007216,31.72726520855118,24.91244236209832,6.041329730426132,99.03102636494742,stargate_abilene,6.814822846452859,2.315689728008511
2023-01-22,15.394107219068509,14.057193979832578,17.727863717563746,15.528707546084423,4.752680915135421,127.15510689351385,stargate_abilene,2.1991561714793235,1.3369132392359315
2023-01-25,21.717986949694318,14.906146175509045,21.286591577747572,18.03034116041676,6.576477111414257,158.0067307109847,stargate_abilene,3.2562504173308113,6.8118407741852725
2023-01-26,28.11730599155599,29.620130332839775,31.220200689428463,28.670450218577972,3.224841911673146,136.52581481951012,stargate_abilene,2.5497504708504906,-1.5028243412837838
2023-01-27,37.89448195264356,42.79257485936051,45.23436511460971,36.357475473663115,6.834793024179678,36.349217436223796,stargate_abilene,8.876889640946594,-4.898092906716954
2023-02-04,22.959787228699316,30.490324789726998,23.575280092726782,24.5653430815965,7.819953585659088,27.925602412749356,stargate_abilene,-0.9900629888697168,-7.530537561027682
2023-02-05,46.44587173490245,61.9336245939682,57.58110106329151,54.028649799891504,3.818810987473296,58.9418569988934,stargate_abilene,3.552451263400009,-15.48775285906575
2023-02-06,39.823037235346476,27.673060134000927,24.353825145936707,32.657035615551514,8.50502064057584,22.0164318736488,stargate_abilene,-8.303210469614807,12.149977101345549
2023-02-08,41.87055910452323,41.19012627491438,37.12339830062587,37.77428918391167,5.456002452245643,134.54262814017488,stargate_abilene,-0.6508908832857969,0.6804328296088542
2023-02-09,22.093577966585517,26.43377042204677,37.255982294321406,18.41558768432774,4.77599415179609,164.7024000634068,stargate_abilene,18.840394609993666,-4.340192455461253
2023-02-10,20.505750319547634,21.28379374002325,20.407510046717327,22.98786994347029,7.929560179000944,152.50623541991467,stargate_abilene,-2.580359896752963,-0.7780434204756155
2023-02-12,25.97491222787332,26.999210721018134,27.09374080847814,19.705325059881616,6.144442691154564,25.525279933330353,stargate_abilene,7.388415748596525,-1.024298493144812
2023-02-14,21.00534545021661,25.608574583221618,21.020389805042026,21.446346362522252,11.969705696977975,63.5408304241285,stargate_abilene,-0.42595655748022665,-4.603229133005009
2023-02-15,18.468444888483752,26.98208205598427,17.206374868882854,15.50972479908554,8.935368064657279,24.043146904721993,stargate_abilene,1.6966500697973146,-8.51363716750052
2023-02-16,10.504926687930729,12.570669029932478,17.24465421344415,11.13972740997102,7.082123385709062,162.8760559360759,stargate_abilene,6.1049268034731305,-2.0657423420017498
2023-02-20,22.31763717847139,18.311691246545234,22.260773110904527,24.516434474936137,9.079041557000146,65.70078234448113,stargate_abilene,-2.25566136403161,4.005945931926156
2023-02-21,27.71922739770335,34.741937670414664,35.977360714390905,22.480524786579405,7.798490698715816,20.30609294299768,stargate_abilene,13.4968359278115,-7.022710272711315
2023-02-22,18.705790770603414,23.06283459970844,22.801372676370246,19.22387900261111,9.857965652815613,63.8359310279626,stargate_abilene,3.577493673759136,-4.357043829105027
2023-02-23,16.37162237803965,11.01241691153932,17.999493179164325,14.81573967790857,5.955752732356354,220.41432271460442,stargate_abilene,3.1837535012557545,5.359205466500329
2023-02-27,16.32870605527439,18.45331830967114,24.583619402834266,23.61271489009766,6.084570837237053,88.43399299068,stargate_abilene,0.970904512736606,-2.124612254396748
2023-02-28,25.022902786693173,21.94252729464414,24.921316123586863,20.807830545877454,6.729189908059143,62.29740119925003,stargate_abilene,4.113485577709408,3.0803754920490327
2023-03-02,22.34292558239733,7.149962510029792,23.210260212720083,12.500200645078086,2.423801867558859,301.0240385873779,stargate_abilene,10.710059567641997,15.19296307236754
2023-03-03,20.789818390696986,13.159936998144007,22.47860622562949,15.781088868165224,3.219318413267621,135.55659490105404,stargate_abilene,6.6975173574642675,7.62988139255298
2023-03-04,26.63488610942221,26.55103005682749,36.44647986197818,21.427559303087882,2.3366503046702474,143.8640652031271,stargate_abilene,15.0189205588903,0.08385605259472229
2023-03-05,25.130850868586354,20.60163403848644,20.72167665987438,20.110793298090964,7.627496162622524,21.25621960939975,stargate_abilene,0.6108833617834151,4.529216830099912
