d,nox_kgh_cal,nox_se,n_days
2023-01,440.4,587.4,21
2023-02,704.3,772.2,14
2023-03,172.1,342.7,25
2023-04,748.9,617.9,17
2023-05,830.0,688.4,11
2023-06,-779.3,545.9,15
2023-07,30.3,190.5,20
2023-08,343.2,329.7,14
2023-09,1447.1,554.5,17
2023-10,1723.9,1013.4,18
2023-11,1620.3,662.9,23
2023-12,1875.9,848.2,24
2024-01,546.1,550.4,23
2024-02,628.1,839.4,9
2024-03,901.0,1016.8,21
2024-04,1005.0,644.7,16
2024-05,290.8,505.7,19
2024-06,763.2,465.3,17
2024-07,109.7,253.4,21
2024-08,191.8,234.7,20
2024-09,189.0,309.9,8
2024-10,-260.6,636.5,18
2024-11,335.3,403.3,17
2024-12,4782.8,1619.2,15
2025-01,2322.5,838.2,19
2025-02,-582.0,487.3,21
2025-03,-140.4,559.5,21
2025-04,1046.6,657.2,19
2025-05,-385.8,232.1,18
2025-06,-472.9,356.9,14
2025-07,-282.1,262.1,19
2025-08,415.5,304.7,16
2025-09,444.6,312.3,23
2025-10,-988.9,1312.3,11
2025-11,1646.0,797.1,17
2025-12,1768.5,1471.6,19
2026-01,2189.2,1237.4,17
2026-02,-131.8,1251.1,18
2026-03,-144.2,999.0,18
2026-04,366.5,360.3,21
2026-05,893.2,888.4,16
2026-06,-568.3,697.7,22
2026-07,894.5,421.8,19
2026-08,728.1,529.3,20
