file_site,series,role,change,n_after,n_before,change_umol,z,z_batch_mixed
epoch_google_mesa,control_2,control,2025-07-01,158,283,0.929,0.52,-1.32
epoch_google_mesa,epoch_google_mesa,site,2025-07-01,186,333,-1.481,-1.12,-1.32
epoch_qts_richmond_2,control_1,control,2025-01-01,231,248,-1.936,-2.32,-1.4
epoch_qts_richmond_2,control_2,control,2025-01-01,197,225,0.024,0.03,-1.4
epoch_qts_richmond_2,epoch_qts_richmond_2,site,2025-01-01,219,229,-0.104,-0.1,-1.4
epoch_meta_qts_hillsboro_2,control_1,control,2023-07-01,172,88,-1.372,-0.89,-0.47
epoch_meta_qts_hillsboro_2,control_2,control,2023-07-01,181,96,1.189,0.77,-0.47
epoch_meta_qts_hillsboro_2,epoch_meta_qts_hillsboro_2,site,2023-07-01,198,120,-1.234,-1.19,-0.47
epoch_microsoft_project_osmium,control_1,control,2021-01-01,988,345,-0.339,-0.78,-0.6
epoch_microsoft_project_osmium,control_2,control,2021-01-01,1015,364,0.462,1.16,-0.6
epoch_microsoft_project_osmium,epoch_microsoft_project_osmium,site,2021-01-01,1002,350,-0.591,-1.35,-0.6
epoch_meta_rosemount,control_1,control,2026-04-01,70,300,1.669,1.53,-3.01
epoch_meta_rosemount,control_2,control,2026-04-01,77,312,-3.575,-3.94,-3.01
epoch_meta_rosemount,epoch_meta_rosemount,site,2026-04-01,77,316,-3.623,-3.26,-3.01
epoch_meta_jeffersonville,control_1,control,2026-04-01,56,215,0.322,0.24,-0.33
epoch_meta_jeffersonville,control_2,control,2026-04-01,57,211,0.364,0.25,-0.33
epoch_meta_jeffersonville,epoch_meta_jeffersonville,site,2026-04-01,63,209,-1.566,-1.26,-0.33
epoch_alibaba_zhangbei,control_1,control,2025-07-01,167,314,-2.058,-1.42,-0.81
epoch_alibaba_zhangbei,control_2,control,2025-07-01,231,351,-0.444,-0.48,-0.81
epoch_alibaba_zhangbei,epoch_alibaba_zhangbei,site,2025-07-01,193,302,-0.028,-0.02,-0.81
epoch_google_the_dalles,control_1,control,2025-01-01,255,309,0.085,0.16,-0.48
epoch_google_the_dalles,control_2,control,2025-01-01,202,217,-1.5,-1.57,-0.48
epoch_google_the_dalles,epoch_google_the_dalles,site,2025-01-01,226,258,0.536,0.87,-0.48
epoch_google_storey_county,control_1,control,2023-07-01,358,236,0.71,1.53,-0.5
epoch_google_storey_county,control_2,control,2023-07-01,351,215,-2.556,-3.22,-0.5
epoch_google_storey_county,epoch_google_storey_county,site,2023-07-01,389,243,0.759,1.42,-0.5
epoch_meta_montgomery,control_1,control,2026-04-01,51,269,-0.331,-0.31,0.31
epoch_meta_montgomery,control_2,control,2026-04-01,45,270,0.561,0.57,0.31
epoch_meta_montgomery,epoch_meta_montgomery,site,2026-04-01,48,289,0.409,0.44,0.31
colossus_memphis,colossus_memphis,site,2024-07-01,330,213,1.36,1.6,0.91
colossus_memphis,control_1,control,2024-07-01,321,205,-0.287,-0.41,0.91
epoch_meta_kuna,control_1,control,2026-04-01,101,376,0.625,0.67,-0.88
epoch_meta_kuna,control_2,control,2026-04-01,70,311,-0.042,-0.05,-0.88
epoch_meta_kuna,epoch_meta_kuna,site,2026-04-01,96,373,-1.774,-2.03,-0.88
epoch_meta_huntsville,control_1,control,2026-01-01,62,165,-0.098,-0.09,-0.53
epoch_meta_huntsville,control_2,control,2026-01-01,84,223,-0.316,-0.36,-0.53
epoch_meta_huntsville,epoch_meta_huntsville,site,2026-01-01,72,214,-0.355,-0.35,-0.53
