facility_id,name,lat,lon,egrid_nox_short_tons,nearest_large_power_plant,distance_km,power_isolated,campd_status,sample_unit_type,stack_class,industrial_isolation
2964,Southwestern,35.1009,-98.3524,1772.39,Horseshoe Lake,115.67,True,rows_present,Dry bottom wall-fired boiler,unverified,not_verified
60559,Marquette Energy Center,46.56597,-87.437245,1750.77,F.D. Kuester Generating Station,8.17,False,not_probed,,unverified,not_verified
3456,Newman Power Station,31.983587,-106.431777,1706.543,Apache Station,326.42,True,rows_present,Dry bottom wall-fired boiler,unverified,not_verified
3612,V H Braunig,29.2567,-98.3825,1676.517,O W Sommers,8.04,False,not_probed,,unverified,not_verified
58835,Elk Station,33.865,-101.843333,1586.853,Tolk Station,75.91,True,no_rows,,unverified,not_verified
3611,O W Sommers,29.308056,-98.3242,1577.729,J K Spruce,0.42,False,not_probed,,unverified,not_verified
64873,Pittsburgh Airport Gas Plant,40.495,-80.233,1492.115,Cardinal,44.37,True,no_rows,,unverified,not_verified
50152,Dow St Charles Operations,29.9861,-90.4414,1453.074,Ninemile Point,28.8,True,no_rows,,unverified,not_verified
641,Gulf Clean Energy Center,30.5661,-87.2244,1444.786,Barry,89.66,True,rows_present,Tangentially-fired,unverified,not_verified
50216,Watson Cogeneration,33.816647,-118.244841,1437.859,El Segundo Cogen,17.66,True,no_rows,,unverified,not_verified
55084,Crockett Cogen Project,38.0569,-122.2161,1416.778,Western 102 Power Plant,287.89,True,no_rows,,unverified,not_verified
50043,Houston Chemical Complex Battleground,29.7314,-95.0839,1411.721,Shell Deer Park,4.44,False,not_probed,,unverified,not_verified
66057,AbbVie LTD,18.432669,-66.56677,1398.532,Cambalache Plant,14.37,False,not_probed,,unverified,not_verified
6558,D G Hunter,31.3207,-92.4613,1373.624,Brame Energy Center,25.62,True,no_rows,,unverified,not_verified
55866,Basin Creek Plant,45.9293,-112.5194,1366.974,Colstrip,456.84,True,no_rows,,unverified,not_verified
56497,Goodman Energy Center,38.9303,-99.3617,1336.308,Holcomb,178.99,True,no_rows,,unverified,not_verified
3,Barry,31.0069,-88.0103,1325.515,Daniel Electric Generating Plant,74.14,True,rows_present,Tangentially-fired,unverified,not_verified
61857,Toray Plastic America's CHP Plant,41.593802,-71.427609,1301.787,SEMASS Resource Recovery,57.98,True,no_rows,,unverified,not_verified
645,Big Bend,27.7944,-82.4036,1290.85,Pinellas County Resource Recovery,28.01,True,rows_present,Wet bottom turbo-fired boiler,unverified,not_verified
57036,Southcentral Power Project,61.167417,-149.905304,1281.209,George M Sullivan Generation Plant 2,12.25,False,not_probed,,unverified,not_verified
50489,PPG Powerhouse C,30.22612,-93.295173,1279.321,Lake Charles Polymers,4.17,False,not_probed,,unverified,not_verified
55480,Forney Power Plant,32.7563,-96.4916,1269.823,Denton Energy Center,84.18,True,rows_present,Combined cycle,unverified,not_verified
