d,nox_kgh_cal,nox_se,n_days
2023-01,-257.6,264.3,16
2023-02,210.7,281.2,12
2023-03,43.9,105.5,16
2023-04,123.4,141.3,21
2023-05,-12.0,54.9,20
2023-06,11.2,126.9,20
2023-07,12.8,80.3,22
2023-08,42.9,80.4,28
2023-09,73.0,118.6,21
2023-10,-159.2,147.4,19
2023-11,28.0,179.1,20
2023-12,-42.8,194.0,23
2024-01,216.9,156.8,19
2024-02,-133.1,153.5,19
2024-03,-41.3,113.9,17
2024-04,-152.4,132.0,17
2024-05,13.3,91.5,18
2024-06,-9.4,130.8,24
2024-07,-10.4,79.3,27
2024-08,-54.6,76.2,22
2024-09,-76.6,94.8,20
2024-10,126.0,102.2,24
2024-11,-29.5,121.1,19
2024-12,51.8,127.6,19
2025-01,83.5,110.9,22
2025-02,345.1,157.5,18
2025-03,-245.2,148.1,18
2025-04,-52.1,146.3,16
2025-05,-12.1,99.8,15
2025-06,-81.0,99.8,23
2025-07,-56.1,94.2,20
2025-08,83.6,99.7,22
2025-09,-5.9,132.0,15
2025-10,-99.8,182.3,17
2025-11,373.7,184.6,20
2025-12,583.4,245.0,24
2026-01,220.2,286.9,17
2026-02,207.3,178.5,20
2026-03,-121.0,152.7,22
2026-04,94.9,181.9,18
2026-05,-3.8,150.2,17
2026-06,181.8,135.9,20
2026-07,60.4,85.5,25
2026-08,99.7,65.1,28
