d,-11000.0,-9000.0,-7000.0,-5000.0,-3000.0,-1000.0,1000.0,3000.0,5000.0,7000.0,9000.0,11000.0,13000.0,15000.0,17000.0,19000.0,21000.0,23000.0,25000.0,27000.0,29000.0,speed,phi,cloud
2023-01-15,-5.678226373048211e-06,-4.904668532259056e-06,-3.7682580069127774e-06,-2.4664595567032024e-06,-1.6431148206638627e-06,2.515730862984784e-06,8.626672979025155e-06,8.322351759665791e-06,7.861693111072778e-06,7.519684768983682e-06,8.324447126820839e-06,1.172761359982787e-05,1.157211684552147e-05,1.0437223508393991e-05,-6.783570242420274e-06,-1.0045261468854981e-05,-5.393048098438825e-06,-4.328336637547974e-06,-5.321501149682253e-06,-3.287148942474687e-06,2.313269177109642e-06,5.373786523416262,351.6427016057026,0.1491914493915571
2023-02-08,2.1271933959636907e-05,1.9364132237247268e-05,1.9138366514335722e-05,2.0493352959311526e-05,2.211107786066878e-05,2.3108400799770722e-05,2.3230091104062712e-05,2.3159259281345922e-05,2.3795480312278718e-05,2.509563506020463e-05,2.5278422378911863e-05,2.613521497492677e-05,2.337068303399569e-05,2.166194836101867e-05,2.16936911482263e-05,2.4128637135707488e-05,2.7376681181433562e-05,2.821513889762459e-05,2.7419617181741467e-05,2.7085477340900638e-05,2.700350268849185e-05,3.2847183133969122,40.57541067850758,0.0293243236426992
2023-02-11,4.559855352559515e-05,3.654490619082712e-05,3.391226043968872e-05,3.621529283931573e-05,3.435378877826341e-05,3.2773515525600425e-05,3.4897836703148336e-05,3.626523669754968e-05,2.451313577740155e-05,2.6115145148500275e-05,4.43930330439917e-05,4.611568598857225e-05,3.941480291618482e-05,3.500355391935644e-05,3.300170814485363e-05,3.567780697024325e-05,3.710704445460919e-05,3.6005666933043505e-05,3.485328725646465e-05,3.349363350515611e-05,3.435469905084208e-05,10.219853799867952,48.07850124272761,0.0
2023-02-12,4.4800972547602914e-05,4.403377615439862e-05,4.3516680443830683e-05,3.9254324172136184e-05,3.370518753167735e-05,3.5944992594241216e-05,4.550673729225787e-05,4.7317966800737166e-05,4.288886872284161e-05,3.975892233148981e-05,4.1186216666145964e-05,4.458372227865177e-05,4.738792650980079e-05,4.930294100873775e-05,5.047035062064116e-05,5.1544940099054646e-05,5.127329313034479e-05,4.68513940023808e-05,5.4139951305516076e-05,5.8109953105343965e-05,5.1896055268511385e-05,5.21115545082603,50.929693315106135,0.0
2023-02-13,2.1475423488510183e-05,2.3860323160786686e-05,2.7063344891141862e-05,2.87874389850041e-05,2.9553864354715846e-05,2.859183986862983e-05,2.524941194518759e-05,2.4729999644355326e-05,2.7262218996218523e-05,3.012820117567058e-05,2.9891765175449267e-05,2.9945587008512177e-05,2.9764310032387775e-05,3.0832533856588275e-05,3.0638678894678105e-05,2.8468367758191988e-05,2.818565727176418e-05,3.298796241770425e-05,3.271996378046078e-05,2.8631475490288528e-05,2.5569395382800304e-05,8.450373257115308,124.82236499019689,0.0
2023-02-14,5.471009980353031e-05,5.461144296667828e-05,5.432821234978618e-05,5.126062552153658e-05,4.6822323390899366e-05,4.672544300512132e-05,5.004033486816798e-05,5.373761258561519e-05,5.401949740310453e-05,5.197375461151865e-05,5.02373431240967e-05,4.904913368232109e-05,4.802992131866363e-05,4.768459292930327e-05,5.004801781930899e-05,5.232055941352341e-05,4.927593812111239e-05,4.126067138142691e-05,2.8547235249098477e-05,2.706634606076728e-05,2.7066346014151018e-05,6.8113850802178995,357.65367392999445,0.0
2023-03-05,1.4268201382971669e-05,1.6730410183707185e-05,1.3008638726607261e-05,1.2024734823716358e-05,1.2296491188694455e-05,1.2969589130871627e-05,1.4441188547747769e-05,1.566647869193125e-05,1.5555760978219193e-05,1.5217942199306573e-05,1.588265692396004e-05,1.672503695026064e-05,1.6963199300097818e-05,1.647122181643523e-05,1.545383508680935e-05,1.3430126415652005e-05,1.781026560890244e-05,2.071765503494427e-05,2.087098675739806e-05,2.1788310101014036e-05,2.1492809559966993e-05,2.101077263547942,123.93625216974607,0.26193520376018786
2023-03-09,1.6276977427222487e-05,2.1157554142725285e-05,2.2825493909959897e-05,1.6959659909634023e-05,1.5743007136551063e-05,1.531949744334703e-05,1.202304947848684e-05,1.8762474608719957e-05,1.8936557568152442e-05,1.5576316149656406e-05,1.4894761240881722e-05,1.7478425278228324e-05,2.0856604863129382e-05,1.8796715702243768e-05,2.009459386069874e-05,2.1241740241202447e-05,1.9793542166259463e-05,1.985061794853644e-05,2.396802924529595e-05,2.54024409867016e-05,2.5775829214432775e-05,6.5837923569104815,250.03299777228324,0.0963553321274877
2023-03-14,1.1105531296840879e-05,1.1472144542374963e-05,1.2461232712932515e-05,1.3367099089046614e-05,1.2520317539365952e-05,1.2086791577747361e-05,1.26748403420725e-05,1.70289478249801e-05,2.129257418541752e-05,2.1461936848423308e-05,1.8807180148780226e-05,1.4282062503740622e-05,1.320954167686963e-05,1.3572443886515272e-05,1.617673899446915e-05,1.7241997717498117e-05,1.6787933527576093e-05,1.771249741761315e-05,2.0282338286238523e-05,1.9740238752820747e-05,1.9002174537686836e-05,5.3118569344889375,151.5986373844869,0.016386161150298742
