month,nox_kgh_cal,nox_se,n_days,baseline_days,baseline_se
2026-01,510.60508296268381,545.9751199590803,8,19,211.3488563828632
2026-02,1454.5150985471139,823.80664021633777,8,19,250.44058897070244
2026-03,215.59575649068179,196.25022601837372,10,24,140.75813415254009
2026-04,79.446263128388125,306.33777066492109,13,24,154.37145749158864
2026-05,531.06108481290892,304.87034721050566,14,22,138.87049745768743
2026-06,-310.15527152265105,233.62719716865126,20,22,148.44303660929998
2026-07,-139.89514319909111,131.08153154289207,18,23,98.602379965977661
2026-08,92.027313827608666,180.73450620074516,13,25,129.03586333974599
