d,mean,count,std,change_mol_s,se,nox_kgh_cal,nox_se
2025-01-31,0.8740529713857608,17,0.6964811494052905,0.31000707523850835,0.17349016662200462,180.53876017314397,176.71037673326063
2025-02-28,1.034405210339423,11,0.7131170734444643,0.4703593141921706,0.21862046950286557,273.9230624165975,254.1563247493359
2025-03-31,0.9779841147994212,15,0.8194689059656501,0.41393821865216873,0.2152509861006206,241.0651199694274,230.6248496293057
2025-04-30,0.9032470148369266,17,0.8473494816998576,0.3392011186896742,0.20928384851076812,197.54048958547858,200.04592959086708
2025-05-31,0.49555433355080303,8,0.4701707506614499,-0.0684915625964494,0.17087110544163842,-39.88741800157552,104.53819741800922
2025-06-30,0.5392529423530381,17,1.0153122197674258,-0.024792953794214312,0.24940554697817072,-14.43866768393513,145.7083086481198
2025-07-31,0.06317430332768313,18,0.4852548716533362,-0.5008715928195693,0.12102132763393873,-291.6924921923855,244.61001464348814
2025-08-31,0.1983568714929967,14,0.4379865816253634,-0.36568902465425573,0.12355837118862992,-212.966246235546,185.53891668118825
2025-09-30,0.1437505862675142,10,0.36902278897354207,-0.42029530987973823,0.12321586629097218,-244.76729795246206,209.24321627733678
2025-10-31,0.6407973897814166,16,0.692149753984576,0.07675149363416423,0.17750020548991038,44.697752435128045,109.42510145963399
2025-11-30,0.8957783250010696,13,1.0917137601693783,0.33173242885381715,0.3053592733791888,193.190950136916,235.99109845699496
2025-12-31,1.8756492095285542,16,0.6805795321480099,1.3116033133813016,0.17468156471513774,763.8381667730197,621.760216946334
2026-01-31,1.6101673541604689,15,1.1759746477289033,1.0461214580132165,0.30620057582309473,609.2295502446887,520.712652802599
2026-02-28,1.8184126109684975,11,0.8026244609758552,1.254366714821245,0.24521123944672155,730.5052999905103,603.7460843836985
2026-03-31,1.5477550278339167,16,0.5297674723993385,0.9837091316866643,0.13822162006512437,572.8824958884346,467.02864048689946
2026-04-30,1.5857764002776338,14,0.5776857399343315,1.0217305041303812,0.1593786963068569,595.0249951710359,486.7517446439753
2026-05-31,1.6245278055631898,7,1.2907902068087642,1.0604819094159375,0.48947346824156546,617.5926435378957,572.0272968039769
2026-06-30,1.9458920020484214,15,0.7883611130613598,1.381846105901169,0.20736099954783366,804.7454482048372,657.4175631929791
2026-07-31,1.5161383118399174,14,0.7619523477872422,0.952092415692665,0.20744578119279417,554.4698751380485,461.35208077083206
2026-08-31,1.4708441466669213,16,1.3714649762463964,0.9067982505196689,0.34514001382708676,528.0919209667802,469.2942678753932
