label,n_days,E_mol_s,E_se,nox_kg_h,nox_tpy,x0_km,sigma_km,offset
colossus 2023-01-01..2026-08-31,629,1.731860090219795,0.1623567312078483,378.6160247366434,3010.9026252518947,119.99999999999973,11.834753884923416,-0.442139824122468
colossus before 2024-07-01,244,1.7003891506771305,0.23565750680337272,371.7359065956574,2956.1892364376017,119.9999999998311,12.437284608738343,-0.44449358154933827
colossus from 2024-07-01,385,1.75618756916932,0.18827626154992588,383.93445283816783,3053.196844426141,119.99999999999991,11.523057368263402,-0.44248880967001314
