site_id,n_frames,mean_delta_t_k,sd_delta_t_k,area_ha,pue_assumed,it_hat_mw,it_lo_mw,it_hi_mw,q_hat_mw,q_lo_mw,q_hi_mw,q_identified,slope_identified,capacity_tier,capacity_it_mw,utilisation,utilisation_identified,in_training_set
colossus_memphis,107,3.5452336448598127,4.141334343301478,12.330567094734581,1.2,,,,,,,False,True,A1,125.0,,False,True
ctrl_abilene_a,398,1.8969572864321609,2.3039162225192955,6.713243501653732,1.0,,,,,,,False,True,U,,,False,False
ctrl_memphis_a,105,6.595019047619047,3.37044200188866,4.827796360307317,1.0,300.0931624920922,34.16612106296384,566.0202039212205,300.0931624920922,34.16612106296384,566.0202039212205,True,True,U,,,False,False
ctrl_memphis_navy,105,0.5316857142857144,4.317640949804485,4.148008501336818,1.0,,,,,,,False,True,U,,,False,False
ctrl_newalbany_af,74,19.967716216216214,7.445141549976434,7.753969689524604,1.0,1588.965442682352,943.9483304245842,2233.98255494012,1588.965442682352,943.9483304245842,2233.98255494012,True,True,U,,,False,False
ctrl_newalbany_dsv,70,1.9071285714285713,3.754764829554416,11.312075568984536,1.0,,,,,,,False,True,U,,,False,False
ctrl_newcarlisle_mfg,81,-0.5173086419753087,3.8551652741548423,3.839463625175158,1.0,,,,,,,False,True,U,,,False,False
ctrl_prineville_schwab,11,-4.681454545454546,3.1728866466874095,5.098479519568209,1.0,,,,,,,False,True,U,,,False,False
ctrl_racine_b,81,12.685024691358024,5.93812123902693,8.196483122146745,1.0,1049.4729703649914,511.1513478116404,1587.7945929183427,1049.4729703649914,511.1513478116404,1587.7945929183427,True,True,U,,,False,False
ctrl_racine_mke1,79,2.7338101265822785,2.6044606906472803,9.531029223205762,1.0,,,,,,,False,True,U,,,False,False
fairwater_wi,19,-1.575473684210526,2.3213466247087666,17.500000000066795,1.15,,,,,,,False,True,A2,347.82608695652175,,False,True
hyperion_la,40,7.629654447421073,4.457296204591817,29.25000000003056,1.15,2060.0712255530793,412.99158844905907,3707.150862657099,2369.081909386041,474.94032671641787,4263.223492055664,True,True,U,,,False,False
lulea,150,4.536316549054671,3.1919336256878212,13.180851343894595,1.1,,,,,,,False,True,A2,109.09090909090908,,False,True
nsa_utah,137,-1.789868613138686,1.446547633553757,10.00843126112225,1.3,,,,,,,False,True,A1,50.0,,False,True
nscc_guangzhou,65,-1.0968615384615383,0.796091327929055,2.561689320292374,1.3,,,,,,,False,True,A1,18.5,,False,True
nscc_wuxi,93,-0.20238709677419353,0.8124644076787244,2.5621723632993896,1.3,,,,,,,False,True,A1,15.4,,False,True
ornl_olcf,100,5.40008,3.2293572606275194,9.1056080909208,1.25,,,,,,,False,True,A1,24.6,,False,True
prineville,242,-0.8484237534347298,1.844635931980258,30.5867807869656,1.1,,,,,,,False,True,U,,,False,False
prometheus_oh,79,3.9118464344195654,3.0009168396158072,21.432704662430588,1.15,,,,,,,False,True,A2,217.3913043478261,,False,False
rainier_in,26,3.1396818616959146,3.9098343463932816,31.274270346861456,1.15,,,,,,,False,True,A2,1078.2608695652175,,False,True
riken_kobe,91,-0.09010989010989012,1.3167589963454416,0.9991794913908439,1.3,,,,,,,False,True,A1,29.9,,False,True
stargate_abilene,405,-0.8762334250804339,2.490303857240374,42.32040289266008,1.15,,,,,,,False,True,A2,521.7391304347826,,False,True
