site_id,n_frames,mean_delta_t_k,sd_delta_t_k,area_ha,pue_assumed,it_hat_mw,it_lo_mw,it_hi_mw,q_hat_mw,q_lo_mw,q_hi_mw,q_identified,slope_identified,capacity_tier,capacity_it_mw,utilisation,utilisation_identified,in_training_set
colossus_memphis,263,0.8474296577946769,2.7906863710492096,12.330567094734581,1.2,,,,,,,False,True,A1,125.0,,False,True
ctrl_abilene_a,385,0.6055142857142857,1.8381843539744398,6.713243501653732,1.0,,,,,,,False,True,U,,,False,False
ctrl_memphis_a,278,3.045654676258992,2.595668197082648,4.827796360307317,1.0,711.0376574512331,214.29516081105646,1207.7801540914097,711.0376574512331,214.29516081105646,1207.7801540914097,True,True,U,,,False,False
ctrl_memphis_navy,278,0.599658273381295,2.3867270223448744,4.148008501336818,1.0,,,,,,,False,True,U,,,False,False
ctrl_newalbany_af,336,3.070133928571429,5.423276691682521,7.753969689524604,1.0,1250.7629684174456,398.6500942967388,2102.8758425381525,1250.7629684174456,398.6500942967388,2102.8758425381525,True,True,U,,,False,False
ctrl_newalbany_dsv,345,0.40343768115942025,1.8204358001988892,11.312075568984536,1.0,,,,,,,False,True,U,,,False,False
ctrl_newcarlisle_mfg,295,-0.05402372881355934,2.1467103616897294,3.839463625175158,1.0,,,,,,,False,True,U,,,False,False
ctrl_prineville_schwab,295,-2.6112915254237286,2.584974044876087,5.098479519568209,1.0,,,,,,,False,True,U,,,False,False
ctrl_racine_b,371,2.697088948787062,4.38373665306415,8.196483122146745,1.0,1269.078094092704,395.53374968480216,2142.6224385006058,1269.078094092704,395.53374968480216,2142.6224385006058,True,True,U,,,False,False
ctrl_racine_mke1,376,1.0238617021276595,1.8945671046854022,9.531029223205762,1.0,,,,,,,False,True,U,,,False,False
fairwater_wi,106,0.015792452830188698,1.30042506396567,17.500000000066795,1.15,,,,,,,False,True,A2,347.82608695652175,,False,True
hyperion_la,37,2.5019197907585005,3.2267510794879577,29.25000000003056,1.15,3289.634490013257,672.461711296847,5906.807268729668,3783.0796635152456,773.3309679913741,6792.8283590391175,True,True,U,,,False,False
nsa_utah,742,0.01398113207547171,1.1277533849868615,10.00843126112225,1.3,,,,,,,False,True,A1,50.0,,False,True
nscc_guangzhou,87,-0.12951724137931034,1.717543939129015,2.561689320292374,1.3,,,,,,,False,True,A1,18.5,,False,True
nscc_wuxi,145,0.4569034482758621,1.3105914500508387,2.5621723632993896,1.3,,,,,,,False,True,A1,15.4,,False,True
ornl_olcf,496,1.3210504032258064,2.507883829144541,9.1056080909208,1.25,,,,,,,False,True,A1,24.6,,False,True
prineville,916,0.40911263835699896,2.1352907689900675,30.5867807869656,1.1,,,,,,,False,True,U,,,False,False
prometheus_oh,366,0.9357041356312379,1.942813500998634,21.432704662430588,1.15,,,,,,,False,True,A2,217.3913043478261,,False,False
rainier_in,137,1.1632480735325332,2.2784778591201174,31.274270346861456,1.15,,,,,,,False,True,A2,1078.2608695652175,,False,True
riken_kobe,315,-0.19601269841269842,1.8066125689700407,0.9991794913908439,1.3,,,,,,,False,True,A1,29.9,,False,True
stargate_abilene,399,-0.24848758091000428,1.729964536324681,42.32040289266008,1.15,,,,,,,False,True,A2,521.7391304347826,,False,True
