model,site_id,n_frames,truth_mw,thermal_mw,thermal_lo_mw,thermal_hi_mw,thermal_identified,thermal_raw_mw,const_mw,geometry_mw,thermal_abs_log_err,const_abs_log_err,geometry_abs_log_err,slope,slope_se,converged
all_frames,colossus_memphis,263,0.5,,,,False,985.5798720818725,7.587129093319956,5.926286956964161,,2.719600451839002,2.4725450519213545,0.006783974187668412,0.006938205538897188,True
all_frames,fairwater_wi,106,0.5,143.22032778105634,-791.1205746535245,1077.5612302156371,True,143.22032778105634,7.587129093319956,4.662728057646397,5.657531378790333,2.719600451839002,2.2327478775017973,0.020940524293082526,0.007490537647499202,True
all_frames,nsa_utah,742,50.0,,,,False,-156.29932136649467,4.548364396581939,4.1591181865722175,,2.3972553103699887,2.4867199280063974,0.018806757484790555,0.007420464464546968,True
all_frames,nscc_guangzhou,87,18.5,,,,False,-61.69293331435327,5.079638866918397,14.580207937950963,,1.2925305622101366,0.2381057437432604,0.01876529200740822,0.006914716997660089,True
all_frames,nscc_wuxi,145,15.4,49.963112159031645,-103.35418006129908,203.28040437936238,True,49.963112159031645,5.184214345598564,15.352095439629954,1.176917466912709,1.0887492036938082,0.003115533978040098,0.019164296787852246,0.007000245205492045,True
all_frames,ornl_olcf,496,17.0,667.0937138781926,142.77338114733868,1191.4140466090464,True,667.0937138781926,5.12758831808297,5.09735375635228,3.669717192557133,1.198577908845622,1.2044918102897082,0.020166375492828816,0.006453122035173064,True
all_frames,prometheus_oh,59,217.39130434782612,1454.5806230332942,-53.497955916169474,2962.6592019827576,True,1454.5806230332942,3.863101526256632,1.3368442542715657,1.9007739309795584,4.030228610435479,5.091387173104355,0.01909975670310874,0.0069122922438105685,True
all_frames,rainier_in,137,0.49999999999999994,960.9530229706309,-79.72680510766742,2001.632851048929,True,960.9530229706309,7.587129093319956,3.329757737724247,7.561072704850106,2.719600451839002,1.8960467304716238,0.043191460186637366,0.011328859344902445,True
all_frames,riken_kobe,282,12.66,,,,False,-19.81800551433565,5.298306307771693,71.44703658307176,,0.8710602118009712,1.7305090114053412,0.021072514101601728,0.007327533964582481,True
all_frames,stargate_abilene,399,0.5,,,,False,-508.996707809591,7.587129093319956,2.8428412868476385,,2.719600451839002,1.737951185728744,0.01962687190600357,0.007169760412665876,True
conditioned,colossus_memphis,81,0.5,,,,False,-2041.330856686899,7.587129093319956,5.926286956964161,,2.719600451839002,2.4725450519213545,0.002759317464948458,0.010793210091964999,True
conditioned,fairwater_wi,8,0.5,,,,False,-305.4115466797244,7.587129093319956,4.662728057646397,,2.719600451839002,2.2327478775017973,0.02872902578160819,0.010832811565395896,True
conditioned,nsa_utah,246,50.0,156.92133539512213,-233.3226934379169,547.1653642281613,True,156.92133539512213,4.548364396581939,4.1591181865722175,1.1437216259147354,2.3972553103699887,2.4867199280063974,0.030307324914830593,0.011816032627347412,True
conditioned,nscc_guangzhou,27,18.5,,,,False,-2.128843605338837,5.079638866918397,14.580207937950963,,1.2925305622101366,0.2381057437432604,0.030625720554865916,0.010695841614614964,True
conditioned,nscc_wuxi,28,15.4,85.1242032184637,-19.705369920927716,189.95377635785513,True,85.1242032184637,5.184214345598564,15.352095439629954,1.7097438948707648,1.0887492036938082,0.003115533978040098,0.030905313976384644,0.010691756849930723,True
conditioned,ornl_olcf,237,17.0,176.822655452559,-188.20700168460738,541.8523125897253,True,176.822655452559,5.12758831808297,5.09735375635228,2.341933939637875,1.198577908845622,1.2044918102897082,0.02916730097634693,0.01030730643670605,True
conditioned,prometheus_oh,14,217.39130434782612,824.2471805444469,-154.31157653325786,1802.8059376221518,True,824.2471805444469,3.863101526256632,1.3368442542715657,1.3327714858273547,4.030228610435479,5.091387173104355,0.029817580614041484,0.010662024706932224,True
conditioned,rainier_in,24,0.49999999999999994,676.7392122346228,44.86801988386654,1308.610404585379,True,676.7392122346228,7.587129093319956,3.329757737724247,7.210433168380016,2.719600451839002,1.8960467304716238,0.09952856896007278,0.01937269183551957,True
conditioned,riken_kobe,96,12.66,,,,False,-10.826531001040626,5.298306307771693,71.44703658307176,,0.8710602118009712,1.7305090114053412,0.042655257533466835,0.011373188890428125,True
conditioned,stargate_abilene,40,0.5,,,,False,-50.47840714656796,7.587129093319956,2.8428412868476385,,2.719600451839002,1.737951185728744,0.0300370996182815,0.010909904559408616,True
alt_log_it_mw,colossus_memphis,263,0.5,,,,False,1106672311.7871702,7.587129093319956,5.926286956964161,,2.719600451839002,2.4725450519213545,0.026908053066165484,0.02289532325122864,True
alt_log_it_mw,fairwater_wi,106,0.5,16.108748738187327,0.0006823779910610076,380275.7259309852,True,16.108748738187327,7.587129093319956,4.662728057646397,3.4725097048495193,2.719600451839002,2.2327478775017973,0.09463849490721728,0.022143964683804754,True
