model,site_id,n_frames,truth_mw,thermal_mw,thermal_lo_mw,thermal_hi_mw,thermal_identified,thermal_raw_mw,const_mw,geometry_mw,thermal_abs_log_err,const_abs_log_err,geometry_abs_log_err,slope,slope_se,converged
all_frames,lulea,125,109.09090909090908,,,,False,1.7565982376317918e+20,8.568829743746388,16.928337158516022,,2.5440503923472257,1.8631925902910549,0.05250310423865614,0.07665027981656135,True
all_frames,nsa_utah,98,49.99999999999999,,,,False,2.0648387376983995e-27,10.015790345105481,21.341611179257075,,1.6078601232877352,0.8513642619707631,0.0647414089993017,0.07957062764332895,True
all_frames,nscc_guangzhou,49,17.8,,,,False,3.7155339679728753e-06,12.313888746928644,6.224952400346382,,0.3684706655316074,1.0506326615072048,0.057651452418003964,0.08958902685877494,True
all_frames,nscc_wuxi,58,0.5,,,,False,344.98569974295305,25.15852786871512,17.660767674768703,,3.9183440998979746,3.5644928444834316,-0.18429451887149212,0.27282523273469855,True
all_frames,ornl_olcf,83,8.2,,,,False,294725282446.6972,14.378595143765718,37.58189478327811,,0.5616064981017913,1.5223882584355013,0.0931891446998576,0.08515855687507971,True
all_frames,riken_kobe,73,12.660000000000002,,,,False,0.02452098899321721,13.182339272825848,0.4610348259321836,,0.040430583166803466,3.312729111233408,0.05838634286705958,0.0898743823531843,True
conditioned,lulea,7,109.09090909090908,,,,False,4.55240845517515,23.057825510495803,19.680390103155236,,1.5541763496127228,1.7125588492352746,-1.8729298448843712,0.97493066571225,True
conditioned,nsa_utah,7,49.99999999999999,,,,False,0.07775775226826559,29.90596820156137,32.62914233167395,,0.5139649395466228,0.42681717982438805,0.6508922671954578,0.672349219448128,True
conditioned,ornl_olcf,4,8.2,,,,False,81.67687483296123,54.6357091620651,68.69325216744457,,1.8965535286639625,2.125516818408329,2.2787782168105757,3.2826405489448773,True
conditioned,riken_kobe,3,29.89999999999999,,,,False,553980.3143219244,35.496930959248026,2.1163407116468725e-05,,0.17158776049538468,14.16109542748629,-0.013802662707658437,1.923749718557431,True
alt_density,lulea,125,109.09090909090908,,,,False,9009.512700656516,8.568829743746388,16.928337158516022,,2.5440503923472257,1.8631925902910549,0.0034099624400090625,0.014273557096535733,True
alt_density,nsa_utah,98,50.0,,,,False,-11353.757006604452,10.015790345105481,21.341611179257075,,1.6078601232877354,0.8513642619707632,0.003649614279538764,0.014850240406804046,True
alt_density,nscc_guangzhou,49,17.8,,,,False,-622.6153210918153,12.313888746928644,6.224952400346382,,0.3684706655316074,1.0506326615072048,0.0035866030401080244,0.016806948549036953,True
alt_density,nscc_wuxi,58,0.5,,,,False,966.2547820644858,25.15852786871512,17.660767674768703,,3.9183440998979746,3.5644928444834316,-0.0012663680368330745,0.017488652204089506,True
alt_density,ornl_olcf,83,8.2,,,,False,3386.0578873259487,14.378595143765718,37.58189478327811,,0.5616064981017913,1.5223882584355013,0.005944853522448391,0.01572459294652303,True
alt_density,riken_kobe,73,12.66,,,,False,-6.298199062866096,13.182339272825848,0.4610348259321836,,0.040430583166803466,3.312729111233408,0.03469306112162336,0.053029971566413474,True
