d,hall:long_halls,hall:white_block,ring:builtup
2018-11-02,0.0,0.0,1.809139603002406e-05
2018-11-12,0.0,0.0,0.0
2018-11-22,0.0,0.0,0.0
2018-12-12,0.0,0.0,0.00019975681655003388
2018-12-17,0.0,0.0,0.00023633106396102416
2019-01-01,0.6042677862684623,0.10473572846454203,0.9272013120073332
2019-01-06,0.0,0.31769314948566413,0.06061630860911132
2019-01-11,0.0,,0.004409980649071145
2019-01-16,,0.0,0.001038334213315924
2019-01-21,0.0,0.0,0.0002732332769283141
2019-01-26,,,0.0
2019-02-05,0.0,0.0,0.00018115244210857343
2019-02-25,0.0,0.07800583954329543,0.05527691074126963
2019-03-02,0.0,0.0,0.004666065729627081
2019-03-17,,,0.0010127111800666668
2019-03-22,0.0,0.0,0.00020280722983914714
2019-03-27,0.0,0.0,0.0017555541802275277
2019-11-07,0.0,0.0,0.00014754204713288556
2019-11-12,0.0,0.0,0.0
2019-11-22,,,0.0
2019-11-27,0.0,0.0,0.000349778693573983
2019-12-02,1.0,0.9738642619340967,0.5196923957550422
2019-12-07,0.0,0.0,0.0067592934979473565
2019-12-12,0.0,0.0,0.0016675138101205013
2019-12-17,0.9968886177444658,0.8740074414532721,0.7515758186337135
2019-12-22,0.9791080397534998,0.8035337266053681,0.5619517467035924
2019-12-27,0.0,0.004984582003704228,0.07596009618206552
2020-01-01,0.0,0.0,0.0033765659888817337
2020-01-06,1.0,1.0,0.9955110511304283
2020-01-21,1.0,1.0,0.9745620200664991
2020-01-26,0.9870216205867128,0.958506558591537,0.6975910294298957
2020-01-31,0.2738395370881257,0.8640145091136706,0.349987270739602
2020-02-05,0.0,0.12565041181853842,0.1086515013432663
2020-02-10,0.0,0.005567645068085386,0.003317334855921798
2020-02-15,0.0,0.0,0.0027463065922362206
2020-02-25,0.0,0.0,0.001212972479759476
2020-03-01,0.0,,0.00042450015107211263
2020-03-11,0.0,0.0,0.003382154043090849
2020-03-16,0.0,0.0,0.0022673183645034187
2020-03-21,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0003292372347945657
2020-11-06,0.0,0.0,3.622211057289317e-05
2020-11-11,0.0,0.0,0.00019967250861207818
2020-11-16,0.0,0.0,0.0002917052538618594
2020-11-26,1.0,1.0,0.9278418991450489
2020-12-01,0.9844430887223288,0.8435337722688369,0.8351287518996544
2020-12-06,1.0,0.8867675880245997,0.2760673264699553
2020-12-11,1.0,0.9168344445897066,0.49106301388019125
2020-12-16,0.6656361387939188,0.3456793423778655,0.2538233580647753
2020-12-21,0.9953146079411448,0.5057999562267453,0.27931836993193454
2020-12-26,0.0,0.0,0.0903047688094006
2021-01-15,,0.0,0.0005124633086319322
2021-01-20,0.0,0.0,9.02133944779674e-05
2021-01-25,,,0.0
2021-01-30,0.0,0.0,0.0014548790653172237
2021-02-04,0.0,0.0,0.0039005603550104784
2021-02-09,0.0,0.0,0.002555125109812462
2021-02-19,0.0,,0.0
2021-02-24,0.0,0.0,0.0012353322990453104
2021-03-01,1.0,1.0,0.9986718209791147
2021-03-06,0.0,0.0,0.00033183260411491944
2021-03-11,0.0,0.0,9.154846966411317e-05
2021-03-21,0.0,0.0,0.00020070872104692338
2021-11-01,0.0,0.0,5.4454161803459205e-05
2021-11-11,1.0,1.0,0.9917458643472864
2021-11-16,0.4593914878649312,0.4166073919429484,0.5632773375843145
2021-11-26,0.07859159839637436,0.0,0.05819008651610416
2021-12-01,0.11096043228168023,0.19669237808863904,0.22107415865008512
2021-12-06,0.0008889663587240718,0.0,0.011577093173026475
2021-12-11,0.0,0.0,0.002996271449585578
2021-12-16,0.0,0.0,0.0042332070073904755
2021-12-21,0.0,0.0,0.0010708976984134273
2021-12-26,0.0,0.0,0.001108986929211272
2022-01-05,0.0,0.0,0.0002592153382290019
2022-01-10,0.0,0.0,0.0010288886293921802
2022-01-15,0.0,0.0,0.0004458977818218933
2022-01-20,0.0,0.0,0.0006783914584751268
2022-01-25,1.0,1.0,0.8975340829491353
2022-02-04,0.051493045914632586,0.0,0.019535875859686167
2022-02-09,0.0,0.0,0.004266788961204549
2022-02-14,1.0,1.0,0.7182114519456201
2022-02-19,,,0.0038130613050538762
2022-02-24,0.02290076335877863,0.001360595033561344,0.013966016307034658
2022-03-01,0.0,0.0,0.006174131451291496
2022-03-06,0.0,0.0,0.0021804483674752557
2022-03-11,0.0,0.0,0.001826724910974202
2022-03-21,1.0,1.0,0.9947234606822619
2022-03-26,0.0,0.0,0.002415274925539888
2022-03-31,0.0,0.0,0.000585323864859049
2022-11-01,0.0,0.0,0.0
2022-11-16,0.0,0.024754183961554464,0.006139816295556795
2022-11-21,0.0,0.0,0.0002713154842974302
2022-11-26,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0018027273301585666
2022-12-06,0.0,0.0,0.0018901647950012213
2022-12-26,0.0,0.0,0.0003385764740247672
2023-01-05,0.0,0.0,0.0016345271914627172
2023-01-10,0.0,0.0,0.0012336281922886287
2023-01-15,,0.025,0.03138584151219892
2023-01-20,0.0,0.0,0.005093015578244266
2023-01-30,0.0,0.0,0.0026517029255343507
2023-02-04,0.0,0.0,0.0030655101150905083
2023-02-19,1.0,1.0,0.9875066758004295
2023-02-24,0.0,0.0,0.0036559550606206598
2023-03-01,0.0,0.0,0.0010940463388911727
2023-03-06,0.0,0.0,0.0025109989101879415
2023-03-11,,,0.0
2023-03-16,0.0,0.0,0.0007959737067608746
2023-03-21,,,0.0
2023-03-26,0.0,0.0,0.0015264799372646679
2023-11-01,0.0,0.0,0.0
2023-11-06,0.8691232351403171,0.7566361909809637,0.7213278168740647
2023-11-11,0.0,0.0,9.449729293049084e-05
2023-11-21,0.0,0.0,0.00012660469680019222
2023-12-01,0.0,0.0,0.002063340507824511
2023-12-06,0.0,0.0,0.0
2023-12-16,,,0.7273109593604264
2023-12-21,,0.04583723105706267,0.15362191562455027
2023-12-26,1.0,1.0,0.912756119986823
2024-01-05,1.0,1.0,0.8551820165651555
2024-01-10,1.0,1.0,0.9998183813979248
2024-01-15,0.9878046447564754,1.0,0.35355116955512167
2024-01-20,1.0,1.0,0.9997299924397883
2024-01-25,1.0,1.0,0.9838475977212103
2024-01-30,1.0,1.0,0.964603318614545
2024-02-09,1.0,1.0,0.9770585486916743
2024-02-19,,0.0,0.0019882492661734232
2024-02-29,,,0.33881831882631563
2024-03-15,,0.0,0.0
2024-03-20,0.0,0.0,0.0013464123236327978
2024-03-25,0.0,0.0,0.00039843373638587086
2024-03-30,0.0,0.0,1.8086385257170315e-05
2024-11-05,0.0,0.0,0.0
2024-11-10,0.0,0.0,0.00012665050979845686
2024-11-20,0.0,0.0,3.634176911304492e-05
2024-11-25,1.0,1.0,0.9988790783087322
2024-11-30,0.802733135785253,0.824682965093476,0.5001857806445801
2024-12-05,0.2402677226314027,0.01634999679411828,0.060763798341015036
2024-12-15,0.0022224158968101792,0.0011212241129138637,0.018969994926417193
2024-12-20,,,0.0
2024-12-30,0.0,0.0,0.007077443003229774
2025-01-09,0.0005621445262554561,0.023242565796969348,0.0061235376866155536
2025-01-14,0.0,,0.0008069824552520315
2025-01-19,0.00044527484808269885,0.0,0.004417410740170779
2025-01-24,0.0004444831793620359,0.001154462563721806,0.003998139427926351
2025-01-29,1.0,1.0,0.9877024902074044
2025-02-03,,,0.009722586679046987
2025-02-08,0.0,0.006509751863576026,0.008370539840663965
2025-02-13,0.005259738250672938,0.0,0.00647308563684605
2025-02-18,0.0,0.0,0.010766768598631184
2025-02-23,,0.0,0.008007671905270328
2025-02-28,0.0,0.0,0.01718559427922193
2025-03-05,,,0.0031697187582436855
2025-03-10,0.0,0.0,7.563100728934618e-05
2025-03-15,1.0,1.0,0.9996734793627524
2025-03-20,0.0,0.0,0.003115597342643044
2025-03-25,0.0,0.0,0.0010620004405822257
2025-03-30,0.0,0.0,0.002087333759792407
2025-11-05,0.0,0.0,0.0
2025-11-10,0.0,0.0,1.8086385257170315e-05
2025-11-15,0.0,0.0,1.8089984263841928e-05
2025-11-17,0.0,0.0,0.0015188341977831548
2025-11-20,0.0,0.0,1.8250290931108377e-05
2025-11-25,0.0,0.0,0.002676752287749649
2025-11-30,0.0,0.0,0.0003820573865177191
2025-12-07,0.0,0.0,0.0034065523412115384
2025-12-15,1.0,1.0,0.9986917866432271
2025-12-20,0.1767082037848558,,0.07971014131110153
2025-12-25,0.6399564850876661,1.0,0.5619496925653549
2025-12-27,0.010195310157327631,0.7120500573090182,0.47145774093961107
2025-12-30,0.03453055910634725,0.5085546114356523,0.29038284255215024
2026-01-04,0.07886620173988061,0.021496073472647412,0.12765357931664645
2026-01-09,,,0.0
2026-01-14,0.0,0.0,0.006895747973418066
2026-01-19,,0.0,0.00106612482440297
2026-01-24,0.0,0.0,0.006857293256599996
2026-01-29,0.0,0.0,0.011985659056594456
2026-02-03,0.0,0.0,0.003924387288291133
2026-02-08,0.0,0.0,0.0039685299317107495
2026-02-13,0.0,0.0,0.002141579197214045
2026-02-18,0.0,0.0,0.005671740488952408
2026-02-23,0.0,0.0,0.002685625350424651
2026-03-10,0.0,0.0,0.004440920429874765
2026-03-15,0.0,0.0,0.006134472957879221
2026-03-20,0.0,0.0,0.0
2026-03-25,0.0,0.0,0.00021739048581303298
2026-03-27,,,0.0
2026-03-30,,,0.0
